id,year,Var1,Value1,Var2,Value2,doy_diff
AL,1981,straton,142,straton,142,0
AL,1981,stratoff,269,straton,142,-127
AL,1981,energy,197,straton,142,-55
AL,1981,stability,154,straton,142,-12
AL,1981,anoxia,239,straton,142,-97
AL,1981,iceon,NA,straton,142,NA
AL,1981,iceoff,NA,straton,142,NA
AL,1981,chla,255,straton,142,-113
AL,1981,clearwater,NA,straton,142,NA
AL,1981,daphnia,NA,straton,142,NA
AL,1981,doc,NA,straton,142,NA
AL,1982,straton,131,straton,131,0
AL,1982,stratoff,278,straton,131,-147
AL,1982,energy,202,straton,131,-71
AL,1982,stability,160,straton,131,-29
AL,1982,anoxia,251,straton,131,-120
AL,1982,daphnia,217,straton,131,-86
AL,1982,iceon,343,straton,131,-212
AL,1982,iceoff,NA,straton,131,NA
AL,1982,chla,131,straton,131,0
AL,1982,clearwater,NA,straton,131,NA
AL,1982,doc,NA,straton,131,NA
AL,1983,straton,130,straton,130,0
AL,1983,stratoff,272,straton,130,-142
AL,1983,energy,201,straton,130,-71
AL,1983,stability,173,straton,130,-43
AL,1983,anoxia,186,straton,130,-56
AL,1983,daphnia,227,straton,130,-97
AL,1983,clearwater,201,straton,130,-71
AL,1983,iceon,326,straton,130,-196
AL,1983,iceoff,116,straton,130,14
AL,1983,chla,272,straton,130,-142
AL,1983,doc,NA,straton,130,NA
AL,1984,straton,144,straton,144,0
AL,1984,stratoff,289,straton,144,-145
AL,1984,energy,227,straton,144,-83
AL,1984,stability,200,straton,144,-56
AL,1984,anoxia,227,straton,144,-83
AL,1984,daphnia,227,straton,144,-83
AL,1984,clearwater,173,straton,144,-29
AL,1984,iceon,332,straton,144,-188
AL,1984,iceoff,110,straton,144,34
AL,1984,chla,268,straton,144,-124
AL,1984,doc,NA,straton,144,NA
AL,1985,straton,120,straton,120,0
AL,1985,stratoff,255,straton,120,-135
AL,1985,energy,219,straton,120,-99
AL,1985,stability,219,straton,120,-99
AL,1985,anoxia,219,straton,120,-99
AL,1985,daphnia,231,straton,120,-111
AL,1985,clearwater,192,straton,120,-72
AL,1985,iceon,314,straton,120,-194
AL,1985,iceoff,109,straton,120,11
AL,1985,chla,231,straton,120,-111
AL,1985,doc,231,straton,120,-111
AL,1986,straton,128,straton,128,0
AL,1986,stratoff,238,straton,128,-110
AL,1986,energy,209,straton,128,-81
AL,1986,stability,209,straton,128,-81
AL,1986,anoxia,90,straton,128,38
AL,1986,daphnia,62,straton,128,66
AL,1986,clearwater,169,straton,128,-41
AL,1986,iceon,329,straton,128,-201
AL,1986,iceoff,101,straton,128,27
AL,1986,chla,295,straton,128,-167
AL,1986,doc,195.076923076923,straton,128,-67.07692307692301
AL,1987,straton,124,straton,124,0
