lakeid,year,metric,sampledate,daynum,daynum_fill,filled_flag
AL,1982,iceoff,1982-05-01,121,121,FALSE
AL,1982,iceon,1982-11-22,326,326,FALSE
AL,1982,straton,1982-05-11,131,131,FALSE
AL,1982,stratoff,1982-10-05,278,278,FALSE
AL,1982,energy,1982-07-21,202,202,FALSE
AL,1982,stability,1982-06-09,160,160,FALSE
AL,1982,anoxia_summer,1982-09-08,251,251,FALSE
AL,1982,drsif_epiMin,1982-05-11,131,131,FALSE
AL,1982,totnuf_epiMin,NA,NA,158.5,TRUE
AL,1982,totpuf_epiMin,NA,NA,175.5,TRUE
AL,1982,doc_epiMax,NA,NA,237,TRUE
AL,1982,totnuf_hypoMax,NA,NA,238,TRUE
AL,1982,totpuf_hypoMax,NA,NA,238,TRUE
AL,1982,drsif_epiSpringMin,1982-05-11,131,131,FALSE
AL,1982,secchi_max,1982-07-05,186,186,FALSE
AL,1982,secchi_min,1982-09-21,264,264,FALSE
AL,1982,secchi_springmax,1982-07-05,186,186,FALSE
AL,1982,zoopDensity,1982-06-09,160,160,FALSE
AL,1982,zoopDensity_spring,1982-06-09,160,160,FALSE
AL,1983,iceoff,1983-04-27,117,117,FALSE
AL,1983,iceon,1983-11-28,332,332,FALSE
AL,1983,straton,1983-05-10,130,130,FALSE
AL,1983,stratoff,1983-09-29,272,272,FALSE
AL,1983,energy,1983-07-20,201,201,FALSE
AL,1983,stability,1983-06-22,173,173,FALSE
AL,1983,anoxia_summer,1983-07-20,201,201,FALSE
AL,1983,drsif_epiMin,1983-05-10,130,130,FALSE
AL,1983,totnuf_epiMin,NA,NA,158.5,TRUE
AL,1983,totpuf_epiMin,NA,NA,175.5,TRUE
AL,1983,doc_epiMax,NA,NA,237,TRUE
AL,1983,totnuf_hypoMax,NA,NA,238,TRUE
AL,1983,totpuf_hypoMax,NA,NA,238,TRUE
AL,1983,drsif_epiSpringMin,1983-05-10,130,130,FALSE
AL,1983,secchi_max,1983-07-20,201,201,FALSE
AL,1983,secchi_min,1983-09-29,272,272,FALSE
AL,1983,secchi_springmax,1983-07-05,186,186,FALSE
AL,1983,zoopDensity,1983-06-22,173,173,FALSE
AL,1983,zoopDensity_spring,1983-06-22,173,173,FALSE
AL,1984,iceoff,1984-04-21,112,112,FALSE
AL,1984,iceon,1984-11-09,314,314,FALSE
AL,1984,straton,1984-05-23,144,144,FALSE
AL,1984,stratoff,1984-10-15,289,289,FALSE
AL,1984,energy,1984-08-14,227,227,FALSE
AL,1984,stability,1984-07-18,200,200,FALSE
AL,1984,anoxia_summer,1984-09-06,250,250,FALSE
AL,1984,drsif_epiMin,1984-05-09,130,130,FALSE
AL,1984,totnuf_epiMin,NA,NA,158.5,TRUE
AL,1984,totpuf_epiMin,NA,NA,175.5,TRUE
AL,1984,doc_epiMax,NA,NA,237,TRUE
AL,1984,totnuf_hypoMax,NA,NA,238,TRUE
AL,1984,totpuf_hypoMax,NA,NA,238,TRUE
AL,1984,drsif_epiSpringMin,1984-05-09,130,130,FALSE
AL,1984,secchi_max,1984-06-21,173,173,FALSE
AL,1984,secchi_min,1984-09-06,250,250,FALSE
AL,1984,secchi_springmax,1984-06-21,173,173,FALSE
AL,1984,zoopDensity,1984-05-09,130,130,FALSE
AL,1984,zoopDensity_spring,1984-05-09,130,130,FALSE
AL,1985,iceoff,1985-04-21,111,111,FALSE
AL,1985,iceon,1985-11-25,329,329,FALSE
AL,1985,straton,1985-04-30,120,120,FALSE
AL,1985,stratoff,1985-09-12,255,255,FALSE
AL,1985,energy,1985-08-07,219,219,FALSE
AL,1985,stability,1985-08-07,219,219,FALSE
AL,1985,anoxia_summer,1985-08-07,219,219,FALSE
AL,1985,drsif_epiMin,1985-04-30,120,120,FALSE
AL,1985,totnuf_epiMin,NA,NA,158.5,TRUE
AL,1985,totpuf_epiMin,NA,NA,175.5,TRUE
AL,1985,doc_epiMax,NA,NA,237,TRUE
AL,1985,totnuf_hypoMax,NA,NA,238,TRUE
AL,1985,totpuf_hypoMax,NA,NA,238,TRUE
AL,1985,drsif_epiSpringMin,1985-04-30,120,120,FALSE
AL,1985,secchi_max,1985-07-11,192,192,FALSE
AL,1985,secchi_min,1985-08-19,231,231,FALSE
AL,1985,secchi_springmax,1985-07-11,192,192,FALSE
AL,1985,zoopDensity,1985-04-30,120,120,FALSE
AL,1985,zoopDensity_spring,1985-04-30,120,120,FALSE
AL,1986,iceoff,1986-04-12,102,102,FALSE
AL,1986,iceon,1986-11-14,318,318,FALSE
AL,1986,straton,1986-05-08,128,128,FALSE
AL,1986,stratoff,1986-08-26,238,238,FALSE
AL,1986,energy,1986-07-28,209,209,FALSE
AL,1986,stability,1986-07-28,209,209,FALSE
AL,1986,anoxia_summer,1986-07-28,209,209,FALSE
AL,1986,drsif_epiMin,1986-04-24,114,114,FALSE
AL,1986,totnuf_epiMin,NA,NA,158.5,TRUE
AL,1986,totpuf_epiMin,NA,NA,175.5,TRUE
AL,1986,doc_epiMax,1986-10-09,282,282,FALSE
AL,1986,totnuf_hypoMax,NA,NA,238,TRUE
AL,1986,totpuf_hypoMax,NA,NA,238,TRUE
AL,1986,drsif_epiSpringMin,1986-04-24,114,114,FALSE
AL,1986,secchi_max,1986-06-18,169,169,FALSE
AL,1986,secchi_min,1986-04-24,114,114,FALSE
AL,1986,secchi_springmax,1986-06-18,169,169,FALSE
AL,1986,zoopDensity,1986-08-13,225,225,FALSE
AL,1986,zoopDensity_spring,1986-04-24,114,114,FALSE
AL,1987,iceoff,1987-04-10,100,100,FALSE
AL,1987,iceon,1987-11-23,327,327,FALSE
AL,1987,straton,1987-05-04,124,124,FALSE
AL,1987,stratoff,1987-09-10,253,253,FALSE
AL,1987,energy,1987-07-27,208,208,FALSE
AL,1987,stability,1987-07-13,194,194,FALSE
AL,1987,anoxia_summer,1987-08-13,225,225,FALSE
AL,1987,drsif_epiMin,1987-04-15,105,105,FALSE
AL,1987,totnuf_epiMin,1987-06-11,162,162,FALSE
AL,1987,totpuf_epiMin,1987-10-05,278,278,FALSE
AL,1987,doc_epiMax,1987-09-10,253,253,FALSE
AL,1987,totnuf_hypoMax,1987-08-13,225,225,FALSE
AL,1987,totpuf_hypoMax,1987-06-11,162,162,FALSE
AL,1987,drsif_epiSpringMin,1987-04-15,105,105,FALSE
AL,1987,secchi_max,1987-05-18,138,138,FALSE
AL,1987,secchi_min,1987-08-26,238,238,FALSE
AL,1987,secchi_springmax,1987-05-18,138,138,FALSE
AL,1987,zoopDensity,1987-08-13,225,225,FALSE
AL,1987,zoopDensity_spring,1987-06-11,162,162,FALSE
AL,1988,iceoff,1988-04-12,103,103,FALSE
AL,1988,iceon,1988-11-30,335,335,FALSE
AL,1988,straton,1988-05-09,130,130,FALSE
AL,1988,stratoff,1988-08-30,243,243,FALSE
AL,1988,energy,1988-08-03,216,216,FALSE
AL,1988,stability,1988-06-20,172,172,FALSE
AL,1988,anoxia_summer,1988-08-18,231,231,FALSE
AL,1988,drsif_epiMin,1988-04-26,117,117,FALSE
AL,1988,totnuf_epiMin,1988-06-20,172,172,FALSE
AL,1988,totpuf_epiMin,1988-06-20,172,172,FALSE
AL,1988,doc_epiMax,1988-09-13,257,257,FALSE
AL,1988,totnuf_hypoMax,1988-08-18,231,231,FALSE
AL,1988,totpuf_hypoMax,1988-08-18,231,231,FALSE
AL,1988,drsif_epiSpringMin,1988-04-26,117,117,FALSE
AL,1988,secchi_max,1988-06-07,159,159,FALSE
AL,1988,secchi_min,1988-09-28,272,272,FALSE
AL,1988,secchi_springmax,1988-06-07,159,159,FALSE
AL,1988,zoopDensity,1988-08-18,231,231,FALSE
AL,1988,zoopDensity_spring,1988-06-20,172,172,FALSE
AL,1989,iceoff,1989-04-26,116,116,FALSE
AL,1989,iceon,1989-11-22,326,326,FALSE
AL,1989,straton,1989-05-16,136,136,FALSE
AL,1989,stratoff,1989-09-19,262,262,FALSE
AL,1989,energy,1989-07-25,206,206,FALSE
AL,1989,stability,1989-08-07,219,219,FALSE
AL,1989,anoxia_summer,1989-08-07,219,219,FALSE
AL,1989,drsif_epiMin,1989-05-01,121,121,FALSE
AL,1989,totnuf_epiMin,1989-08-22,234,234,FALSE
AL,1989,totpuf_epiMin,1989-07-25,206,206,FALSE
AL,1989,doc_epiMax,1989-07-25,206,206,FALSE
AL,1989,totnuf_hypoMax,1989-09-19,262,262,FALSE
AL,1989,totpuf_hypoMax,1989-06-28,179,179,FALSE
AL,1989,drsif_epiSpringMin,1989-05-01,121,121,FALSE
AL,1989,secchi_max,1989-05-29,149,149,FALSE
AL,1989,secchi_min,1989-09-06,249,249,FALSE
AL,1989,secchi_springmax,1989-05-29,149,149,FALSE
AL,1989,zoopDensity,1989-08-22,234,234,FALSE
AL,1989,zoopDensity_spring,1989-05-01,121,121,FALSE
AL,1990,iceoff,1990-04-17,107,107,FALSE
AL,1990,iceon,1990-12-03,337,337,FALSE
AL,1990,straton,1990-04-30,120,120,FALSE
AL,1990,stratoff,1990-09-04,247,247,FALSE
AL,1990,energy,1990-07-24,205,205,FALSE
AL,1990,stability,1990-04-30,120,120,FALSE
AL,1990,anoxia_summer,1990-07-09,190,190,FALSE
AL,1990,drsif_epiMin,1990-04-30,120,120,FALSE
AL,1990,totnuf_epiMin,1990-05-30,150,150,FALSE
AL,1990,totpuf_epiMin,1990-07-24,205,205,FALSE
AL,1990,doc_epiMax,1990-09-18,261,261,FALSE
AL,1990,totnuf_hypoMax,1990-08-22,234,234,FALSE
AL,1990,totpuf_hypoMax,1990-08-22,234,234,FALSE
AL,1990,drsif_epiSpringMin,1990-04-30,120,120,FALSE
AL,1990,secchi_max,1990-05-30,150,150,FALSE
AL,1990,secchi_min,1990-10-31,304,304,FALSE
AL,1990,secchi_springmax,1990-05-30,150,150,FALSE
AL,1990,zoopDensity,1990-04-30,120,120,FALSE
AL,1990,zoopDensity_spring,1990-04-30,120,120,FALSE
AL,1991,iceoff,1991-04-18,108,108,FALSE
AL,1991,iceon,1991-11-08,312,312,FALSE
AL,1991,straton,1991-05-21,141,141,FALSE
AL,1991,stratoff,1991-09-10,253,253,FALSE
AL,1991,energy,1991-07-15,196,196,FALSE
AL,1991,stability,1991-08-27,239,239,FALSE
AL,1991,anoxia_summer,1991-07-03,184,184,FALSE
AL,1991,drsif_epiMin,1991-05-07,127,127,FALSE
AL,1991,totnuf_epiMin,1991-07-30,211,211,FALSE
AL,1991,totpuf_epiMin,1991-06-04,155,155,FALSE
