lakeid,year,metric,sampledate,daynum
FI,2002,chlor_all,2002-09-25,268
FI,2002,chlor_fall,2002-09-25,268
FI,2002,chlor_spring,2002-06-17,168
FI,2003,chlor_all,2003-01-27,27
FI,2003,chlor_fall,2003-08-19,231
FI,2003,chlor_spring,2003-01-27,27
FI,2004,chlor_all,2004-06-09,161
FI,2004,chlor_fall,2004-11-10,315
FI,2004,chlor_spring,2004-06-09,161
ME,2002,chlor_all,2002-09-23,266
ME,2002,chlor_fall,2002-09-23,266
ME,2002,chlor_spring,2002-04-24,114
ME,2003,chlor_all,2003-04-28,118
ME,2003,chlor_fall,2003-09-02,245
ME,2003,chlor_spring,2003-04-28,118
ME,2004,chlor_all,2004-08-03,216
ME,2004,chlor_fall,2004-08-03,216
ME,2004,chlor_spring,2004-05-10,131
MO,2002,chlor_all,2002-09-23,266
MO,2002,chlor_fall,2002-09-23,266
MO,2002,chlor_spring,2002-06-05,156
MO,2003,chlor_all,2003-04-28,118
MO,2003,chlor_fall,2003-07-23,204
MO,2003,chlor_spring,2003-04-28,118
MO,2004,chlor_all,2004-04-26,117
MO,2004,chlor_fall,2004-08-03,216
MO,2004,chlor_spring,2004-04-26,117
WI,2002,chlor_all,2002-10-24,297
WI,2002,chlor_fall,2002-10-24,297
WI,2002,chlor_spring,2002-04-09,99
WI,2003,chlor_all,2003-09-04,247
WI,2003,chlor_fall,2003-09-04,247
WI,2003,chlor_spring,2003-06-12,163
WI,2004,chlor_all,2004-03-31,91
WI,2004,chlor_fall,2004-11-08,313
WI,2004,chlor_spring,2004-03-31,91
