lakeid,year,metric,daynum,sampledate
FI,1996,chlor_all,220,1996-08-07
FI,1996,chlor_spring,162,1996-06-10
FI,1996,chlor_fall,220,1996-08-07
FI,1997,chlor_all,175,1997-06-24
FI,1997,chlor_spring,175,1997-06-24
FI,1997,chlor_fall,217,1997-08-05
FI,1998,chlor_all,203,1998-07-22
FI,1998,chlor_spring,175,1998-06-24
FI,1998,chlor_fall,203,1998-07-22
FI,1999,chlor_all,215,1999-08-03
FI,1999,chlor_spring,160,1999-06-09
FI,1999,chlor_fall,215,1999-08-03
FI,2000,chlor_all,227,2000-08-14
FI,2000,chlor_spring,173,2000-06-21
FI,2000,chlor_fall,227,2000-08-14
FI,2001,chlor_all,213,2001-08-01
FI,2001,chlor_spring,170,2001-06-19
FI,2001,chlor_fall,213,2001-08-01
FI,2002,chlor_all,198,2002-07-17
FI,2002,chlor_spring,168,2002-06-17
FI,2002,chlor_fall,198,2002-07-17
FI,2003,chlor_all,231,2003-08-19
FI,2003,chlor_spring,175,2003-06-24
FI,2003,chlor_fall,231,2003-08-19
FI,2004,chlor_all,203,2004-07-21
FI,2004,chlor_spring,161,2004-06-09
FI,2004,chlor_fall,203,2004-07-21
FI,2005,chlor_all,203,2005-07-22
FI,2005,chlor_spring,174,2005-06-23
FI,2005,chlor_fall,203,2005-07-22
FI,2006,chlor_all,208,2006-07-27
FI,2006,chlor_spring,153,2006-06-02
FI,2006,chlor_fall,208,2006-07-27
FI,2007,chlor_all,191,2007-07-10
FI,2007,chlor_spring,163,2007-06-12
FI,2007,chlor_fall,191,2007-07-10
FI,2008,chlor_all,205,2008-07-23
FI,2008,chlor_spring,165,2008-06-13
FI,2008,chlor_fall,205,2008-07-23
FI,2009,chlor_all,175,2009-06-24
FI,2009,chlor_spring,175,2009-06-24
FI,2009,chlor_fall,218,2009-08-06
FI,2010,chlor_all,218,2010-08-06
FI,2010,chlor_spring,174,2010-06-23
FI,2010,chlor_fall,218,2010-08-06
FI,2011,chlor_all,200,2011-07-19
FI,2011,chlor_spring,167,2011-06-16
FI,2011,chlor_fall,200,2011-07-19
FI,2012,chlor_all,191,2012-07-09
FI,2012,chlor_spring,166,2012-06-14
FI,2012,chlor_fall,191,2012-07-09
FI,2013,chlor_all,191,2013-07-10
FI,2013,chlor_spring,164,2013-06-13
FI,2013,chlor_fall,191,2013-07-10
FI,2014,chlor_all,176,2014-06-25
FI,2014,chlor_spring,149,2014-05-29
FI,2014,chlor_fall,176,2014-06-25
FI,2015,chlor_all,230,2015-08-18
FI,2015,chlor_spring,161,2015-06-10
FI,2015,chlor_fall,230,2015-08-18
FI,2016,chlor_all,228,2016-08-15
FI,2016,chlor_spring,174,2016-06-22
FI,2016,chlor_fall,228,2016-08-15
FI,2017,chlor_all,194,2017-07-13
FI,2017,chlor_spring,166,2017-06-15
FI,2017,chlor_fall,194,2017-07-13
FI,2018,chlor_all,193,2018-07-12
FI,2018,chlor_spring,152,2018-06-01
FI,2018,chlor_fall,193,2018-07-12
FI,2019,chlor_all,220,2019-08-08
FI,2019,chlor_spring,164,2019-06-13
FI,2019,chlor_fall,220,2019-08-08
FI,2020,chlor_all,280,2020-10-06
FI,2020,chlor_spring,64,2020-03-04
FI,2020,chlor_fall,280,2020-10-06
ME,1995,chlor_all,172,1995-06-21
ME,1995,chlor_spring,172,1995-06-21
ME,1995,chlor_fall,242,1995-08-30
ME,1996,chlor_all,100,1996-04-09
ME,1996,chlor_spring,100,1996-04-09
ME,1996,chlor_fall,204,1996-07-22
ME,1997,chlor_all,245,1997-09-02
ME,1997,chlor_spring,99,1997-04-09
ME,1997,chlor_fall,245,1997-09-02
ME,1998,chlor_all,173,1998-06-22
ME,1998,chlor_spring,173,1998-06-22
ME,1998,chlor_fall,214,1998-08-02
ME,1999,chlor_all,172,1999-06-21
ME,1999,chlor_spring,172,1999-06-21
ME,1999,chlor_fall,187,1999-07-06
ME,2000,chlor_all,199,2000-07-17
ME,2000,chlor_spring,171,2000-06-19
ME,2000,chlor_fall,199,2000-07-17
ME,2001,chlor_all,197,2001-07-16
ME,2001,chlor_spring,100,2001-04-10
ME,2001,chlor_fall,197,2001-07-16
ME,2002,chlor_all,98,2002-04-08
ME,2002,chlor_spring,98,2002-04-08
ME,2002,chlor_fall,196,2002-07-15
ME,2003,chlor_all,21,2003-01-21
ME,2003,chlor_spring,21,2003-01-21
ME,2003,chlor_fall,216,2003-08-04
ME,2004,chlor_all,103,2004-04-12
ME,2004,chlor_spring,103,2004-04-12
ME,2004,chlor_fall,201,2004-07-19
ME,2005,chlor_all,199,2005-07-18
ME,2005,chlor_spring,171,2005-06-20
ME,2005,chlor_fall,199,2005-07-18
ME,2006,chlor_all,191,2006-07-10
ME,2006,chlor_spring,107,2006-04-17
ME,2006,chlor_fall,191,2006-07-10
ME,2007,chlor_all,176,2007-06-25
ME,2007,chlor_spring,120,2007-04-30
