node,days_from_start
4,0
1,24
5,24
8,53
10,79
7,95
11,110
2,118
9,144
6,171
3,236
4,374
5,388
8,431
7,459
9,459
10,459
2,483
11,485
1,530
6,530
3,584
4,733
5,767
10,796
8,823
2,848
7,850
11,850
9,873
1,891
6,912
3,955
4,1098
5,1109
10,1181
7,1208
8,1208
9,1208
2,1214
1,1220
11,1220
6,1244
3,1303
4,1455
5,1482
10,1523
7,1563
8,1563
9,1563
2,1579
11,1579
6,1592
1,1649
3,1683
4,1818
5,1843
10,1857
8,1913
7,1927
2,1944
9,1944
11,1944
6,1972
1,1997
3,2037
4,2186
5,2214
10,2243
8,2256
7,2300
2,2315
9,2315
6,2327
1,2356
11,2391
3,2411
4,2564
1,2571
5,2586
10,2599
7,2656
8,2669
9,2669
2,2684
6,2712
11,2763
3,2785
4,2921
5,2935
8,2935
10,2965
7,3020
2,3049
6,3062
9,3076
1,3105
11,3128
3,3141
4,3287
11,3307
5,3321
10,3321
2,3364
9,3364
7,3376
8,3419
1,3433
6,3433
3,3517
4,3663
5,3684
10,3698
7,3770
8,3770
9,3784
1,3810
2,3810
6,3825
11,3856
3,3857
4,4031
5,4048
10,4066
11,4066
9,4078
2,4092
8,4118
7,4149
6,4163
1,4176
3,4232
1,4364
4,4384
5,4416
9,4433
10,4433
11,4440
7,4454
8,4469
2,4540
6,4540
3,4609
1,4652
4,4753
5,4791
8,4818
10,4832
7,4861
9,4874
11,4874
2,4902
6,4916
3,4971
4,5135
5,5157
8,5170
2,5227
11,5227
9,5240
7,5253
10,5253
1,5266
6,5296
3,5319
4,5488
5,5505
11,5539
8,5555
2,5584
7,5584
10,5584
9,5598
6,5623
1,5665
3,5691
1,5812
4,5835
5,5849
2,5905
10,5905
11,5905
7,5931
8,5947
9,5974
6,6002
3,6058
4,6204
5,6228
7,6311
9,6311
10,6311
8,6324
2,6340
6,6352
1,6379
11,6411
3,6447
4,6551
5,6592
10,6592
8,6621
7,6661
9,6689
1,6743
2,6757
6,6757
11,6787
3,6802
4,6943
1,6954
5,6954
10,6982
7,7051
9,7051
8,7081
6,7093
2,7151
11,7151
3,7158
4,7305
5,7352
7,7395
8,7395
2,7424
9,7424
11,7424
10,7436
6,7465
1,7480
3,7543
4,7675
5,7683
1,7698
10,7712
9,7737
11,7767
8,7781
2,7793
7,7793
6,7823
3,7885
4,8035
5,8059
10,8073
2,8132
7,8132
8,8132
9,8143
6,8213
11,8213
1,8227
3,8260
4,8395
5,8403
11,8430
10,8445
8,8459
9,8501
2,8514
7,8514
6,8570
1,8587
3,8642
4,8762
1,8769
5,8769
10,8809
2,8851
7,8865
8,8880
9,8921
6,8936
11,8936
3,8988
4,9123
5,9137
10,9165
8,9194
11,9221
7,9235
9,9266
1,9305
2,9305
6,9305
3,9359
4,9505
2,9518
5,9518
10,9543
7,9614
8,9627
11,9627
9,9642
6,9655
1,9669
3,9716
4,9862
5,9887
8,9942
2,9957
6,10012
7,10012
9,10027
1,10042
10,10054
11,10068
3,10085
4,10208
5,10237
10,10237
8,10264
7,10334
9,10334
2,10363
1,10376
6,10405
11,10434
3,10461
4,10600
5,10622
10,10649
8,10678
9,10691
7,10705
2,10719
11,10747
1,10763
6,10763
3,10816
4,10929
5,10985
10,10985
1,11000
2,11000
7,11057
9,11057
8,11069
6,11125
11,11164
3,11184
4,11344
5,11350
10,11377
11,11377
7,11419
8,11419
9,11419
2,11462
6,11503
1,11519
3,11558
4,11707
1,11721
5,11721
8,11734
10,11749
9,11764
2,11776
7,11819
6,11860
11,11888
3,11904
4,12046
5,12071
10,12071
9,12140
7,12154
8,12154
2,12197
6,12210
1,12225
11,12225
3,12271
4,12418
5,12427
10,12469
2,12483
8,12483
9,12527
7,12542
6,12581
1,12596
11,12596
3,12645
4,12774
10,12800
5,12813
11,12813
2,12870
7,12883
9,12883
8,12911
1,12925
6,12954
3,13024
4,13166
5,13176
8,13191
7,13234
9,13234
2,13262
10,13302
1,13317
6,13317
11,13351
3,13366
