node,days_from_start
5,0
2,25
6,25
12,25
11,52
8,97
9,97
3,101
10,131
7,171
1,193
4,229
2,327
5,364
6,391
11,402
8,444
3,466
9,495
10,495
7,535
1,563
12,577
4,586
5,720
6,738
2,782
11,782
10,809
3,831
8,836
9,858
1,899
7,899
12,920
4,947
5,1088
2,1110
6,1110
11,1126
12,1126
1,1166
8,1196
9,1196
10,1196
3,1209
7,1252
4,1302
5,1443
2,1454
6,1469
11,1480
8,1552
10,1552
3,1565
9,1578
1,1607
7,1621
12,1650
4,1670
5,1806
2,1812
6,1832
11,1847
8,1915
3,1929
9,1929
10,1942
7,1985
1,2014
12,2014
4,2028
5,2177
2,2187
6,2203
12,2203
11,2217
8,2288
9,2302
10,2302
3,2327
1,2358
7,2358
4,2408
5,2554
2,2559
6,2572
11,2588
12,2588
3,2643
8,2643
9,2643
10,2671
7,2713
1,2727
4,2773
2,2825
5,2910
6,2923
11,2953
8,3009
10,3020
9,3035
12,3035
3,3065
1,3076
7,3076
4,3128
5,3276
2,3307
6,3307
11,3323
8,3393
3,3406
9,3406
10,3419
1,3447
7,3447
12,3469
4,3506
5,3653
2,3658
6,3673
11,3687
9,3702
3,3722
1,3757
8,3757
10,3770
7,3813
12,3848
4,3863
5,4018
2,4036
6,4036
3,4051
11,4051
9,4107
8,4136
10,4149
1,4175
7,4175
12,4212
4,4233
2,4352
5,4371
6,4399
11,4427
3,4443
8,4469
9,4485
10,4525
1,4554
7,4554
12,4581
4,4598
2,4639
5,4740
6,4764
11,4792
12,4792
8,4848
9,4863
10,4878
3,4891
7,4917
1,4931
4,4971
5,5126
2,5142
6,5142
9,5198
11,5198
3,5240
8,5240
10,5254
1,5281
7,5281
12,5304
4,5310
5,5477
2,5485
6,5512
11,5527
12,5527
3,5540
9,5540
8,5570
1,5584
10,5612
7,5642
4,5689
2,5802
5,5822
6,5837
12,5837
11,5848
9,5933
8,5947
3,5975
10,5975
7,6002
1,6030
4,6052
5,6194
6,6212
11,6227
2,6241
3,6268
9,6283
8,6297
10,6339
7,6366
1,6383
12,6404
4,6446
5,6547
2,6563
6,6577
11,6605
8,6674
10,6691
9,6705
3,6718
7,6744
1,6760
12,6773
4,6805
5,6930
2,6944
6,6944
11,6971
9,7026
8,7039
10,7067
3,7080
7,7094
1,7124
12,7136
4,7159
5,7292
2,7311
6,7325
12,7325
8,7396
9,7396
11,7396
3,7409
1,7451
10,7451
7,7465
4,7545
5,7665
2,7685
6,7685
12,7700
11,7710
3,7781
8,7781
9,7795
10,7810
7,7836
1,7852
4,7881
5,8027
2,8035
6,8047
3,8089
8,8131
10,8145
9,8158
12,8172
7,8201
1,8216
11,8228
4,8252
5,8386
2,8393
6,8417
11,8432
3,8446
9,8460
8,8503
10,8546
1,8571
7,8571
12,8596
4,8633
5,8750
2,8760
6,8760
11,8785
12,8785
3,8837
1,8852
8,8865
9,8865
10,8865
7,8921
4,8983
5,9120
11,9126
2,9138
6,9138
8,9224
9,9265
10,9265
3,9292
7,9292
12,9292
1,9324
4,9350
5,9497
6,9506
2,9517
12,9531
11,9551
3,9588
8,9588
9,9617
10,9617
1,9656
7,9671
4,9713
5,9849
6,9874
2,9888
12,9888
3,9916
11,9916
8,9971
9,9971
10,9971
7,10014
1,10027
4,10080
2,10125
5,10195
6,10230
12,10237
11,10252
3,10265
8,10321
9,10321
10,10336
7,10377
1,10394
4,10448
2,10486
5,10589
11,10597
12,10597
6,10609
3,10654
8,10693
9,10707
10,10734
7,10748
1,10791
4,10812
2,10848
5,10916
6,10958
12,10958
8,11042
9,11059
10,11085
3,11098
1,11112
7,11112
11,11155
4,11176
5,11332
6,11351
2,11364
11,11378
9,11409
3,11422
8,11449
10,11449
7,11492
1,11504
12,11521
4,11549
5,11696
2,11708
6,11708
11,11735
3,11791
8,11791
9,11820
10,11820
7,11848
1,11863
12,11877
4,11899
5,12037
2,12046
6,12059
11,12072
12,12072
8,12143
9,12143
3,12185
10,12199
1,12227
7,12227
4,12258
5,12407
2,12416
6,12428
11,12428
12,12442
3,12500
8,12527
9,12527
10,12555
7,12598
1,12614
4,12660
5,12761
12,12773
2,12785
6,12800
11,12800
3,12828
8,12883
9,12898
10,12940
1,12954
7,12954
4,13011
2,13051
5,13153
6,13165
12,13193
3,13219
9,13233
11,13233
8,13261
10,13291
7,13319
1,13339
4,13374
