node,days_from_start
2,0
5,100
6,115
9,126
3,161
10,169
8,185
12,213
1,232
11,247
7,261
4,309
2,431
5,463
6,479
3,526
8,547
9,547
10,547
7,619
11,619
12,619
1,638
4,673
2,717
5,812
6,843
9,882
3,891
10,898
8,925
12,925
1,941
7,962
11,980
4,1030
2,1093
5,1190
6,1200
10,1200
9,1212
3,1257
8,1295
1,1310
12,1330
7,1375
11,1375
4,1389
5,1544
2,1556
3,1556
6,1556
9,1569
10,1638
12,1638
8,1655
11,1655
1,1709
7,1736
4,1758
2,1862
5,1907
6,1911
10,1911
9,1962
3,1982
8,2016
11,2016
12,2033
1,2045
7,2074
4,2122
2,2193
5,2278.5
6,2305
9,2333
10,2347
12,2347
3,2373
1,2388
8,2388
11,2431
7,2443
4,2500
2,2591
5,2650
6,2663
12,2704
3,2716
9,2731
8,2746
10,2746
11,2760
1,2801
7,2842
4,2862
5,3007
2,3026
6,3026
3,3054
12,3066
11,3080
9,3096
8,3110
10,3122
7,3151
1,3192
4,3221
2,3350
5,3371
6,3410
9,3423
12,3437
8,3466
3,3481
10,3507
1,3522
7,3522
11,3550
4,3599
5,3749
2,3759
6,3759
9,3790
10,3802
3,3824
12,3841
8,3843
11,3873
7,3901
1,3915
4,3942
2,4014
5,4116
6,4124
10,4124
12,4166
3,4182
9,4193
1,4210
8,4237
11,4252
7,4279
4,4311
2,4382
5,4471
6,4487
11,4522
9,4530
12,4530
3,4545
8,4545
10,4545
1,4588
7,4628
4,4677
2,4776
5,4834
6,4852
9,4908
10,4908
3,4935
12,4940
8,4964
7,5007
11,5007
1,5020
4,5057
5,5221
2,5224
6,5224
10,5224
1,5272
3,5285
9,5285
8,5344
11,5357
7,5370
12,5405
4,5406
2,5474
5,5576
6,5588
9,5614
1,5642
8,5642
10,5642
3,5671
7,5699
11,5699
12,5699
4,5777
2,5846
5,5922
6,5936
3,5993
9,5993
1,6022
8,6022
11,6048
12,6048
7,6077
10,6077
4,6141
2,6210
5,6290
6,6315
11,6330
3,6344
12,6372
8,6398
9,6398
10,6412
1,6443
7,6469
4,6533
5,6640
6,6678
2,6694
9,6722
12,6722
3,6765
10,6777
8,6791
1,6818
7,6861
11,6861
4,6887
5,7030
6,7045
2,7077
12,7114
9,7127
10,7127
8,7142
3,7156
1,7184
7,7197
11,7212
4,7244
5,7394
6,7415
3,7428
2,7442
12,7456
9,7469
10,7469
8,7485
11,7497
7,7540
1,7568
4,7628
2,7703
5,7756
3,7773
6,7773
1,7828
9,7841
12,7855
10,7868
8,7882
7,7913
11,7940
4,7970
2,8038
5,8124
3,8136
6,8136
10,8207
9,8219
8,8234
11,8248
7,8290
12,8304
4,8327
1,8330
2,8395
5,8484
6,8491
3,8549
8,8577
9,8577
12,8604
10,8617
7,8662
11,8675
1,8695
4,8710
2,8760
5,8849
6,8856
3,8885
8,8941
9,8941
10,8941
12,8941
1,8982
7,9024
11,9039
4,9069
2,9135
5,9212
6,9226
9,9282
10,9282
12,9282
3,9312
8,9325
7,9382
1,9409
11,9425
4,9447
5,9592
3,9605
6,9605
2,9650
9,9662
10,9677
8,9689
1,9759
11,9759
7,9789
12,9789
4,9798
5,9951
6,9961
2,9976
9,10018
3,10047
8,10074
7,10103
10,10103
11,10103
12,10103
1,10115
4,10166
5,10294
6,10313
2,10356
11,10368
10,10396
12,10396
9,10409
8,10425
7,10495
1,10507
3,10507
4,10544
5,10687
2,10696
6,10713
3,10727
10,10727
9,10766
8,10781
11,10810
7,10851
12,10866
1,10879
4,10900
5,11018
6,11034
11,11090
2,11104
10,11104
3,11118
8,11145
9,11145
1,11160
7,11230
12,11230
4,11261
5,11431
2,11438
6,11438
10,11456
3,11467
9,11467
8,11495
1,11522
11,11553
12,11553
7,11581
4,11636
5,11795
6,11811
2,11839
9,11852
11,11880
3,11895
8,11908
10,11908
12,11923
7,11938
1,11951
4,11993
2,12117
5,12135
6,12145
3,12175
11,12202
10,12230
12,12230
8,12245
9,12245
1,12273
7,12299
4,12349
5,12505
6,12513
2,12532
11,12560
3,12573
10,12589
9,12603
8,12630
1,12686
12,12686
7,12699
4,12727
5,12863
6,12874
2,12904
9,12931
3,12958
12,12958
8,12971
1,13016
10,13029
7,13057
11,13076
4,13106
2,13217
5,13254
6,13265
10,13309
8,13321
9,13321
1,13379
11,13393
3,13407
7,13407
12,13407
4,13442
