node,days_from_start
4,0
1,9
5,9
10,79
7,94
8,94
11,94
2,102
9,144
6,157
3,224
4,362
5,376
1,401
11,401
10,445
2,467
7,472
8,472
6,536
9,536
3,585
4,719
1,738
5,753
10,795
11,809
2,832
7,835
8,835
9,880
6,899
3,946
4,1087
5,1096
1,1110
10,1124
11,1150
7,1194
2,1209
8,1209
9,1250
6,1270
3,1311
4,1442
5,1465
2,1482
10,1496
11,1538
7,1551
8,1579
6,1621
9,1621
1,1647
3,1669
4,1803
5,1816
10,1878
7,1915
2,1929
8,1956
9,1970
6,1985
1,2013
11,2027
3,2028
4,2175
10,2187
1,2203
5,2203
7,2300
8,2300
11,2314
9,2343
6,2355
2,2383
3,2407
1,2454
4,2552
5,2573
10,2616
7,2644
2,2672
8,2672
11,2672
9,2714
6,2740
3,2772
4,2904
5,2924
10,2952
8,3022
7,3050
2,3063
9,3063
1,3091
6,3091
11,3119
3,3127
4,3273
5,3308
8,3337
10,3379
11,3393
2,3407
7,3407
9,3421
6,3449
1,3470
3,3503
4,3651
5,3658
11,3685
2,3719
10,3719
7,3769
8,3769
9,3797
1,3813
6,3813
3,3862
4,4017
1,4022
5,4036
8,4106
2,4133
7,4133
9,4133
11,4133
10,4147
6,4190
3,4232
4,4370
5,4400
8,4429
7,4499
10,4512
11,4512
2,4527
9,4541
6,4555
1,4582
3,4597
4,4731
5,4750
11,4849
2,4862
7,4862
8,4862
9,4890
10,4905
6,4919
1,4932
3,4963
4,5123
5,5143
10,5198
2,5212
7,5240
8,5240
9,5255
6,5282
1,5302
11,5302
3,5320
4,5474
1,5485
5,5485
10,5554
8,5567
7,5582
2,5595
11,5595
9,5637
6,5651
3,5688
1,5737
4,5820
2,5835
5,5835
10,5934
11,5947
7,5961
8,5976
9,6003
6,6018
3,6051
4,6192
5,6213
2,6298
7,6298
10,6325
8,6339
9,6367
1,6381
6,6381
11,6381
3,6443
4,6543
1,6563
5,6577
7,6676
8,6676
11,6687
10,6705
2,6718
9,6718
6,6760
3,6804
1,6838
4,6929
5,6942
10,6983
2,6998
7,7040
11,7040
9,7054
8,7068
6,7109
3,7158
4,7291
1,7313
5,7327
2,7355
8,7411
11,7411
10,7424
7,7438
9,7452
6,7467
3,7544
1,7643
4,7662
5,7671
8,7768
10,7768
2,7782
7,7782
11,7810
9,7823
6,7838
3,7880
4,8021
5,8048
7,8132
10,8132
8,8146
9,8146
11,8172
2,8201
6,8215
1,8228
3,8251
4,8383
5,8389
2,8446
8,8489
7,8502
10,8543
9,8560
11,8560
6,8571
1,8599
3,8632
4,8747
5,8754
2,8867
7,8867
8,8867
10,8896
9,8908
11,8923
6,8936
1,8952
3,8982
4,9109
5,9124
10,9195
8,9210
7,9223
2,9266
9,9294
11,9294
1,9308
6,9308
3,9349
4,9495
5,9502
1,9532
8,9545
2,9587
11,9587
7,9614
10,9643
6,9671
9,9671
3,9712
4,9848
5,9876
11,9921
10,9945
8,9958
9,9973
7,10000
2,10029
6,10029
1,10056
3,10077
4,10191
2,10211
5,10211
10,10308
7,10329
8,10329
9,10379
11,10379
6,10392
1,10420
3,10451
4,10588
1,10595
5,10609
11,10666
2,10707
7,10707
8,10707
9,10750
10,10750
6,10763
3,10809
4,10915
5,10961
11,11016
2,11029
8,11044
7,11050
9,11065
1,11086
6,11086
10,11128
3,11175
4,11329
5,11353
2,11364
8,11364
11,11407
1,11435
6,11451
7,11451
9,11451
10,11492
3,11547
4,11693
5,11709
2,11765
10,11765
11,11765
7,11792
8,11807
9,11847
6,11860
1,11884
3,11898
4,12035
1,12042
5,12042
7,12140
8,12154
11,12154
2,12185
9,12211
10,12211
6,12225
3,12257
4,12404
5,12429
2,12498
7,12527
8,12527
10,12527
11,12527
9,12596
1,12616
6,12616
3,12659
4,12760
5,12786
2,12856
7,12856
11,12856
8,12883
6,12952
9,12952
10,12952
1,12980
3,13010
4,13154
5,13163
10,13163
2,13219
8,13219
11,13248
7,13261
9,13304
6,13317
1,13343
3,13373
