node,days_from_start
4,0
5,38
11,79
2,107
1,116
8,149
7,165
9,165
6,203
10,203
3,270
4,339
5,401
10,442
11,456
1,470
2,470
8,484
7,498
9,556
6,582
3,657
4,715
5,743
10,793
11,810
7,849
8,863
1,877
9,918
2,945
6,945
3,1010
4,1077
5,1128
11,1171
1,1212
8,1212
7,1226
9,1226
2,1282
6,1309
10,1344
3,1390
1,1403
4,1466
5,1493
10,1493
2,1507
11,1507
8,1591
7,1603
9,1603
6,1673
3,1724
4,1799
5,1856
10,1870
1,1885
11,1906
8,1941
7,1969
9,1969
2,2010
6,2039
3,2108
4,2188
5,2222
10,2249
8,2290
1,2308
7,2333
9,2333
11,2333
2,2375
6,2403
3,2450
11,2499
4,2552
5,2591
10,2620
8,2662
1,2673
2,2690
7,2690
9,2703
6,2746
3,2831
4,2927
5,2944
10,2955
2,2970
11,3001
1,3038
7,3040
8,3055
9,3055
6,3119
3,3196
4,3274
1,3306
5,3306
10,3363
11,3367
8,3391
9,3406
2,3420
7,3432
6,3511
3,3545
4,3653
5,3679
10,3706
11,3732
8,3762
9,3776
2,3790
7,3790
1,3803
6,3846
3,3951
4,4031
5,4043
10,4071
2,4124
7,4124
9,4124
8,4154
11,4154
1,4197
6,4236
3,4274
4,4381
10,4407
1,4421
5,4421
2,4490
7,4518
8,4518
9,4518
11,4518
6,4582
3,4649
4,4748
5,4776
11,4776
10,4788
8,4839
2,4882
1,4894
7,4894
9,4894
6,4944
3,5025
1,5079
5,5120
4,5122
2,5135
10,5176
9,5233
7,5247
8,5247
6,5303
11,5331
3,5372
4,5466
5,5519
10,5533
2,5561
7,5594
9,5604
8,5617
1,5651
6,5673
11,5701
3,5762
4,5860
5,5869
7,5950
8,5950
1,5968
2,6009
9,6009
6,6043
10,6066
11,6066
3,6125
4,6225
5,6253
10,6253
2,6265
11,6289
7,6329
1,6380
8,6380
9,6380
6,6430
3,6469
4,6582
1,6623
5,6623
10,6639
2,6652
11,6652
8,6679
7,6709
9,6742
6,6765
3,6826
4,6928
5,6960
10,6987
7,7073
8,7085
9,7085
2,7136
1,7163
6,7163
11,7163
3,7231
1,7267
4,7286
5,7340
10,7353
8,7378
11,7378
9,7438
7,7448
2,7465
6,7532
3,7571
4,7674
5,7696
11,7696
10,7711
8,7766
7,7794
9,7794
2,7809
1,7820
6,7882
3,7946
4,8041
1,8066
5,8066
11,8115
8,8158
9,8171
7,8183
10,8183
2,8201
6,8257
3,8296
