node,days_from_start
5,0
2,9
11,34
12,44
6,58
3,99
9,99
1,113
8,158
10,158
7,199
4,264
5,333
2,374
6,408
11,408
12,423
3,465
8,493
9,493
10,505
1,520
7,549
4,651
5,720
2,754
6,754
11,771
3,827
12,827
1,844
8,844
9,844
10,870
7,940
4,1004
5,1072
2,1093
6,1121
11,1121
12,1121
3,1192
9,1192
1,1205
8,1219
10,1219
7,1285
4,1384
2,1459
5,1467
11,1486
3,1500
6,1500
9,1500
12,1500
1,1569
8,1599
10,1599
7,1668
4,1718
5,1810
2,1836
3,1863
6,1863
11,1863
12,1863
1,1919
8,1961
9,1961
10,1961
7,2005
4,2103
5,2194
2,2208.5
6,2227
11,2241
12,2283
1,2303.5
8,2308
9,2325
10,2325
3,2367
7,2367
4,2470
5,2553
2,2573.5
6,2584
11,2599
12,2640
1,2668.5
3,2682
9,2682
8,2696
10,2711
7,2738
4,2838
5,2926
2,2938.5
3,2962
6,2962
11,2962
12,2962
9,3004
1,3033.5
8,3047
10,3047
7,3110
4,3191
5,3280
6,3326
11,3326
12,3354
2,3368
1,3383
3,3410
8,3424
10,3424
7,3466
9,3466
4,3550
5,3648
6,3684
2,3712
3,3753
8,3781
10,3781
9,3811
1,3837
7,3837
11,3893
12,3893
4,3947
5,4028
2,4033
6,4061
11,4061
12,4089
9,4131
8,4145
10,4145
1,4201
3,4201
7,4229
4,4287
5,4374
2,4397
6,4425
11,4441
12,4453
1,4481
3,4509
8,4509
10,4509
9,4523
7,4565
4,4643
5,4743
2,4775
6,4789
12,4789
11,4818
1,4859
8,4889
9,4903
3,4931
7,4931
10,4931
4,5021
2,5111
5,5116
6,5167
11,5167
3,5181
12,5195
1,5209
10,5238
8,5251
9,5251
7,5301
4,5372
5,5459
2,5496
6,5525
12,5539
3,5552
11,5552
9,5594
8,5604
10,5604
1,5664
7,5664
4,5767
2,5834
5,5854
6,5861
11,5875
12,5875
9,5945
10,5958
8,5972
3,6001
1,6028
7,6028
4,6132
5,6221
3,6253
6,6253
12,6267
11,6280
2,6294
1,6308
10,6308
9,6322
8,6366
7,6392
4,6469
5,6577
2,6618
6,6618
3,6644
9,6644
11,6644
12,6644
1,6672
10,6686
8,6729
7,6755
4,6851
5,6922
6,6970
2,6982
11,7008
12,7008
1,7038
3,7064
9,7064
8,7079
10,7079
7,7129
4,7225
5,7280
2,7330
6,7330
11,7346
12,7346
3,7373
9,7373
10,7428
8,7442
1,7528
7,7528
4,7580
5,7670
2,7687
6,7687
11,7730
12,7743
8,7785
1,7815
9,7815
7,7857
10,7857
3,7933
4,7941
5,8035
2,8072
6,8072
3,8107
12,8107
1,8149
10,8149
8,8179
9,8179
7,8236
11,8279
4,8294
