node,days_from_start
5,0
2,9
12,37
6,50
11,77
3,106
1,119
9,133
8,164
10,164
7,205
4,270
2,295
5,339
11,392
6,429
12,429
3,443
1,471
8,486
10,500
9,511
7,554
4,657
5,715
2,722
6,763
12,763
11,777
9,819
1,833
8,850
10,850
3,860
7,946
4,1010
5,1077
6,1127
12,1127
11,1131
3,1170
2,1183
1,1211
8,1225
10,1225
9,1240
7,1281
4,1390
5,1466
2,1477
6,1492
11,1492
3,1506
9,1506
12,1519
1,1590
8,1605
10,1605
7,1674
4,1724
5,1799
2,1841
6,1871
11,1871
12,1871
9,1911
3,1953
8,1967
10,1967
1,1981
7,2011
4,2108
5,2188
2,2210
6,2220
11,2248
12,2277
9,2314
8,2332
10,2332
1,2350
3,2374
7,2374
4,2450
5,2552
2,2575
6,2590
12,2590
11,2619
3,2689
8,2702
10,2702
1,2715
9,2718
7,2745
4,2831
5,2927
2,2940
12,2957
6,2969
11,2969
3,3026
8,3039
9,3039
10,3055
1,3080
7,3117
4,3196
5,3274
2,3311
6,3311
12,3320
11,3333
1,3403
10,3403
3,3418
8,3430
9,3430
7,3473
4,3545
5,3653
2,3663
6,3677
11,3691
12,3704
3,3761
8,3788
10,3788
9,3801
1,3845
7,3845
4,3951
2,4026
5,4031
6,4055
12,4055
11,4074
3,4123
9,4123
10,4152
8,4180
1,4210
7,4210
4,4274
5,4381
2,4406
6,4419
11,4433
12,4447
1,4501
8,4516
10,4516
9,4547
3,4571
7,4603
4,4649
5,4748
2,4771
6,4771
12,4795
11,4812
8,4896
9,4896
1,4911
3,4937
7,4937
10,4937
4,5025
5,5122
2,5131
3,5131
6,5131
12,5162
11,5174
9,5230
8,5245
10,5257
1,5310
7,5310
4,5372
5,5466
2,5517
11,5531
12,5531
6,5546
3,5559
10,5601
8,5615
9,5615
1,5671
7,5671
4,5762
5,5860
12,5868
6,5883
11,5883
2,5896
3,5923
8,5952
9,5952
10,5952
1,6035
7,6035
4,6125
5,6225
2,6252
3,6253
6,6253
11,6260
12,6274
1,6301
10,6314
8,6328
9,6328
7,6399
4,6469
5,6582
2,6610
6,6625
11,6625
12,6638
3,6651
8,6722
9,6722
7,6764
10,6764
1,6799
4,6826
5,6928
2,6959
6,6976
11,6988
12,6988
1,7045
10,7058
8,7071
9,7088
3,7135
7,7135
4,7231
5,7286
2,7337
6,7337
3,7352
11,7364
12,7364
10,7435
8,7449
9,7464
1,7535
7,7535
4,7571
2,7630
5,7674
6,7695
11,7710
12,7710
8,7792
10,7792
9,7821
1,7841
3,7841
7,7864
4,7946
2,7975
5,8041
6,8086
11,8086
12,8086
3,8114
10,8142
9,8184
8,8200
1,8232
7,8232
4,8296
