node,days_from_start
1,0
4,103
5,112
7,181
8,194
2,203
10,209
9,243
6,272
11,294
3,325
1,432
4,464
5,476
2,568
7,594
8,594
9,594
10,594
6,651
11,651
3,686
4,821
1,840
5,852
11,923
2,933
7,939
8,939
10,939
6,1001
9,1001
3,1047
4,1187
1,1211
5,1211
11,1237
8,1279
7,1293
10,1293
2,1307
9,1349
6,1372
3,1415
4,1542
1,1555
5,1568
10,1622
7,1651
2,1664
8,1678
9,1721
6,1735
11,1735
3,1770
1,1861
4,1906
5,1916
10,1986
7,2016
2,2029
8,2044
9,2057
6,2099
11,2099
3,2141
4,2275
1,2287
5,2301
11,2316
10,2371
2,2400
7,2400
8,2400
9,2442
6,2469
3,2508
1,2549
4,2651
5,2674
7,2742
2,2770
8,2770
10,2770
9,2812
6,2842
11,2855
3,2873
4,3008
1,3022
5,3022
11,3064
10,3079
8,3135
7,3149
9,3149
2,3164
6,3191
3,3233
1,3317
4,3376
5,3409
8,3449
10,3491
2,3507
7,3507
11,3507
9,3519
6,3547
3,3604
1,3646
4,3753
5,3772
10,3799
2,3869
7,3869
8,3869
9,3900
6,3926
11,3946
3,3965
1,4011
4,4118
5,4136
2,4206
8,4221
7,4233
10,4233
11,4233
9,4249
6,4289
3,4333
1,4450
4,4474
5,4499
2,4571
8,4584
11,4599
10,4612
7,4627
9,4639
6,4668
3,4697
1,4779
4,4842
5,4863
2,4933
7,4947
8,4947
11,4962
10,4977
9,4990
6,5032
3,5071
4,5224
1,5228
5,5243
8,5300
11,5314
2,5342
7,5342
10,5342
9,5367
6,5382
3,5421
4,5577
1,5585
5,5600
2,5669
7,5669
8,5669
10,5669
9,5684
11,5699
6,5756
3,5789
1,5836
4,5922
5,5949
8,6048
10,6048
7,6062
2,6076
9,6091
6,6117
11,6140
3,6180
4,6294
5,6313
7,6398
10,6398
8,6411
2,6424
9,6424
6,6481
1,6503
11,6503
3,6545
1,6572
4,6647
5,6677
7,6775
8,6804
9,6804
10,6831
2,6845
6,6860
11,6875
3,6905
4,7032
1,7040
5,7040
11,7110
2,7125
10,7125
7,7138
8,7167
9,7181
6,7222
3,7259
4,7392
1,7427
5,7427
7,7496
8,7496
10,7496
2,7511
11,7526
9,7554
6,7582
3,7645
1,7742
4,7764
5,7784
2,7882
7,7882
8,7882
10,7882
9,7924
11,7924
6,7951
3,7981
1,8027
4,8122
5,8146
11,8203
2,8218
7,8230
8,8230
9,8244
10,8288
6,8314
3,8352
1,8400
4,8485
5,8491
2,8545
10,8545
7,8602
8,8615
9,8643
6,8671
11,8700
3,8733
1,8763
4,8849
5,8868
10,8939
8,8953
2,8967
7,8967
11,8967
9,9010
6,9038
3,9083
1,9126
4,9214
5,9225
2,9308
10,9322
7,9336
8,9365
9,9394
11,9394
6,9407
3,9468
1,9493
4,9598
5,9610
11,9659
2,9714
7,9714
8,9714
9,9728
10,9728
6,9770
3,9813
1,9862
4,9954
5,9975
2,10045
10,10045
7,10073
8,10088
9,10116
11,10129
6,10144
3,10181
1,10219
4,10296
5,10324
7,10422
8,10422
10,10436
2,10478
9,10478
6,10506
11,10522
3,10552
1,10590
4,10687
5,10708
2,10726
11,10751
7,10792
8,10806
10,10821
9,10849
6,10876
3,10913
1,10989
4,11016
5,11060
2,11144
7,11144
10,11144
11,11144
8,11159
6,11215
9,11215
3,11277
4,11432
1,11439
5,11439
8,11507
2,11520
7,11550
10,11578
11,11578
9,11591
6,11605
3,11649
4,11796
1,11807
5,11807
9,11822
2,11836
7,11905
8,11905
10,11905
6,11962
11,11982
3,11999
4,12137
5,12158
11,12171
7,12242
8,12256
2,12284
9,12313
10,12313
6,12327
1,12354
3,12358
4,12505
1,12515
5,12529
8,12586
10,12613
7,12629
9,12670
2,12684
6,12719
11,12719
3,12760
4,12861
1,12871
5,12901
2,12985
7,12985
8,12997
10,12997
11,13039
6,13054
9,13054
3,13111
1,13182
4,13253
5,13264
2,13321
8,13321
10,13348
7,13363
11,13404
6,13417
9,13417
3,13474
