node,days_from_start
4,0
1,10
5,23
10,50
7,77
8,92
2,99
11,131
9,147
6,171
3,231
4,363
5,386
7,457
10,457
2,464
11,469
8,493
9,493
6,533
1,576
3,589
4,723
1,735
5,750
10,778
11,794
8,805
2,829
7,835
9,855
6,897
3,944
4,1086
1,1106
5,1106
10,1135
11,1178
7,1191
2,1205
8,1205
9,1228
6,1267
3,1326
4,1442
5,1465
10,1506
7,1547
8,1547
2,1562
9,1579
11,1617
6,1631
1,1660
3,1676
4,1808
5,1842
11,1884
7,1911
10,1911
2,1925
8,1940
9,1968
6,1995
1,2024
3,2044
4,2185
1,2187
5,2199
10,2227
11,2282
2,2296
7,2296
8,2310
9,2338
6,2354
3,2424
4,2556
1,2557
5,2569
10,2613
8,2626
7,2641
2,2669
11,2682
9,2724
6,2740
3,2781
1,2815
4,2909
5,2933
10,2975
7,3003
8,3018
11,3031
2,3060
9,3060
6,3087
3,3134
4,3279
5,3304
8,3348
10,3362
2,3404
7,3404
11,3404
9,3434
6,3446
1,3479
3,3512
4,3649
1,3669
5,3669
10,3684
11,3697
2,3766
7,3766
8,3766
9,3794
6,3822
3,3865
4,4021
5,4032
2,4047
10,4089
8,4117
7,4132
11,4132
9,4158
6,4186
1,4207
3,4239
1,4354
4,4372
5,4398
11,4425
2,4467
7,4467
8,4480
10,4510
9,4537
6,4564
3,4594
4,4745
10,4749
5,4763
11,4790
7,4846
2,4861
8,4861
9,4889
6,4916
1,4931
3,4971
4,5127
5,5142
8,5181
2,5208
7,5240
10,5240
9,5250
1,5279
6,5279
11,5302
3,5323
4,5476
1,5499
5,5499
11,5524
2,5567
10,5567
7,5580
8,5580
9,5622
6,5652
3,5688
1,5737
4,5821
5,5832
10,5904
8,5931
7,5946
11,5946
2,5975
9,5987
6,6015
3,6077
4,6198
1,6216
5,6223
10,6245
11,6266
7,6294
8,6337
9,6350
2,6377
6,6377
3,6448
4,6547
10,6552
1,6573
5,6573
11,6603
2,6686
7,6686
9,6700
8,6714
6,6756
3,6805
4,6929
5,6954
11,6982
2,6995
7,7037
10,7051
8,7067
9,7093
1,7108
6,7108
3,7159
4,7295
5,7338
8,7365
11,7378
7,7392
10,7392
2,7407
9,7450
6,7463
1,7478
3,7547
1,7640
4,7664
5,7696
10,7722
11,7722
2,7778
7,7778
8,7778
9,7820
6,7847
3,7884
4,8022
5,8047
1,8059
11,8087
2,8114
10,8114
7,8129
8,8144
9,8144
6,8214
3,8249
4,8383
1,8401
5,8415
10,8431
11,8445
2,8472
8,8486
7,8501
9,8558
6,8569
3,8630
4,8747
1,8768
5,8780
10,8796
2,8834
11,8834
8,8848
7,8863
9,8906
6,8933
3,8985
4,9119
1,9124
5,9151
11,9179
2,9206
7,9220
10,9220
8,9263
9,9292
6,9305
3,9368
4,9496
1,9506
5,9516
10,9544
11,9558
7,9586
2,9613
8,9613
9,9627
6,9670
3,9717
4,9855
1,9870
5,9870
11,9914
10,9927
2,9940
8,9954
7,9969
9,9969
6,10025
3,10082
4,10195
1,10208
5,10222
11,10264
2,10292
10,10292
7,10320
8,10349
9,10360
6,10402
3,10455
4,10588
5,10608
1,10622
2,10622
7,10678
11,10678
8,10706
10,10721
9,10747
6,10775
3,10812
4,10913
5,10956
1,10969
11,10986
10,11011
2,11040
7,11040
8,11068
9,11110
6,11124
3,11202
4,11333
1,11336
5,11350
10,11390
11,11390
8,11405
2,11448
7,11448
9,11487
6,11503
3,11555
4,11694
1,11707
5,11735
2,11762
8,11762
10,11791
7,11804
11,11819
9,11831
6,11861
3,11907
4,12037
1,12057
5,12057
11,12099
10,12113
8,12141
7,12155
2,12184
9,12211
6,12225
3,12262
4,12404
5,12428
11,12442
10,12456
2,12499
8,12499
7,12527
9,12568
1,12596
6,12615
3,12664
4,12765
1,12772
5,12800
11,12828
10,12869
2,12883
7,12883
8,12897
9,12939
6,12953
3,13012
4,13154
1,13163
5,13178
2,13219
8,13219
11,13219
7,13247
10,13247
9,13289
6,13317
3,13374
