node,days_from_start
5,0
2,21
6,66
3,78
11,78
12,79
10,107
8,135
9,135
1,144
7,204
4,247
5,338
2,428
6,444
12,445
8,456
9,456
10,456
1,470
3,470
7,487
11,605
4,623
5,716
6,759
3,807
10,807
12,810
2,821
8,821
9,821
11,821
1,865
7,889
4,1002
5,1075
6,1114
11,1142
2,1170
3,1170
9,1170
12,1175
7,1184
10,1201
1,1211
8,1226
4,1363
2,1402
5,1471
11,1479
6,1521
12,1540
9,1548
1,1590
10,1590
8,1603
3,1618
7,1618
4,1702
5,1815
11,1844
2,1885
12,1906
6,1926
10,1939
8,1955
9,1955
3,1982
7,1982
1,2040
4,2100
5,2190
11,2206
2,2213
6,2234
12,2271
9,2291
10,2291
3,2306
8,2306
1,2336
7,2376
4,2443
5,2548
11,2565
2,2578
12,2636
6,2648
9,2648
3,2668
1,2701
7,2706
8,2706
10,2706
4,2815
5,2930
2,2943
6,2971
9,2971
11,2999
12,3001
10,3013
3,3033
7,3041
8,3041
1,3066
4,3186
5,3276
2,3304
6,3348
3,3362
12,3367
7,3376
9,3376
10,3390
8,3419
11,3431
1,3529
4,3532
2,3621
5,3652
6,3705
9,3720
12,3732
3,3761
8,3789
10,3789
1,3825
7,3825
11,3900
4,3905
2,4026
5,4030
11,4056
6,4083
9,4097
1,4125
8,4125
10,4125
3,4181
7,4181
12,4181
4,4267
5,4375
2,4404
11,4432
6,4461
3,4489
10,4489
7,4502
8,4502
9,4502
12,4517
1,4550
4,4625
5,4749
11,4796
6,4826
12,4826
2,4837
8,4837
9,4837
7,4866
10,4893
1,4972
3,4972
4,5008
2,5065
11,5118
5,5120
12,5133
6,5175
9,5175
3,5217
10,5217
8,5231
1,5258
7,5272
4,5367
5,5462
2,5560
3,5590
8,5601
1,5616
6,5672
7,5672
9,5672
10,5672
11,5699
12,5699
4,5739
2,5806
5,5858
12,5868
6,5883
9,5883
11,5897
8,5953
1,5965
3,5980
10,5980
7,5996
4,6115
5,6224
3,6260
6,6260
11,6274
12,6288
2,6300
1,6328
8,6328
9,6328
7,6356
10,6377
4,6456
5,6570
2,6625
6,6644
12,6653
8,6665
9,6665
1,6741
3,6741
7,6741
10,6741
11,6797
4,6808
5,6923
2,6945
6,6962
11,7059
8,7084
3,7106
7,7106
9,7106
10,7106
1,7168
12,7168
4,7219
5,7278
2,7338
6,7366
9,7366
12,7381
11,7393
3,7436
8,7450
7,7472
10,7472
1,7526
4,7564
2,7633
5,7669
6,7710
8,7751
12,7751
11,7764
9,7779
1,7807
3,7807
7,7819
10,7861
4,7930
2,8008
5,8038
6,8067
9,8102
11,8102
3,8116
12,8116
8,8145
7,8184
10,8184
1,8200
4,8292
