node,days_from_start
23,0
45,2
4,89
26,100
15,102
37,103
59,103
48,105
70,105
34,112
38,112
1,113
5,113
49,114
60,114
27,115
67,115
30,126
12,127
16,127
22,127
71,128
8,142
21,154
76,155
24,161
10,168
31,169
62,170
64,170
43,182
73,182
51,183
7,184
29,185
63,185
52,196
40,197
41,197
44,197
74,197
11,199
18,199
19,199
13,203
68,204
35,205
46,205
2,207
54,211
33,213
65,213
66,213
9,233
20,233
77,236
53,245
32,247
42,247
75,252
57,258
6,260
39,260
28,261
17,273
61,273
50,274
72,276
55,296
25,309
58,310
56,316
3,325
36,327
47,327
14,331
69,336
56,430
23,431
45,434
4,463
26,463
59,464
37,465
15,466
48,466
70,468
60,476
66,476
5,477
49,478
27,479
38,479
71,491
16,493
21,504
34,504
44,504
8,520
64,521
24,526
18,546
29,547
30,547
31,547
63,547
7,548
9,548
10,548
43,548
62,562
73,562
76,562
13,568
68,569
35,570
46,570
2,572
11,574
77,574
40,575
41,575
51,596
52,596
53,596
54,596
19,597
20,597
65,598
74,598
75,598
1,619
6,619
28,619
32,619
33,619
57,623
17,637
72,638
39,639
42,639
61,639
50,653
55,653
12,665
3,673
25,673
58,673
22,679
67,681
14,688
36,688
47,688
69,694
23,717
56,807
26,812
59,821
4,822
15,822
37,822
48,823
70,828
16,840
67,840
34,841
60,841
45,842
27,843
49,854
71,855
5,856
38,856
30,882
66,883
76,883
21,884
10,885
24,891
63,896
31,898
43,898
77,899
74,910
20,911
8,912
44,912
29,925
33,925
55,925
13,933
68,934
35,935
46,935
2,937
18,938
40,938
41,938
7,939
11,939
62,940
64,940
65,940
73,940
51,941
52,941
54,941
19,960
75,960
9,962
28,962
1,980
32,980
42,983
57,988
6,1001
12,1001
17,1001
39,1002
72,1002
50,1003
53,1003
61,1003
22,1022
25,1030
58,1030
3,1044
14,1049
36,1049
47,1049
69,1049
56,1093
4,1187
48,1189
15,1190
26,1190
37,1190
59,1190
70,1191
60,1197
5,1198
38,1199
27,1200
31,1200
67,1211
71,1211
12,1212
16,1212
30,1212
34,1213
45,1213
49,1213
43,1227
21,1228
22,1228
55,1239
76,1240
44,1253
24,1257
10,1270
52,1281
77,1283
29,1295
51,1295
54,1295
62,1296
63,1296
73,1296
7,1297
8,1297
9,1297
40,1297
18,1298
19,1298
20,1298
2,1303
1,1309
11,1309
46,1309
23,1310
68,1310
74,1310
13,1311
57,1311
64,1311
66,1311
35,1312
41,1312
33,1330
65,1330
6,1333
75,1333
53,1351
42,1353
17,1354
72,1372
39,1373
50,1374
61,1374
28,1375
32,1375
25,1389
3,1392
58,1395
14,1404
