node,days_from_start
26,0
4,0
37,0
15,6
23,9
33,37
5,38
21,40
22,50
27,50
16,64
38,66
32,77
35,78
43,78
11,79
44,79
13,105
19,105
24,106
2,107
42,107
1,116
12,119
30,133
34,134
40,135
41,135
8,149
18,164
20,164
29,164
31,164
7,165
9,165
6,203
10,203
39,204
17,205
28,205
36,247
14,270
25,270
3,270
37,338
4,339
15,339
26,339
12,380
32,392
5,401
16,414
21,414
34,428
22,429
27,429
33,429
10,442
24,443
38,444
44,445
11,456
40,456
41,456
42,456
1,470
2,470
35,470
13,471
23,471
8,484
29,486
39,487
7,498
18,499
19,499
31,500
20,511
30,511
28,554
17,555
9,556
6,582
43,605
36,623
3,657
14,657
25,657
4,715
26,715
37,716
15,726
5,743
38,759
12,760
16,760
27,763
33,763
21,777
32,777
10,793
35,807
42,807
11,810
44,810
30,819
40,821
41,821
43,821
13,833
22,833
23,833
7,849
18,850
19,850
29,850
31,850
24,860
8,863
34,865
20,876
1,877
39,889
9,918
2,945
6,945
17,946
28,946
36,1002
3,1010
14,1010
25,1010
37,1075
4,1077
26,1077
15,1078
38,1114
16,1127
21,1127
22,1127
27,1127
33,1127
5,1128
32,1131
43,1142
24,1170
35,1170
41,1170
11,1171
44,1175
39,1184
13,1198
19,1198
42,1201
12,1211
23,1211
34,1211
1,1212
8,1212
18,1225
20,1225
29,1225
31,1225
7,1226
9,1226
40,1226
30,1240
28,1281
2,1282
17,1291
6,1309
10,1344
36,1363
3,1390
14,1390
25,1390
1,1403
4,1466
26,1466
37,1471
15,1473
43,1479
21,1492
27,1492
32,1492
5,1493
10,1493
13,1506
16,1506
19,1506
22,1506
24,1506
30,1506
2,1507
11,1507
33,1519
38,1521
44,1540
41,1548
12,1575
23,1590
34,1590
42,1590
8,1591
7,1603
9,1603
40,1603
18,1605
20,1605
29,1605
31,1605
35,1618
39,1618
6,1673
17,1674
28,1674
36,1702
3,1724
14,1724
25,1724
4,1799
26,1799
37,1815
15,1816
43,1844
5,1856
13,1869
16,1869
21,1869
22,1869
10,1870
27,1871
32,1871
33,1871
1,1885
11,1906
44,1906
30,1911
12,1925
38,1926
42,1939
8,1941
24,1953
40,1955
41,1955
18,1967
19,1967
