node,days_from_start
26,0
4,0
37,0
15,6
23,9
33,37
5,38
21,40
70,41
48,44
71,44
75,44
103,44
81,46
92,46
59,48
22,50
27,50
89,50
114,52
16,64
56,64
60,64
93,65
49,66
82,66
38,66
104,67
107,67
108,67
115,67
32,77
35,78
43,78
52,79
11,79
44,79
100,91
67,92
13,105
19,105
68,105
74,105
24,106
118,106
2,107
42,107
1,116
12,119
63,120
65,120
87,121
96,122
30,133
112,133
110,134
34,134
79,135
40,135
41,135
46,136
55,136
99,136
53,149
8,149
51,162
54,162
57,162
62,162
84,163
85,163
106,163
109,163
18,164
20,164
29,164
31,164
73,164
90,164
95,164
98,164
117,165
120,165
7,165
9,165
45,175
119,175
64,176
76,177
86,178
97,189
72,190
101,192
61,203
6,203
10,203
94,204
111,204
116,204
39,204
17,205
28,205
50,205
83,205
105,206
77,225
78,225
88,225
66,226
69,226
121,227
47,228
102,228
58,232
80,243
91,243
36,247
113,248
14,270
25,270
3,270
67,294
37,338
4,339
15,339
26,339
12,380
32,392
70,396
48,397
81,397
59,399
92,399
103,399
5,401
114,401
104,406
89,407
71,408
78,408
82,408
16,414
21,414
49,414
93,422
111,424
115,424
34,428
22,429
27,429
33,429
60,434
74,434
107,436
10,442
24,443
38,444
44,445
55,448
65,449
66,449
121,449
11,456
40,456
41,456
42,456
57,462
63,462
73,462
75,462
52,464
1,470
2,470
35,470
13,471
23,471
87,477
8,484
29,486
39,487
85,490
108,490
68,491
90,491
95,491
96,491
98,491
62,492
112,492
120,492
46,493
51,493
54,493
7,498
18,499
19,499
31,500
106,504
109,504
84,505
117,505
118,505
56,506
97,506
53,507
20,511
30,511
79,518
88,518
110,518
72,519
76,519
77,519
99,521
50,532
64,534
119,547
100,548
101,548
28,554
17,555
9,556
86,560
61,564
45,574
83,574
105,575
116,577
94,578
6,582
69,597
102,597
47,600
43,605
58,611
80,611
91,611
113,613
36,623
3,657
14,657
25,657
89,658
78,660
111,662
67,666
4,715
26,715
37,716
45,721
15,726
70,742
5,743
81,743
48,744
59,744
92,744
103,746
114,746
71,756
104,757
115,757
49,758
79,758
82,758
38,759
60,759
66,759
12,760
16,760
27,763
33,763
65,770
93,771
21,777
32,777
108,786
