lakeid,metric,node
FI,chlor_fall,1
FI,chlor_spring,2
FI,doc,3
FI,iceon,4
FI,iceoff,5
FI,straton,6
FI,stratoff,7
FI,energy,8
FI,stability,9
FI,anoxia_summer,10
FI,secchi_openwater,11
FI,daphnia_biomass,12
ME,chlor_fall,13
ME,chlor_spring,14
ME,doc,15
ME,iceon,16
ME,iceoff,17
ME,straton,18
ME,stratoff,19
ME,energy,20
ME,stability,21
ME,anoxia_summer,22
ME,secchi_openwater,23
ME,daphnia_biomass,24
MO,chlor_fall,25
MO,chlor_spring,26
MO,doc,27
MO,iceon,28
MO,iceoff,29
MO,straton,30
MO,stratoff,31
MO,energy,32
MO,stability,33
MO,anoxia_summer,34
MO,secchi_openwater,35
MO,daphnia_biomass,36
WI,chlor_fall,37
WI,chlor_spring,38
WI,doc,39
WI,iceon,40
WI,iceoff,41
WI,straton,42
WI,stratoff,43
WI,energy,44
WI,stability,45
WI,anoxia_summer,46
WI,secchi_openwater,47
WI,daphnia_biomass,48
