lakeid,metric,node
FI,chlor_fall,1
FI,chlor_spring,2
FI,doc,3
FI,iceon,4
FI,iceoff,5
FI,straton,6
FI,stratoff,7
FI,energy,8
FI,stability,9
FI,anoxia_summer,10
FI,secchi_openwater,11
FI,daphnia_biomass,12
ME,chlor_fall,13
ME,chlor_spring,14
ME,doc,15
ME,iceon,16
ME,iceoff,17
ME,straton,18
ME,stratoff,19
ME,energy,20
ME,stability,21
ME,anoxia_summer,22
ME,secchi_openwater,23
ME,daphnia_biomass,24
MO,chlor_fall,25
MO,chlor_spring,26
MO,doc,27
MO,iceon,28
MO,iceoff,29
MO,straton,30
MO,stratoff,31
MO,energy,32
MO,stability,33
MO,anoxia_summer,34
MO,secchi_openwater,35
MO,daphnia_biomass,36
WI,chlor_fall,37
WI,chlor_spring,38
WI,doc,39
WI,iceon,40
WI,iceoff,41
WI,straton,42
WI,stratoff,43
WI,energy,44
WI,stability,45
WI,anoxia_summer,46
WI,secchi_openwater,47
WI,daphnia_biomass,48
AL,chlor_fall,49
AL,chlor_spring,50
AL,doc,51
AL,iceon,52
AL,iceoff,53
AL,straton,54
AL,stratoff,55
AL,energy,56
AL,stability,57
AL,anoxia_summer,58
AL,secchi_openwater,59
AL,daphnia_biomass,60
BM,chlor_fall,61
BM,chlor_spring,62
BM,doc,63
BM,iceon,64
BM,iceoff,65
BM,straton,66
BM,stratoff,67
BM,energy,68
BM,stability,69
BM,anoxia_summer,70
BM,secchi_openwater,71
BM,daphnia_biomass,72
CB,chlor_fall,73
CB,chlor_spring,74
CB,doc,75
CB,iceon,76
CB,iceoff,77
CB,straton,78
CB,stratoff,79
CB,energy,80
CB,stability,81
CB,anoxia_summer,82
CB,secchi_openwater,83
CB,daphnia_biomass,84
CR,chlor_fall,85
CR,chlor_spring,86
CR,doc,87
CR,iceon,88
CR,iceoff,89
CR,straton,90
CR,stratoff,91
CR,energy,92
CR,stability,93
CR,anoxia_summer,94
CR,secchi_openwater,95
CR,daphnia_biomass,96
SP,chlor_fall,97
SP,chlor_spring,98
SP,doc,99
SP,iceon,100
SP,iceoff,101
SP,straton,102
SP,stratoff,103
SP,energy,104
SP,stability,105
SP,anoxia_summer,106
SP,secchi_openwater,107
SP,daphnia_biomass,108
TB,chlor_fall,109
TB,chlor_spring,110
TB,doc,111
TB,iceon,112
TB,iceoff,113
TB,straton,114
TB,stratoff,115
TB,energy,116
TB,stability,117
TB,anoxia_summer,118
TB,secchi_openwater,119
TB,daphnia_biomass,120
TR,chlor_fall,121
TR,chlor_spring,122
TR,doc,123
TR,iceon,124
TR,iceoff,125
TR,straton,126
TR,stratoff,127
TR,energy,128
TR,stability,129
TR,anoxia_summer,130
TR,secchi_openwater,131
TR,daphnia_biomass,132
