lakeid,year4,sampledate,larger_group,total_biomass
AL,1982,1982-02-23,CLADOCERA,1.458076750754393
AL,1982,1982-02-23,COPEPODA,51.26805311427911
AL,1982,1982-02-23,ROTIFERA,1.7112013343090533
AL,1982,1982-05-11,COPEPODA,102.8229964408966
AL,1982,1982-05-11,ROTIFERA,5.081614236294199
AL,1982,1982-06-09,CLADOCERA,39.0114673872902
AL,1982,1982-06-09,COPEPODA,170.67939526203298
AL,1982,1982-06-09,ROTIFERA,22.80107960063007
AL,1982,1982-08-05,CLADOCERA,173.38166096559996
AL,1982,1982-08-05,COPEPODA,65.14170606450239
AL,1982,1982-08-05,ROTIFERA,2.3171523495566086
AL,1982,1982-11-08,CLADOCERA,162.68784844927842
AL,1982,1982-11-08,COPEPODA,36.142803143155085
AL,1982,1982-11-08,ROTIFERA,3.1388057518045316
AL,1983,1983-02-18,CLADOCERA,33.43192775424845
AL,1983,1983-02-18,COPEPODA,60.52211441774877
AL,1983,1983-02-18,ROTIFERA,0.15605371912269161
AL,1983,1983-05-10,CLADOCERA,1.8878293345033739
AL,1983,1983-05-10,COPEPODA,61.54069300878629
AL,1983,1983-05-10,ROTIFERA,6.115556558513853
AL,1983,1983-06-22,CLADOCERA,125.85478343488685
AL,1983,1983-06-22,COPEPODA,189.1536437042317
AL,1983,1983-06-22,ROTIFERA,14.243073229384944
AL,1983,1983-08-15,CLADOCERA,142.5042779627581
AL,1983,1983-08-15,COPEPODA,69.4810261922038
AL,1983,1983-08-15,ROTIFERA,15.552323632318362
AL,1983,1983-10-18,CLADOCERA,38.14164132445382
AL,1983,1983-10-18,COPEPODA,124.60382388427587
AL,1983,1983-10-18,ROTIFERA,0.9944562302519915
AL,1984,1984-02-29,CLADOCERA,2.786044900463153
AL,1984,1984-02-29,COPEPODA,53.725630392767535
AL,1984,1984-02-29,ROTIFERA,0.31078442147589463
AL,1984,1984-05-09,CLADOCERA,24.0094521543393
AL,1984,1984-05-09,COPEPODA,113.62522823737781
AL,1984,1984-05-09,ROTIFERA,6.051740292202407
AL,1984,1984-06-21,CLADOCERA,65.2060775003816
AL,1984,1984-06-21,COPEPODA,44.269454736371415
AL,1984,1984-06-21,ROTIFERA,4.23993009154543
AL,1984,1984-08-14,CLADOCERA,75.19466541676785
AL,1984,1984-08-14,COPEPODA,60.93816535205
AL,1984,1984-08-14,ROTIFERA,1.9602509459486668
AL,1984,1984-11-08,CLADOCERA,87.1965662279845
AL,1984,1984-11-08,COPEPODA,191.32609811840317
AL,1984,1984-11-08,ROTIFERA,1.197016691230331
AL,1985,1985-02-25,CLADOCERA,63.375954596981366
AL,1985,1985-02-25,COPEPODA,28.524336522381443
AL,1985,1985-02-25,ROTIFERA,0.9489961545189405
AL,1985,1985-04-30,CLADOCERA,6.534343808869661
AL,1985,1985-04-30,COPEPODA,175.39071813546147
AL,1985,1985-04-30,ROTIFERA,1.512129586279745
AL,1985,1985-06-11,CLADOCERA,37.409749005672666
AL,1985,1985-06-11,COPEPODA,106.52157234916734
AL,1985,1985-06-11,ROTIFERA,14.205314528684067
AL,1985,1985-08-19,CLADOCERA,46.61862246091298
AL,1985,1985-08-19,COPEPODA,26.339710278724297
AL,1985,1985-08-19,ROTIFERA,7.14701074459849
AL,1985,1985-11-11,CLADOCERA,32.78868881553173
AL,1985,1985-11-11,COPEPODA,17.447760710678025
AL,1985,1985-11-11,ROTIFERA,0.9734562988192741
AL,1986,1986-03-03,CLADOCERA,188.10196483802093
AL,1986,1986-03-03,COPEPODA,27.010613174855294
AL,1986,1986-03-03,ROTIFERA,0.9489378794126972
AL,1986,1986-04-24,CLADOCERA,10.255257012550643
AL,1986,1986-04-24,COPEPODA,44.39167776802998
AL,1986,1986-04-24,ROTIFERA,2.8328607385830784
AL,1986,1986-07-02,CLADOCERA,47.254787916020334
AL,1986,1986-07-02,COPEPODA,103.79594477044293
AL,1986,1986-07-02,ROTIFERA,6.475396057705169
AL,1986,1986-08-13,CLADOCERA,186.76657857518032
AL,1986,1986-08-13,COPEPODA,48.46222641849223
AL,1986,1986-08-13,ROTIFERA,2.7279801717536554
AL,1986,1986-11-03,CLADOCERA,31.471627614519207
AL,1986,1986-11-03,COPEPODA,68.62312122782254
AL,1986,1986-11-03,ROTIFERA,2.943026707571442
AL,1987,1987-02-24,CLADOCERA,55.72089800926307
AL,1987,1987-02-24,COPEPODA,31.4950855748837
AL,1987,1987-02-24,ROTIFERA,0.13889519087073815
AL,1987,1987-04-15,CLADOCERA,5.572089800926306
AL,1987,1987-04-15,COPEPODA,31.427428232752003
AL,1987,1987-04-15,ROTIFERA,2.0895979406127574
AL,1987,1987-06-11,CLADOCERA,81.78839799650738
AL,1987,1987-06-11,COPEPODA,105.09320020781503
AL,1987,1987-06-11,ROTIFERA,32.08864453192954
AL,1987,1987-08-13,CLADOCERA,353.3820903789318
AL,1987,1987-08-13,COPEPODA,117.68217179906102
AL,1987,1987-08-13,ROTIFERA,11.03954952391346
AL,1987,1987-11-05,CLADOCERA,150.72522655296754
AL,1987,1987-11-05,COPEPODA,101.54943630703256
AL,1987,1987-11-05,ROTIFERA,1.283430708193565
AL,1988,1988-03-02,CLADOCERA,102.99848855257741
AL,1988,1988-03-02,COPEPODA,25.85754442892417
AL,1988,1988-03-02,ROTIFERA,0.3243524718497262
AL,1988,1988-04-26,CLADOCERA,4.296756908957917
AL,1988,1988-04-26,COPEPODA,54.4902861504829
AL,1988,1988-04-26,ROTIFERA,2.4298211918898964
AL,1988,1988-06-20,CLADOCERA,217.85161440513284
AL,1988,1988-06-20,COPEPODA,73.99047545156085
AL,1988,1988-06-20,ROTIFERA,14.281208689015605
AL,1988,1988-08-18,CLADOCERA,162.55801615397374
AL,1988,1988-08-18,COPEPODA,117.54086835620244
AL,1988,1988-08-18,ROTIFERA,7.095673667126423
AL,1988,1988-11-02,CLADOCERA,318.4823701741894
AL,1988,1988-11-02,COPEPODA,46.04507808672492
AL,1988,1988-11-02,ROTIFERA,1.4811312370396656
AL,1989,1989-03-06,CLADOCERA,39.09371076566001
AL,1989,1989-03-06,COPEPODA,34.80759072035518
AL,1989,1989-03-06,ROTIFERA,0.15636578485011954
AL,1989,1989-05-01,CLADOCERA,2.3870871716432873
AL,1989,1989-05-01,COPEPODA,81.74398580997143
AL,1989,1989-05-01,ROTIFERA,1.6111597429011433
AL,1989,1989-06-13,CLADOCERA,0.9177967965818898
AL,1989,1989-06-13,COPEPODA,15.027060453322735
AL,1989,1989-06-13,ROTIFERA,9.021337370078049
AL,1989,1989-08-22,CLADOCERA,9.534417044007569
AL,1989,1989-08-22,COPEPODA,188.47572798875143
AL,1989,1989-08-22,ROTIFERA,9.368290803442916
AL,1989,1989-11-09,CLADOCERA,183.81399642541774
AL,1989,1989-11-09,COPEPODA,128.62721398149358
AL,1989,1989-11-09,ROTIFERA,3.1641053726145763
AL,1990,1990-02-27,CLADOCERA,213.53971982277378
AL,1990,1990-02-27,COPEPODA,85.79310603057957
AL,1990,1990-02-27,ROTIFERA,0.1541633849955753
AL,1990,1990-04-30,CLADOCERA,203.76509022005433
AL,1990,1990-04-30,COPEPODA,295.89772600827934
AL,1990,1990-04-30,ROTIFERA,2.0888900369622863
AL,1990,1990-06-13,CLADOCERA,53.7021040949175
AL,1990,1990-06-13,COPEPODA,7.906151122238829
AL,1990,1990-06-13,ROTIFERA,13.082587737596592
AL,1990,1990-08-22,CLADOCERA,40.66069460830785
AL,1990,1990-08-22,COPEPODA,276.53822332452995
AL,1990,1990-08-22,ROTIFERA,10.972051771089149
AL,1990,1990-11-09,CLADOCERA,230.5650189948169
AL,1990,1990-11-09,COPEPODA,75.92601744856442
AL,1990,1990-11-09,ROTIFERA,0.9310395104137027
AL,1991,1991-02-19,CLADOCERA,112.2291066860277
AL,1991,1991-02-19,COPEPODA,24.170872332753614
AL,1991,1991-02-19,ROTIFERA,0.2769761433128716
AL,1991,1991-05-07,CLADOCERA,30.646493905094687
AL,1991,1991-05-07,COPEPODA,142.8295820928287
AL,1991,1991-05-07,ROTIFERA,10.127535381283474
AL,1991,1991-06-18,CLADOCERA,20.510514025101287
AL,1991,1991-06-18,COPEPODA,2.574998063943627
AL,1991,1991-06-18,ROTIFERA,2.2835955046070224
AL,1991,1991-08-27,CLADOCERA,42.0833154973208
AL,1991,1991-08-27,COPEPODA,282.3755530565818
AL,1991,1991-08-27,ROTIFERA,25.747122800739042
AL,1991,1991-10-28,CLADOCERA,20.02347531169724
AL,1991,1991-10-28,COPEPODA,189.59854194362072
AL,1991,1991-10-28,ROTIFERA,8.237549074156489
AL,1992,1992-03-04,COPEPODA,61.280506077521366
AL,1992,1992-03-04,ROTIFERA,1.0126385474633597
AL,1992,1992-05-05,CLADOCERA,0.5207416966979975
AL,1992,1992-05-05,COPEPODA,55.69655001564404
