lakeid,sampledate,thermdepth_m
AL,1981-05-22,4.5
AL,1981-06-03,4.544958709630672
AL,1981-07-02,5.6563962800511876
AL,1981-07-28,5.586992571805361
AL,1981-08-27,5.640568524144428
AL,1981-10-22,NA
AL,1982-01-26,0.5
AL,1982-02-23,1.5437813698619993
AL,1982-04-05,0.5
AL,1982-05-11,5.538877828782335
AL,1982-05-25,4.958997975306409
AL,1982-06-09,4.576434646314805
AL,1982-07-05,4.633654408975757
AL,1982-07-21,5.110192484941094
AL,1982-08-05,5.2706075746504775
AL,1982-09-08,6.5
AL,1982-09-21,NA
AL,1982-10-05,0.5
AL,1982-10-22,NA
AL,1982-11-08,NA
AL,1982-11-30,NA
AL,1983-01-17,0.5
AL,1983-02-18,0.5
AL,1983-03-23,0.5
AL,1983-05-10,3.274964619118421
AL,1983-05-25,6.5
AL,1983-06-08,6.5
AL,1983-06-22,5.3611451857566
AL,1983-07-05,5.249186176155846
AL,1983-07-20,4.250269319247074
AL,1983-08-04,4.940697989415981
AL,1983-08-15,5.543501379050307
AL,1983-09-09,5.648402258976681
AL,1983-09-29,3.2402767740233895
AL,1983-10-18,NA
AL,1983-11-16,NA
AL,1984-01-06,0.5
AL,1984-02-29,0.5
AL,1984-04-03,0.5
AL,1984-05-09,NA
AL,1984-05-23,4.558031279339756
AL,1984-06-05,6.5
AL,1984-06-21,5.3619485382065815
AL,1984-07-03,5.803910831144037
AL,1984-07-18,6.5
AL,1984-08-02,5.586216152506413
AL,1984-08-14,5.636043030585984
AL,1984-09-06,6.5
AL,1984-09-24,NA
AL,1984-10-15,3.6130219636176637
AL,1984-11-08,NA
AL,1985-01-07,0.5
AL,1985-02-25,0.5
AL,1985-03-27,0.5
AL,1985-04-30,3.6442091584880574
AL,1985-05-16,4.819861040732386
AL,1985-05-28,5.282716899667301
AL,1985-06-11,6.5
AL,1985-06-24,6.5
AL,1985-07-11,4.141357129464145
AL,1985-07-23,4.73333609143541
AL,1985-08-07,5.372101626772627
AL,1985-08-19,NA
AL,1985-09-12,5.8960551019712675
AL,1985-09-30,NA
AL,1985-10-22,NA
AL,1985-11-11,NA
AL,1986-01-16,1.2618894878211997
AL,1986-03-03,1.409130718030419
AL,1986-03-31,1.6686088159193595
AL,1986-04-24,NA
AL,1986-05-08,5.95647634063829
AL,1986-05-20,5.638088483275382
AL,1986-06-02,3.684870353838005
AL,1986-06-18,6.5
AL,1986-07-02,5.526072193184729
AL,1986-07-16,6.5
AL,1986-07-28,4.649810518516448
AL,1986-08-13,6.5
AL,1986-08-26,6.5
AL,1986-09-10,NA
AL,1986-09-22,NA
AL,1986-10-09,NA
AL,1986-10-22,NA
AL,1986-11-03,NA
AL,1987-01-20,0.5
AL,1987-02-24,0.5
AL,1987-03-19,0.5
AL,1987-04-15,NA
AL,1987-05-04,0.5
AL,1987-05-18,6.5
AL,1987-06-01,4.031477895682427
AL,1987-06-11,4.596030716779551
AL,1987-06-29,5.102690679461761
AL,1987-07-13,5.604865941550202
AL,1987-07-27,5.306647956453594
AL,1987-08-13,5.459307244819538
AL,1987-08-26,6.5
AL,1987-09-10,4.345503894456563
AL,1987-09-21,NA
AL,1987-10-05,NA
AL,1987-10-21,NA
AL,1987-11-05,NA
AL,1987-11-18,NA
AL,1988-01-11,0.5
AL,1988-03-02,1.202654574106191
AL,1988-03-21,0.5
AL,1988-04-26,NA
AL,1988-05-09,3.709489482265167
AL,1988-05-25,4.437934831245961
AL,1988-06-07,3.3862699684753403
AL,1988-06-20,4.632937240740734
AL,1988-07-04,5.724171507150906
AL,1988-07-19,5.632002588158161
AL,1988-08-03,5.648144060259055
AL,1988-08-18,6.5
AL,1988-08-30,0.5
AL,1988-09-13,NA
AL,1988-09-28,NA
AL,1988-10-12,NA
AL,1988-10-25,NA
AL,1988-11-02,NA
AL,1989-01-11,1.3293643722382815
AL,1989-03-06,0.5
AL,1989-03-27,4.269427024439489
AL,1989-05-01,NA
AL,1989-05-16,1.7267135297254756
AL,1989-05-29,5.453343281217275
AL,1989-06-13,5.663816086275613
AL,1989-06-28,4.4096617203113855
AL,1989-07-12,4.422131395865912
AL,1989-07-25,4.6099898180515035
AL,1989-08-07,5.568343734629409
AL,1989-08-22,5.639800650320189
AL,1989-09-06,6.5
AL,1989-09-19,6.5
AL,1989-10-04,2.4062236458438955
AL,1989-10-18,NA
AL,1989-10-31,NA
AL,1989-11-09,NA
AL,1990-01-24,1.123051608503964
