lakeid,sampledate,group,biomass
AL,1982-02-23,CLADOCERA,2.916153501508786
AL,1982-02-23,COPEPODA,102.53610622855822
AL,1982-02-23,ROTIFERA,3.4224026686181066
AL,1982-02-23,TOTAL,108.87466239868512
AL,1982-05-11,COPEPODA,205.6459928817932
AL,1982-05-11,ROTIFERA,10.05185729837715
AL,1982-05-11,TOTAL,215.69785018017035
AL,1982-06-09,CLADOCERA,78.0229347745804
AL,1982-06-09,COPEPODA,341.35879052406597
AL,1982-06-09,ROTIFERA,37.374910193887025
AL,1982-06-09,TOTAL,456.7566354925334
AL,1982-08-05,CLADOCERA,308.66090959086955
AL,1982-08-05,COPEPODA,130.28341212900477
AL,1982-08-05,ROTIFERA,3.45919418555869
AL,1982-08-05,TOTAL,442.403515905433
AL,1982-11-08,CLADOCERA,325.37569689855684
AL,1982-11-08,COPEPODA,72.28560628631017
AL,1982-11-08,ROTIFERA,6.169355003609064
AL,1982-11-08,TOTAL,403.8306581884761
AL,1983-02-18,CLADOCERA,59.295568125828545
AL,1983-02-18,COPEPODA,121.04422883549753
AL,1983-02-18,ROTIFERA,0.27766218824538325
AL,1983-02-18,TOTAL,180.61745914957146
AL,1983-05-10,CLADOCERA,3.7756586690067477
AL,1983-05-10,COPEPODA,123.08138601757258
AL,1983-05-10,ROTIFERA,10.388624284654592
AL,1983-05-10,TOTAL,137.24566897123393
AL,1983-06-22,CLADOCERA,226.65592587887156
AL,1983-06-22,COPEPODA,378.3072874084634
AL,1983-06-22,ROTIFERA,24.973889148824757
AL,1983-06-22,TOTAL,629.9371024361598
AL,1983-08-15,CLADOCERA,253.6915046868885
AL,1983-08-15,COPEPODA,138.9620523844076
AL,1983-08-15,ROTIFERA,12.200171477359627
AL,1983-08-15,TOTAL,404.85372854865574
AL,1983-10-18,CLADOCERA,76.28328264890764
AL,1983-10-18,COPEPODA,249.20764776855174
AL,1983-10-18,ROTIFERA,1.856052210503983
AL,1983-10-18,TOTAL,327.34698262796337
AL,1984-02-29,CLADOCERA,5.572089800926306
AL,1984-02-29,COPEPODA,107.45126078553507
AL,1984-02-29,ROTIFERA,0.6215688429517893
AL,1984-02-29,TOTAL,113.64491942941316
AL,1984-05-09,CLADOCERA,48.0189043086786
AL,1984-05-09,COPEPODA,227.25045647475562
AL,1984-05-09,ROTIFERA,12.066679674665444
AL,1984-05-09,TOTAL,287.33604045809966
AL,1984-06-21,CLADOCERA,130.4121550007632
AL,1984-06-21,COPEPODA,88.53890947274283
AL,1984-06-21,ROTIFERA,7.355703614803823
AL,1984-06-21,TOTAL,226.30676808830984
AL,1984-08-14,CLADOCERA,133.68690350626758
AL,1984-08-14,COPEPODA,121.8763307041
AL,1984-08-14,ROTIFERA,3.7265164610061263
AL,1984-08-14,TOTAL,259.2897506713737
AL,1984-11-08,CLADOCERA,174.393132455969
AL,1984-11-08,COPEPODA,382.65219623680633
AL,1984-11-08,ROTIFERA,2.203017546763543
AL,1984-11-08,TOTAL,559.2483462395389
AL,1985-02-25,CLADOCERA,126.75190919396273
AL,1985-02-25,COPEPODA,57.048673044762886
AL,1985-02-25,ROTIFERA,1.897992309037881
AL,1985-02-25,TOTAL,185.69857454776349
AL,1985-04-30,CLADOCERA,13.068687617739322
AL,1985-04-30,COPEPODA,350.78143627092294
AL,1985-04-30,ROTIFERA,2.9932689327789688
AL,1985-04-30,TOTAL,366.8433928214412
AL,1985-06-11,CLADOCERA,74.81949801134533
AL,1985-06-11,COPEPODA,213.0431446983347
AL,1985-06-11,ROTIFERA,26.759268875037886
AL,1985-06-11,TOTAL,314.6219115847179
AL,1985-08-19,CLADOCERA,83.58115412324909
AL,1985-08-19,COPEPODA,52.679420557448594
AL,1985-08-19,ROTIFERA,13.94513740215137
AL,1985-08-19,TOTAL,150.20571208284906
AL,1985-11-11,CLADOCERA,65.57737763106346
AL,1985-11-11,COPEPODA,34.89552142135605
AL,1985-11-11,ROTIFERA,1.8034751112873821
AL,1985-11-11,TOTAL,102.27637416370689
AL,1986-03-03,CLADOCERA,352.19419039309395
AL,1986-03-03,COPEPODA,54.02122634971059
AL,1986-03-03,ROTIFERA,1.8978757588253945
AL,1986-03-03,TOTAL,408.1132925016299
AL,1986-04-24,CLADOCERA,20.510514025101287
AL,1986-04-24,COPEPODA,88.78335553605996
AL,1986-04-24,ROTIFERA,3.6636044274405046
AL,1986-04-24,TOTAL,112.95747398860175
AL,1986-07-02,CLADOCERA,94.50957583204067
AL,1986-07-02,COPEPODA,207.59188954088586
AL,1986-07-02,ROTIFERA,11.71577319246795
AL,1986-07-02,TOTAL,313.81723856539446
AL,1986-08-13,CLADOCERA,333.8648922480989
AL,1986-08-13,COPEPODA,96.92445283698446
AL,1986-08-13,ROTIFERA,3.9151550950248
AL,1986-08-13,TOTAL,434.70450018010814
AL,1986-11-03,CLADOCERA,62.943255229038414
AL,1986-11-03,COPEPODA,137.24624245564507
AL,1986-11-03,ROTIFERA,5.481643512810923
AL,1986-11-03,TOTAL,205.67114119749442
AL,1987-02-24,CLADOCERA,111.44179601852613
AL,1987-02-24,COPEPODA,62.9901711497674
AL,1987-02-24,ROTIFERA,0.2777903817414763
AL,1987-02-24,TOTAL,174.70975755003502
AL,1987-04-15,CLADOCERA,11.144179601852612
AL,1987-04-15,COPEPODA,62.85485646550401
