species_name,mean_length_overall
ACANTHOCYCLOPS,0.9065968586387435
ACANTHOCYCLOPS VERNALIS,0.639247311827957
ACROPERUS HARPAE,0.572
AGLAODIAPTOMUS CLAVIPES,1.8390869565217391
ALONA,0.5665909090909091
ALONA KARUA,0.5665909090909091
ANURAEOPSIS,NA
ANURAEOPSIS FISSA,NA
ASCOMORPHA,0.1115
ASCOMORPHA ECAUDIS,0.11
ASCOMORPHA OVALIS,0.09340909090909091
ASCOMORPHA SALTANS,0.11
ASPLANCHNA,0.36406593406593407
BOSMINIDAE,0.3407355021216407
BRACHIONUS,0.13
BRACHIONUS ANGULARIS,0.13
BRACHIONUS QUADRIDENTATUS,0.13
BYTHOTREPHES LONGIMANUS ,7.635102040816326
CALANOID,0.648064182194617
CAMPTOCERCUS RECTIROSTRIS,0.592
CEPHALODELLA,0.13
CERIODAPHNIA,0.39793103448275863
CERIODAPHNIA DUBIA,0.441
CERIODAPHNIA LACUSTRIS,0.43291666666666667
CHAOBORUS,6.1258333333333335
CHYDORUS,0.2905831157528285
CLADOCERAN,0.4816666666666667
COLLOTHECA,0.08176470588235295
COLLOTHECA MUTABILIS,0.04736842105263158
COLURELLA,0.08
CONOCHILOIDES,0.08840425531914894
CONOCHILUS,0.0704
CONOCHILUS HIPPOCREPIS,0.0704
CONOCHILUS UNICORNIS,0.115
COPEPOD NAUPLII,0.19528438469493278
COPEPODITES,0.4330939226519337
CYCLOPOID,0.452984257357974
DAPHNIA,0.6301519337016575
DAPHNIA AMBIGUA,0.75
DAPHNIA DENTIFERA,0.84
DAPHNIA DUBIA,0.8377192982456141
DAPHNIA LONGIREMIS,0.704156862745098
DAPHNIA MENDOTAE,1.1291524265208477
DAPHNIA PARVULA,0.9400985221674877
DAPHNIA PULICARIA,1.2516551724137932
DAPHNIA RETROCURVA,0.9975438596491228
DIACYCLOPS,0.7123970251716247
DIACYCLOPS THOMASI,0.7123970251716247
DIAPHANOSOMA,0.703734335839599
DIAPHANOSOMA BIRGEI,0.703734335839599
DIAPTOMID,1.012546875
ENCENTRUM,0.13
EPISCHURA LACUSTRIS,0.9374358974358974
ERGASILUS,NA
EUCHLANIS,0.27
EUCHLANIS PELLUCIDA,0.27
EUCYCLOPS,0.86
EUCYCLOPS AGILIS,0.79
EUCYCLOPS ELEGANS,0.7783333333333333
FILINIA,0.12125
FILINIA TERMINALIS,0.12125
GASTROPUS,0.07878378378378378
GASTROPUS HYPTOPUS,0.09906976744186047
GASTROPUS STYLIFER,0.08432098765432099
HARPACTICOID,0.8905555555555555
HEXARTHRA,0.135
HOLOPEDIUM,0.6591935483870968
HOLOPEDIUM GIBBERUM,0.6591935483870968
ILYOCRYPTUS SPINIFER,NA
KELLICOTTIA,0.11195876288659794
KELLICOTTIA BOSTONIENSIS,0.11195876288659794
KELLICOTTIA LONGISPINA,0.1285
KERATELLA,0.155
KERATELLA COCHLEARIS,0.09336879432624114
KERATELLA COCHLEARIS F. TECTA,0.09336879432624114
KERATELLA CRASSA,0.12575757575757576
KERATELLA EARLINAE,0.10902857142857143
KERATELLA HIEMALIS,0.11483870967741935
KERATELLA QUADRATA,0.14742268041237114
KERATELLA SERRULATA,0.13
KERATELLA TAUROCEPHALA,0.11237113402061856
KERATELLA TESTUDO,0.095
KERATELLA TICINENSIS,0.11133333333333334
LECANE,0.08761904761904762
LECANE CLARA,0.08761904761904762
LECANE INERMIS,0.06240740740740741
LECANE LEONTINA,0.08761904761904762
