"species_name","Origin_Spp_Name","eqn","c1","c2","c3","Origin_formula","Checked"
"ACANTHOCYCLOPS","Acanthocyclops vernalis","pow",7.0729,2.5563,"NA","#VALUE!","Y"
"ACANTHOCYCLOPS VERNALIS","Acanthocyclops vernalis","pow",7.0729,2.5563,"NA","#VALUE!","Y"
"ACROPERUS HARPAE","na","pow",14.0793,1.9796,"NA","na",
"AGLAODIAPTOMUS CLAVIPES","na","pow",10.308,1.761,"NA","na",
"ALONA","Alona::Alona karau","pow",15.92,3.84,"NA","Err:510","Y"
"ALONA KARAU","Alona karau","pow",15.92,3.84,"NA","#VALUE!","Y"
"ALONA KARUA","Alona karau","pow",15.92,3.84,"NA","#VALUE!","Y"
"ANURAEOPSIS","Anuraeopsis","pow",3,3,"NA","#VALUE!","Y"
"ANURAEOPSIS FISSA","na","pow",3,3,"NA","na","Y"
"ASCOMORPHA","Ascomorpha spp.::Ascomorpha ecaudis::Ascomorpha ovalis","pow",12,3,"NA","Err:510","Y"
"ASCOMORPHA ECAUDIS","Ascomorpha ecaudis","pow",12,3,"NA","#VALUE!","Y"
"ASCOMORPHA OVALIS","Ascomorpha ovalis","pow",12,3,"NA","#VALUE!","Y"
"ASCOMORPHA SALTANS","na","pow",12,3,"NA","na","Y"
"ASCOMORPHA SPP.","Ascomorpha spp.","pow",12,3,"NA","#VALUE!","Y"
"ASPLANCHNA","Asplanchna spp.","pow",8.97,3,"NA","#VALUE!","Y"
"ASPLANCHNA SPP.","Asplanchna spp.","pow",8.97,3,"NA","#VALUE!","Y"
"BOSMINA","Bosmina::Bosmina longirostris::Bosmina and Eubosmina::Lumped Bosmina","pow",17.7369,2.2291,"NA","Err:510","Y"
"BOSMINA AND EUBOSMINA","Bosmina and Eubosmina","pow",17.7369,2.2291,"NA","#VALUE!","Y"
"BOSMINA LONGIROSTRIS","Bosmina longirostris","pow",17.7369,2.2291,"NA","#VALUE!","Y"
"BOSMINIDAE","na","pow",17.7369,2.2291,"NA","na","Y"
"BRACHIONUS","Brachionus::Brachionus quadridentatus::Brachionus urceolaris","pow",12,3,"NA","Err:510","Y"
"BRACHIONUS ANGULARIS","na","pow",12,3,"NA","na","Y"
"BRACHIONUS QUADRIDENTATUS","Brachionus quadridentatus","pow",12,3,"NA","#VALUE!","Y"
"BRACHIONUS URCEOLARIS","Brachionus urceolaris","pow",12,3,"NA","#VALUE!","Y"
"BYTHOTREPHES LONGIMANUS ","na","NA","NA","NA","NA","na",
"CALANOID","Calanoid","pow",10.308,1.761,"NA","#VALUE!","Y"
"CAMPTOCERCUS RECTIROSTRIS","na","pow",14.0793,1.9796,"NA","na",
"CEPHALODELLA","Cephalodella","pow",12,3,"NA","#VALUE!","Y"
"CERIODAPHNIA","Ceriodaphnia::Ceriodaphnia lacustris::Lumped Ceriodaphnia","pow",4.0216,1.9763,"NA","Err:510","Y"
"CERIODAPHNIA DUBIA","na","pow",4.0216,1.9763,"NA","na","Y"
"CERIODAPHNIA LACUSTRIS","Ceriodaphnia lacustris","pow",4.0216,1.9763,"NA","#VALUE!","Y"
"CHAOBORUS","na","NA","NA","NA","NA","na",
"CHYDORID","Chydorid","pow",14.0793,1.9796,"NA","#VALUE!","Y"
"CHYDORUS","Chydorus","pow",14.0793,1.9796,"NA","#VALUE!","Y"
"CLADOCERAN","Unknown Cladoceran","pow",10.9317,1.5302,"NA","NA",
"COLLOTHECA","Collotheca::Collotheca w/o case::Collotheca empty case::Collotheca mutabilis*","pow",180,3,"NA","Err:510","Y"
"COLLOTHECA EMPTY CASE","Collotheca empty case","NA","NA","NA","NA","NA",
"COLLOTHECA MUTABILIS","Collotheca mutabilis*","pow",180,3,"NA","#VALUE!","Y"
"COLLOTHECA MUTABILIS*","Collotheca mutabilis*","pow",180,3,"NA","#VALUE!","Y"
"COLLOTHECA W/O CASE","Collotheca w/o case","pow",180,3,"NA","#VALUE!","Y"
"COLLURELLA","Collurella","pow",12,3,"NA","#VALUE!","Y"
"COLURELLA","Collurella","pow",12,3,"NA","#VALUE!","Y"
"CONOCHILOIDES","Conochiloides sp.*","pow",86,3,"NA","#VALUE!","Y"
"CONOCHILOIDES SP.*","Conochiloides sp.*","pow",86,3,"NA","#VALUE!","Y"
"CONOCHILUS","Conochilus spp.*::Conochilus unicornis","pow",86,3,"NA","Err:510","N"
"CONOCHILUS HIPPOCREPIS","na","pow",120,3,"NA","na","Y"
"CONOCHILUS SPP.*","Conochilus spp.*","pow",120,3,"NA","#VALUE!","Y"
"CONOCHILUS UNICORNIS","Conochilus unicornis","pow",120,3,"NA","#VALUE!","Y"
"COPEPOD NAUPLII","Copepod Nauplii","pow",3.0093,1.7064,"NA","#VALUE!","Y"
"COPEPODITES","na","pow",10.968,1.634,"NA","na",
"CYCLOPOID","Cyclopoid","pow",10.968,1.634,"NA","#VALUE!","Y"
"DAPHNIA","Daphnia::Daphnia catawba::Daphnia dubia::Daphnia galeata mendotae::Daphnia longiremis::Daphnia parvula::Daphnia pulex::Daphnia retrocurva::Daphnia rosea::Daphnia schodleri","pow",9.631,1.719,"NA","Err:510","Y"
"DAPHNIA AMBIGUA","na","pow",9.631,1.719,"NA","na",
"DAPHNIA CATAWBA","Daphnia catawba","pow",9.631,1.719,"NA","#VALUE!","Y"
"DAPHNIA DENTIFERA","na","pow",9.631,1.719,"NA","na",
"DAPHNIA DUBIA","Daphnia dubia","pow",10.9317,1.5302,"NA","#VALUE!","Y"
