"","lakeid","year4","daynum"
"1","AL",1986,225
"2","AL",1987,225
"3","AL",1988,231
"4","AL",1989,234
"5","AL",1990,234
"6","AL",1991,184
"7","AL",1992,265
"8","AL",1993,181
"9","AL",1994,264
"10","AL",1995,261
"11","AL",1996,221
"12","AL",1997,212
"13","AL",1998,168
"14","AL",1999,238
"15","AL",2000,290
"16","AL",2001,318
"17","AL",2002,226
"18","AL",2003,230
"19","AL",2004,204
"20","AL",2005,220
"21","AL",2006,192
"22","AL",2007,281
"23","AL",2008,129
"24","AL",2009,202
"25","AL",2010,243
"26","AL",2011,234
"27","AL",2012,150
"28","AL",2013,246
"29","AL",2014,195
"30","AL",2015,251
"31","AL",2016,172
"32","AL",2017,193
"33","AL",2018,220
"34","BM",1985,233
"35","BM",1986,224
"36","BM",1987,223
"37","BM",1988,256
"38","BM",1989,206
"39","BM",1990,263
"40","BM",1991,239
"41","BM",1992,190
"42","BM",1993,153
"43","BM",1994,180
"44","BM",1995,263
"45","BM",1996,247
"46","BM",1997,181
"47","BM",1998,251
"48","BM",1999,179
"49","BM",2000,264
"50","BM",2001,260
"51","BM",2002,224
"52","BM",2003,231
"53","BM",2004,174
"54","BM",2005,165
"55","BM",2006,191
"56","BM",2007,281
"57","BM",2008,212
"58","BM",2009,174
"59","BM",2010,158
"60","BM",2011,182
"61","BM",2012,261
"62","BM",2013,219
"63","BM",2014,223
"64","BM",2015,252
"65","BM",2016,202
"66","BM",2017,164
"67","BM",2018,190
"68","CB",1986,113
"69","CB",1987,174
"70","CB",1988,200
"71","CB",1989,177
"72","CB",1990,150
"73","CB",1991,212
"74","CB",1992,190
"75","CB",1993,182
"76","CB",1994,180
"77","CB",1995,205
"78","CB",1996,190
"79","CB",1997,210
"80","CB",1998,167
"81","CB",1999,153
"82","CB",2000,209
"83","CB",2001,234
"84","CB",2002,141
"85","CB",2003,121
"86","CB",2004,119
"87","CB",2005,166
"88","CB",2006,137
"89","CB",2007,199
"90","CB",2008,127
"91","CB",2009,203
"92","CB",2010,298
"93","CB",2011,153
"94","CB",2012,179
"95","CB",2013,162
"96","CB",2014,225
"97","CB",2015,140
"98","CB",2016,173
"99","CB",2017,192
"100","CB",2018,276
"101","CR",1985,234
"102","CR",1986,142
"103","CR",1987,224
"104","CR",1988,313
"105","CR",1989,236
"106","CR",1990,262
"107","CR",1991,241
"108","CR",1992,188
"109","CR",1993,236
"110","CR",1994,265
"111","CR",1995,235
"112","CR",1996,220
"113","CR",1997,237
"114","CR",1998,112
"115","CR",1999,210
"116","CR",2000,265
"117","CR",2001,179
"118","CR",2002,171
"119","CR",2003,233
"120","CR",2004,287
"121","CR",2005,166
"122","CR",2006,222
"123","CR",2007,256
"124","CR",2008,212
"125","CR",2009,288
"126","CR",2010,105
"127","CR",2011,236
"128","CR",2012,193
"129","CR",2013,162
"130","CR",2014,198
"131","CR",2015,253
"132","CR",2016,201
"133","CR",2017,193
"134","CR",2018,191
"135","FI",1996,192
"136","FI",1997,189
"137","FI",1998,299
"138","FI",1999,271
"139","FI",2000,131
"140","FI",2001,268
"141","FI",2002,268
"142","FI",2003,218
"143","FI",2004,133
"144","FI",2005,217
"145","FI",2006,222
"146","FI",2007,191
"147","FI",2008,192
"148","FI",2009,218
"149","FI",2010,106
"150","FI",2011,167
"151","FI",2012,250
"152","FI",2013,140
"153","FI",2014,162
"154","FI",2015,281
"155","FI",2016,245
"156","FI",2017,223
"157","FI",2018,250
"158","ME",1996,190
"159","ME",1997,190
"160","ME",1998,187
"161","ME",1999,187
"162","ME",2000,130
"163","ME",2001,127
"164","ME",2002,266
"165","ME",2003,216
"166","ME",2004,131
"167","ME",2005,213
"168","ME",2006,191
"169","ME",2007,274
"170","ME",2008,217
"171","ME",2009,273
"172","ME",2010,158
"173","ME",2011,164
"174","ME",2012,248
"175","ME",2013,134
"176","ME",2014,160
"177","ME",2015,215
"178","ME",2016,159
"179","ME",2017,353
"180","ME",2018,162
"181","MO",1996,191
"182","MO",1997,162
"183","MO",1998,214
"184","MO",1999,159
"185","MO",2000,130
"186","MO",2001,211
"187","MO",2002,267
"188","MO",2003,217
"189","MO",2004,189
"190","MO",2005,215
"191","MO",2006,193
"192","MO",2007,190
"193","MO",2008,273
"194","MO",2009,273
"195","MO",2010,102
"196","MO",2011,165
"197","MO",2012,164
"198","MO",2013,128
"199","MO",2014,161
"200","MO",2015,280
"201","MO",2016,132
"202","MO",2017,255
"203","MO",2018,163
"204","SP",1985,231
"205","SP",1986,223
"206","SP",1987,223
"207","SP",1988,229
"208","SP",1989,233
"209","SP",1990,262
"210","SP",1991,240
"211","SP",1992,237
"212","SP",1993,208
"213","SP",1994,208
"214","SP",1995,205
"215","SP",1996,249
"216","SP",1997,210
"217","SP",1997,267
"218","SP",1998,252
"219","SP",1999,235
"220","SP",2000,291
"221","SP",2001,205
"222","SP",2002,226
"223","SP",2003,232
"224","SP",2004,203
"225","SP",2005,164
"226","SP",2006,221
"227","SP",2007,197
"228","SP",2008,238
"229","SP",2009,203
"230","SP",2010,271
"231","SP",2011,154
"232","SP",2012,207
"233","SP",2013,217
"234","SP",2014,168
"235","SP",2015,251
"236","SP",2016,286
"237","SP",2017,221
"238","SP",2018,192
"239","TB",1985,233
"240","TB",1986,111
"241","TB",1987,279
"242","TB",1988,145
"243","TB",1989,289
"244","TB",1990,260
"245","TB",1991,267
"246","TB",1992,295
"247","TB",1993,292
"248","TB",1994,291
"249","TB",1995,313
"250","TB",1996,277
"251","TB",1997,267
"252","TB",1998,279
"253","TB",1999,263
"254","TB",2000,207
"255","TB",2001,320
"256","TB",2002,280
"257","TB",2003,287
"258","TB",2004,286
"259","TB",2005,167
"260","TB",2006,192
"261","TB",2007,256
"262","TB",2008,129
"263","TB",2009,118
"264","TB",2010,271
"265","TB",2011,263
"266","TB",2012,290
"267","TB",2013,302
"268","TB",2014,279
"269","TB",2015,321
"270","TB",2016,321
"271","TB",2017,275
"272","TB",2018,274
"273","TR",1985,232
"274","TR",1986,224
"275","TR",1987,222
"276","TR",1988,228
"277","TR",1989,235
"278","TR",1990,261
"279","TR",1991,240
"280","TR",1992,237
"281","TR",1993,152
"282","TR",1994,207
"283","TR",1995,236
"284","TR",1996,218
"285","TR",1997,211
"286","TR",1998,254
"287","TR",1999,291
"288","TR",2000,235
"289","TR",2001,178
"290","TR",2002,225
"291","TR",2003,231
"292","TR",2004,202
"293","TR",2005,194
"294","TR",2006,191
"295","TR",2007,198
"296","TR",2008,240
"297","TR",2009,201
"298","TR",2010,188
"299","TR",2011,153
"300","TR",2012,206
"301","TR",2013,248
"302","TR",2014,197
"303","TR",2015,254
"304","TR",2016,204
"305","TR",2017,222
"306","TR",2018,193
"307","WI",1996,163
"308","WI",1997,189
"309","WI",1998,161
"310","WI",1999,159
"311","WI",2000,242
"312","WI",2001,240
"313","WI",2002,199
"314","WI",2005,159
"315","WI",2006,193
"316","WI",2007,248
"317","WI",2008,191
"318","WI",2009,308
"319","WI",2010,188
"320","WI",2012,221
