lakeid,metric,sampledate,year,daynum
AL,doc,1986-10-09,1986,282
AL,doc,1987-09-10,1987,253
AL,doc,1988-09-13,1988,257
AL,doc,1989-07-25,1989,206
AL,doc,1990-09-18,1990,261
AL,doc,1990-11-09,1990,313
AL,doc,1991-08-27,1991,239
AL,doc,1992-09-21,1992,265
AL,doc,1993-06-04,1993,155
AL,doc,1994-09-21,1994,264
AL,doc,1995-08-21,1995,233
AL,doc,1996-09-03,1996,247
AL,doc,1997-08-27,1997,239
AL,doc,1998-06-17,1998,168
AL,doc,1999-08-26,1999,238
AL,doc,2000-08-23,2000,236
AL,doc,2001-07-23,2001,204
AL,doc,2002-08-14,2002,226
AL,doc,2003-06-23,2003,174
AL,doc,2004-06-21,2004,173
AL,doc,2005-11-08,2005,312
AL,doc,2006-07-11,2006,192
AL,doc,2007-10-08,2007,281
AL,doc,2008-05-08,2008,129
AL,doc,2009-11-09,2009,313
AL,doc,2010-11-10,2010,314
AL,doc,2011-08-22,2011,234
AL,doc,2012-06-26,2012,178
AL,doc,2013-03-27,2013,86
AL,doc,2014-07-14,2014,195
AL,doc,2015-09-08,2015,251
AL,doc,2016-11-10,2016,315
AL,doc,2017-07-12,2017,193
AL,doc,2018-08-08,2018,220
BM,doc,1986-08-12,1986,224
BM,doc,1987-01-12,1987,12
BM,doc,1988-07-20,1988,202
BM,doc,1989-01-17,1989,17
BM,doc,1990-01-23,1990,23
BM,doc,1991-01-14,1991,14
BM,doc,1992-01-13,1992,13
BM,doc,1993-02-22,1993,53
BM,doc,1994-02-24,1994,55
BM,doc,1995-12-18,1995,352
BM,doc,1996-04-09,1996,100
BM,doc,1997-01-15,1997,15
BM,doc,1998-01-15,1998,15
BM,doc,1999-01-15,1999,15
BM,doc,2000-01-24,2000,24
BM,doc,2001-01-18,2001,18
BM,doc,2002-01-22,2002,22
BM,doc,2003-11-10,2003,314
BM,doc,2004-01-26,2004,26
BM,doc,2005-07-12,2005,193
BM,doc,2006-08-07,2006,219
BM,doc,2007-02-27,2007,58
BM,doc,2008-09-22,2008,266
BM,doc,2009-02-24,2009,55
BM,doc,2010-11-11,2010,315
BM,doc,2011-01-14,2011,14
BM,doc,2012-01-11,2012,11
BM,doc,2013-03-29,2013,88
BM,doc,2014-01-30,2014,30
BM,doc,2015-03-26,2015,85
BM,doc,2016-01-22,2016,22
BM,doc,2017-07-11,2017,192
BM,doc,2018-02-20,2018,51
CB,doc,1986-04-23,1986,113
CB,doc,1987-02-23,1987,54
CB,doc,1988-02-29,1988,60
CB,doc,1989-01-19,1989,19
CB,doc,1990-11-08,1990,312
CB,doc,1991-01-15,1991,15
CB,doc,1992-02-25,1992,56
CB,doc,1993-03-23,1993,82
CB,doc,1994-02-23,1994,54
CB,doc,1995-01-12,1995,12
CB,doc,1996-07-08,1996,190
CB,doc,1997-09-22,1997,265
CB,doc,1998-03-17,1998,76
CB,doc,1999-06-02,1999,153
CB,doc,2000-01-28,2000,28
CB,doc,2001-04-02,2001,92
CB,doc,2002-01-22,2002,22
CB,doc,2003-02-20,2003,51
CB,doc,2004-01-21,2004,21
CB,doc,2005-11-08,2005,312
CB,doc,2006-01-12,2006,12
CB,doc,2007-11-08,2007,312
CB,doc,2008-02-25,2008,56
CB,doc,2009-01-22,2009,22
CB,doc,2010-11-12,2010,316
CB,doc,2011-03-17,2011,76
CB,doc,2012-01-09,2012,9
CB,doc,2013-01-28,2013,28
CB,doc,2014-02-20,2014,51
CB,doc,2015-03-23,2015,82
CB,doc,2016-07-21,2016,203
CB,doc,2017-03-24,2017,83
CB,doc,2018-02-23,2018,54
CR,doc,1986-05-22,1986,142
CR,doc,1987-01-14,1987,14
CR,doc,1988-03-02,1988,62
CR,doc,1989-01-18,1989,18
CR,doc,1990-01-15,1990,15
CR,doc,1991-06-06,1991,157
CR,doc,1992-03-26,1992,86
CR,doc,1993-01-07,1993,7
CR,doc,1994-09-22,1994,265
CR,doc,1995-01-13,1995,13
CR,doc,1996-01-23,1996,23
CR,doc,1997-03-31,1997,90
CR,doc,1998-01-14,1998,14
CR,doc,1999-03-19,1999,78
CR,doc,2000-01-17,2000,17
CR,doc,2001-01-19,2001,19
CR,doc,2002-06-20,2002,171
CR,doc,2003-01-14,2003,14
CR,doc,2004-01-13,2004,13
CR,doc,2005-07-14,2005,195
CR,doc,2006-08-10,2006,222
CR,doc,2007-10-11,2007,284
CR,doc,2008-07-02,2008,184
CR,doc,2009-08-20,2009,232
CR,doc,2010-02-23,2010,54
CR,doc,2011-01-12,2011,12
CR,doc,2012-01-13,2012,13
CR,doc,2013-06-11,2013,162
CR,doc,2014-03-13,2014,72
CR,doc,2015-09-10,2015,253
CR,doc,2016-01-29,2016,29
CR,doc,2017-07-12,2017,193
CR,doc,2018-02-19,2018,50
FI,doc,1996-07-10,1996,192
FI,doc,1997-07-08,1997,189
FI,doc,1998-10-26,1998,299
FI,doc,1999-08-31,1999,243
FI,doc,2000-03-16,2000,76
FI,doc,2001-07-03,2001,184
FI,doc,2002-09-25,2002,268
FI,doc,2003-08-06,2003,218
FI,doc,2004-08-05,2004,218
FI,doc,2005-09-29,2005,272
FI,doc,2006-08-10,2006,222
FI,doc,2007-09-21,2007,264
FI,doc,2008-11-10,2008,315
FI,doc,2009-01-23,2009,23
FI,doc,2010-04-16,2010,106
FI,doc,2011-06-16,2011,167
FI,doc,2012-09-06,2012,250
FI,doc,2013-05-20,2013,140
FI,doc,2014-05-13,2014,133
FI,doc,2015-10-08,2015,281
