lakeid,metric,sampledate,year,daynum
AL,iceon,NA,1981,NA
AL,iceon,1982-12-09,1982,343
AL,iceon,1983-11-22,1983,326
AL,iceon,1984-11-27,1984,332
AL,iceon,1985-11-10,1985,314
AL,iceon,1986-11-25,1986,329
AL,iceon,1987-11-14,1987,318
AL,iceon,1988-11-22,1988,327
AL,iceon,1989-12-01,1989,335
AL,iceon,1990-11-22,1990,326
AL,iceon,1991-12-03,1991,337
AL,iceon,1992-11-07,1992,312
AL,iceon,1993-11-17,1993,321
AL,iceon,1994-11-29,1994,333
AL,iceon,1995-11-26,1995,330
AL,iceon,1996-11-08,1996,313
AL,iceon,1997-11-15,1997,319
AL,iceon,1998-11-17,1998,321
AL,iceon,1999-12-11,1999,345
AL,iceon,2000-11-30,2000,335
AL,iceon,2001-11-21,2001,325
AL,iceon,2002-12-11,2002,345
AL,iceon,2003-11-18,2003,322
AL,iceon,2004-11-27,2004,332
AL,iceon,2005-12-14,2005,348
AL,iceon,2006-11-25,2006,329
AL,iceon,2007-12-01,2007,335
AL,iceon,2008-11-22,2008,327
AL,iceon,2009-11-26,2009,330
AL,iceon,2010-12-07,2010,341
AL,iceon,2011-11-27,2011,331
AL,iceon,2012-11-29,2012,334
AL,iceon,2013-12-08,2013,342
AL,iceon,2014-11-19,2014,323
AL,iceon,2015-11-21,2015,325
AL,iceon,2016-11-29,2016,334
AL,iceon,2017-12-13,2017,347
AL,iceon,2018-11-20,2018,324
AL,iceon,2019-11-16,2019,320
BM,iceon,NA,1981,NA
BM,iceon,1982-12-15,1982,349
BM,iceon,1983-12-07,1983,341
BM,iceon,1984-12-02,1984,337
BM,iceon,1985-11-22,1985,326
BM,iceon,1986-11-25,1986,329
BM,iceon,1987-11-18,1987,322
BM,iceon,1988-12-02,1988,337
BM,iceon,1989-12-02,1989,336
BM,iceon,1990-11-22,1990,326
BM,iceon,1991-12-05,1991,339
BM,iceon,1992-11-26,1992,331
BM,iceon,1993-12-01,1993,335
BM,iceon,1994-12-01,1994,335
BM,iceon,1995-12-09,1995,343
BM,iceon,1996-11-12,1996,317
BM,iceon,1997-11-26,1997,330
BM,iceon,1998-11-24,1998,328
BM,iceon,1999-12-23,1999,357
BM,iceon,2000-12-16,2000,351
BM,iceon,2001-12-05,2001,339
BM,iceon,2002-12-26,2002,360
