lakeid,metric,sampledate,year,daynum
AL,drsif_epiMin,1982-05-11,1982,131
AL,drsif_epiMin,1983-05-25,1983,145
AL,drsif_epiMin,1984-05-09,1984,130
AL,drsif_epiMin,1985-04-30,1985,120
AL,drsif_epiMin,1986-04-24,1986,114
AL,totpuf_epiMin,1986-07-16,1986,197
AL,drsif_epiMin,1987-04-15,1987,105
AL,totpuf_epiMin,1987-10-05,1987,278
AL,drsif_epiMin,1988-04-26,1988,117
AL,totpuf_epiMin,1988-06-20,1988,172
AL,drsif_epiMin,1989-05-01,1989,121
AL,totpuf_epiMin,1989-07-25,1989,206
AL,drsif_epiMin,1990-04-30,1990,120
AL,totpuf_epiMin,1990-07-24,1990,205
AL,drsif_epiMin,1991-05-07,1991,127
AL,totpuf_epiMin,1991-06-04,1991,155
AL,drsif_epiMin,1992-05-05,1992,126
AL,totpuf_epiMin,1992-07-29,1992,211
AL,drsif_epiMin,1993-05-03,1993,123
AL,totpuf_epiMin,1993-06-30,1993,181
AL,drsif_epiMin,1994-05-03,1994,123
AL,totpuf_epiMin,1994-06-27,1994,178
AL,drsif_epiMin,1995-05-01,1995,121
AL,totpuf_epiMin,1995-07-26,1995,207
AL,drsif_epiMin,1996-05-14,1996,135
AL,totpuf_epiMin,1996-07-11,1996,193
AL,drsif_epiMin,1997-05-13,1997,133
AL,totpuf_epiMin,1997-07-31,1997,212
AL,drsif_epiMin,1998-04-22,1998,112
AL,totpuf_epiMin,1998-07-13,1998,194
AL,drsif_epiMin,1999-05-06,1999,126
AL,totpuf_epiMin,1999-08-26,1999,238
AL,drsif_epiMin,2000-04-03,2000,94
AL,totpuf_epiMin,2000-05-04,2000,125
AL,drsif_epiMin,2001-05-01,2001,121
AL,totpuf_epiMin,2001-05-29,2001,149
AL,drsif_epiMin,2002-04-23,2002,113
AL,totpuf_epiMin,2002-09-09,2002,252
AL,drsif_epiMin,2003-04-30,2003,120
AL,totpuf_epiMin,2003-05-29,2003,149
AL,drsif_epiMin,2004-04-27,2004,118
AL,totpuf_epiMin,2004-05-24,2004,145
AL,drsif_epiMin,2005-04-19,2005,109
AL,totpuf_epiMin,2005-05-16,2005,136
AL,drsif_epiMin,2006-04-20,2006,110
AL,totpuf_epiMin,2006-07-11,2006,192
AL,drsif_epiMin,2007-04-23,2007,113
AL,totpuf_epiMin,2007-05-21,2007,141
AL,drsif_epiMin,2008-05-08,2008,129
AL,totpuf_epiMin,2008-06-02,2008,154
AL,drsif_epiMin,2009-04-27,2009,117
AL,totpuf_epiMin,2009-06-22,2009,173
AL,drsif_epiMin,2010-07-08,2010,189
AL,totpuf_epiMin,2010-05-12,2010,132
AL,drsif_epiMin,2011-05-02,2011,122
AL,totpuf_epiMin,2011-05-31,2011,151
AL,drsif_epiMin,2012-04-03,2012,94
AL,totpuf_epiMin,2012-09-19,2012,263
AL,drsif_epiMin,2013-05-14,2013,134
AL,totpuf_epiMin,2013-06-10,2013,161
AL,drsif_epiMin,2014-05-20,2014,140
AL,totpuf_epiMin,2014-08-12,2014,224
AL,drsif_epiMin,2015-04-21,2015,111
AL,totpuf_epiMin,2015-06-18,2015,169
AL,drsif_epiMin,2016-04-25,2016,116
AL,totpuf_epiMin,2016-06-20,2016,172
AL,drsif_epiMin,2017-04-17,2017,107
AL,totpuf_epiMin,2017-05-16,2017,136
AL,drsif_epiMin,2018-05-14,2018,134
AL,totpuf_epiMin,2018-06-11,2018,162
BM,drsif_epiMin,1982-05-11,1982,131
BM,drsif_epiMin,1983-11-14,1983,318
BM,drsif_epiMin,1984-09-25,1984,269
BM,drsif_epiMin,1985-10-25,1985,298
BM,drsif_epiMin,1986-10-07,1986,280
BM,totpuf_epiMin,1986-07-16,1986,197
BM,drsif_epiMin,1987-11-04,1987,308
BM,totpuf_epiMin,1987-05-21,1987,141
BM,drsif_epiMin,1988-11-07,1988,312
BM,totpuf_epiMin,1988-06-22,1988,174
BM,drsif_epiMin,1989-11-14,1989,318
BM,totpuf_epiMin,1989-08-22,1989,234
BM,drsif_epiMin,1990-05-31,1990,151
BM,totpuf_epiMin,1990-06-26,1990,177
BM,drsif_epiMin,1991-10-29,1991,302
BM,totpuf_epiMin,1991-08-27,1991,239
BM,drsif_epiMin,1992-06-03,1992,155
BM,totpuf_epiMin,1992-06-03,1992,155
BM,drsif_epiMin,1993-10-19,1993,292
BM,totpuf_epiMin,1993-05-05,1993,125
BM,drsif_epiMin,1994-05-06,1994,126
BM,totpuf_epiMin,1994-09-19,1994,262
BM,drsif_epiMin,1995-12-18,1995,352
BM,totpuf_epiMin,1995-07-25,1995,206
BM,drsif_epiMin,1996-06-10,1996,162
BM,totpuf_epiMin,1996-07-10,1996,192
BM,drsif_epiMin,1997-06-02,1997,153
BM,totpuf_epiMin,1997-06-30,1997,181
BM,drsif_epiMin,1998-05-18,1998,138
BM,totpuf_epiMin,1998-06-18,1998,169
BM,drsif_epiMin,1999-11-11,1999,315
BM,totpuf_epiMin,1999-06-28,1999,179
BM,drsif_epiMin,2000-11-14,2000,319
BM,totpuf_epiMin,2000-05-30,2000,151
BM,drsif_epiMin,2001-11-12,2001,316
BM,totpuf_epiMin,2001-05-31,2001,151
BM,drsif_epiMin,2002-11-05,2002,309
BM,totpuf_epiMin,2002-11-05,2002,309
BM,drsif_epiMin,2003-06-25,2003,176
BM,totpuf_epiMin,2003-11-10,2003,314
BM,drsif_epiMin,2004-06-22,2004,174
BM,totpuf_epiMin,2004-05-25,2004,146
BM,drsif_epiMin,2005-05-16,2005,136
BM,totpuf_epiMin,2005-05-16,2005,136
BM,drsif_epiMin,2006-05-19,2006,139
BM,totpuf_epiMin,2006-10-02,2006,275
BM,drsif_epiMin,2007-11-09,2007,313
BM,totpuf_epiMin,2007-04-25,2007,115
BM,drsif_epiMin,2008-11-07,2008,312
BM,totpuf_epiMin,2008-06-03,2008,155
BM,drsif_epiMin,2009-08-17,2009,229
BM,totpuf_epiMin,2009-07-20,2009,201
BM,drsif_epiMin,2010-07-09,2010,190
BM,totpuf_epiMin,2010-07-09,2010,190
BM,drsif_epiMin,2011-05-31,2011,151
BM,totpuf_epiMin,2011-07-27,2011,208
BM,drsif_epiMin,2012-04-30,2012,121
BM,totpuf_epiMin,2012-08-20,2012,233
BM,drsif_epiMin,2013-06-10,2013,161
BM,totpuf_epiMin,2013-06-10,2013,161
BM,drsif_epiMin,2014-11-05,2014,309
BM,totpuf_epiMin,2014-08-11,2014,223
BM,drsif_epiMin,2015-05-19,2015,139
BM,totpuf_epiMin,2015-06-15,2015,166
BM,drsif_epiMin,2016-05-23,2016,144
BM,totpuf_epiMin,2016-04-27,2016,118
BM,drsif_epiMin,2017-05-16,2017,136
BM,totpuf_epiMin,2017-07-11,2017,192
BM,drsif_epiMin,2018-06-13,2018,164
BM,totpuf_epiMin,2018-06-13,2018,164
CB,drsif_epiMin,1982-08-04,1982,216
CB,drsif_epiMin,1983-07-19,1983,200
CB,drsif_epiMin,1984-08-16,1984,229
CB,drsif_epiMin,1985-05-30,1985,150
CB,drsif_epiMin,1986-05-20,1986,140
CB,totpuf_epiMin,1986-07-14,1986,195
CB,drsif_epiMin,1987-09-10,1987,253
CB,totpuf_epiMin,1987-04-13,1987,103
CB,drsif_epiMin,1988-09-14,1988,258
CB,totpuf_epiMin,1988-05-23,1988,144
CB,drsif_epiMin,1989-09-19,1989,262
CB,totpuf_epiMin,1989-09-19,1989,262
CB,drsif_epiMin,1990-06-25,1990,176
CB,totpuf_epiMin,1990-06-25,1990,176
CB,drsif_epiMin,1991-06-03,1991,154
CB,totpuf_epiMin,1991-10-29,1991,302
CB,drsif_epiMin,1992-06-04,1992,156
CB,totpuf_epiMin,1992-08-26,1992,239
CB,drsif_epiMin,1993-06-03,1993,154
CB,totpuf_epiMin,1993-06-03,1993,154
CB,drsif_epiMin,1994-08-22,1994,234
CB,totpuf_epiMin,1994-08-22,1994,234
CB,drsif_epiMin,1995-06-02,1995,153
CB,totpuf_epiMin,1995-06-02,1995,153
CB,drsif_epiMin,1996-07-08,1996,190
