lakeid,metric,sampledate,year,daynum
AL,secchi_max,1982-11-30,1982,334
AL,secchi_max,1983-07-20,1983,201
AL,secchi_max,1984-06-21,1984,173
AL,secchi_max,1985-07-11,1985,192
AL,secchi_max,1986-06-18,1986,169
AL,secchi_max,1987-05-18,1987,138
AL,secchi_max,1988-06-07,1988,159
AL,secchi_max,1989-05-29,1989,149
AL,secchi_max,1990-05-30,1990,150
AL,secchi_max,1991-05-21,1991,141
AL,secchi_max,1992-06-01,1992,153
AL,secchi_max,1993-06-04,1993,155
AL,secchi_max,1994-06-06,1994,157
AL,secchi_max,1995-07-10,1995,191
AL,secchi_max,1996-09-03,1996,247
AL,secchi_max,1997-07-31,1997,212
AL,secchi_max,1998-06-17,1998,168
AL,secchi_max,1999-07-28,1999,209
AL,secchi_max,2000-05-04,2000,125
AL,secchi_max,2001-05-29,2001,149
AL,secchi_max,2002-08-26,2002,238
AL,secchi_max,2003-05-29,2003,149
AL,secchi_max,2004-05-24,2004,145
AL,secchi_max,2005-05-31,2005,151
AL,secchi_max,2006-05-30,2006,150
AL,secchi_max,2007-05-21,2007,141
AL,secchi_max,2008-06-02,2008,154
AL,secchi_max,2009-10-26,2009,299
AL,secchi_max,2010-04-27,2010,117
AL,secchi_max,2011-06-13,2011,164
AL,secchi_max,2012-05-14,2012,135
AL,secchi_max,2013-06-10,2013,161
AL,secchi_max,2014-06-17,2014,168
AL,secchi_max,2015-05-05,2015,125
AL,secchi_max,2016-06-06,2016,158
AL,secchi_max,2017-05-03,2017,123
AL,secchi_max,2018-09-17,2018,260
AL,secchi_max,2019-06-18,2019,169
BM,secchi_max,1982-06-21,1982,172
BM,secchi_max,1983-06-06,1983,157
BM,secchi_max,1984-06-20,1984,172
BM,secchi_max,1985-05-30,1985,150
BM,secchi_max,1986-05-19,1986,139
BM,secchi_max,1987-05-21,1987,141
BM,secchi_max,1988-05-25,1988,146
BM,secchi_max,1989-05-31,1989,151
BM,secchi_max,1990-05-31,1990,151
BM,secchi_max,1991-06-05,1991,156
BM,secchi_max,1992-06-03,1992,155
BM,secchi_max,1993-06-02,1993,153
BM,secchi_max,1994-06-13,1994,164
BM,secchi_max,1995-06-13,1995,164
BM,secchi_max,1996-07-23,1996,205
BM,secchi_max,1997-06-17,1997,168
BM,secchi_max,1998-05-04,1998,124
BM,secchi_max,1999-05-18,1999,138
BM,secchi_max,2000-05-30,2000,151
BM,secchi_max,2001-05-31,2001,151
BM,secchi_max,2002-07-30,2002,211
BM,secchi_max,2003-06-09,2003,160
BM,secchi_max,2004-11-08,2004,313
BM,secchi_max,2005-05-31,2005,151
BM,secchi_max,2006-05-19,2006,139
BM,secchi_max,2007-04-25,2007,115
BM,secchi_max,2008-06-23,2008,175
BM,secchi_max,2009-06-23,2009,174
BM,secchi_max,2010-05-25,2010,145
BM,secchi_max,2011-05-05,2011,125
BM,secchi_max,2012-11-13,2012,318
BM,secchi_max,2013-06-24,2013,175
BM,secchi_max,2014-06-16,2014,167
BM,secchi_max,2015-05-19,2015,139
BM,secchi_max,2016-05-09,2016,130
BM,secchi_max,2017-05-16,2017,136
BM,secchi_max,2018-07-23,2018,204
BM,secchi_max,2019-09-24,2019,267
CB,secchi_max,1982-09-22,1982,265
CB,secchi_max,1983-09-29,1983,272
CB,secchi_max,1984-09-24,1984,268
CB,secchi_max,1985-10-24,1985,297
CB,secchi_max,1986-07-31,1986,212
CB,secchi_max,1987-07-27,1987,208
CB,secchi_max,1988-09-14,1988,258
CB,secchi_max,1989-08-09,1989,221
CB,secchi_max,1990-05-30,1990,150
CB,secchi_max,1991-10-08,1991,281
CB,secchi_max,1992-08-26,1992,239
CB,secchi_max,1993-09-09,1993,252
CB,secchi_max,1994-06-06,1994,157
CB,secchi_max,1995-10-04,1995,277
CB,secchi_max,1996-09-18,1996,262
CB,secchi_max,1997-08-26,1997,238
CB,secchi_max,1998-08-10,1998,222
CB,secchi_max,1999-05-19,1999,139
CB,secchi_max,2000-10-31,2000,305
CB,secchi_max,2001-10-17,2001,290
CB,secchi_max,2002-07-29,2002,210
CB,secchi_max,2003-05-27,2003,147
CB,secchi_max,2004-08-18,2004,231
CB,secchi_max,2005-10-19,2005,292
CB,secchi_max,2006-10-18,2006,291
CB,secchi_max,2007-11-08,2007,312
CB,secchi_max,2008-10-07,2008,281
CB,secchi_max,2009-09-16,2009,259
CB,secchi_max,2010-06-08,2010,159
CB,secchi_max,2011-08-24,2011,236
CB,secchi_max,2012-05-30,2012,151
CB,secchi_max,2013-09-05,2013,248
CB,secchi_max,2014-07-29,2014,210
CB,secchi_max,2015-06-16,2015,167
