lakeid,metric,sampledate,year,daynum
AL,daphnia_biomass,1982-08-05,1982,217
AL,daphnia_biomass,1983-08-15,1983,227
AL,daphnia_biomass,1984-08-14,1984,227
AL,daphnia_biomass,1985-08-19,1985,231
AL,daphnia_biomass,1986-08-13,1986,225
AL,daphnia_biomass,1987-08-13,1987,225
AL,daphnia_biomass,1988-11-02,1988,307
AL,daphnia_biomass,1989-11-09,1989,313
AL,daphnia_biomass,1990-11-09,1990,313
AL,daphnia_biomass,1991-05-07,1991,127
AL,daphnia_biomass,1992-11-06,1992,311
AL,daphnia_biomass,1993-06-04,1993,155
AL,daphnia_biomass,1994-06-13,1994,164
AL,daphnia_biomass,1995-08-21,1995,233
AL,daphnia_biomass,1996-08-08,1996,221
AL,daphnia_biomass,1997-06-16,1997,167
AL,daphnia_biomass,1998-06-17,1998,168
AL,daphnia_biomass,1999-11-05,1999,309
AL,daphnia_biomass,2000-11-15,2000,320
AL,daphnia_biomass,2001-11-14,2001,318
AL,daphnia_biomass,2002-08-14,2002,226
AL,daphnia_biomass,2003-07-23,2003,204
AL,daphnia_biomass,2004-10-11,2004,285
AL,daphnia_biomass,2005-05-16,2005,136
AL,daphnia_biomass,2006-10-04,2006,277
AL,daphnia_biomass,2007-07-16,2007,197
AL,daphnia_biomass,2008-08-25,2008,238
AL,daphnia_biomass,2009-11-09,2009,313
AL,daphnia_biomass,2010-11-10,2010,314
AL,daphnia_biomass,2011-09-19,2011,262
AL,daphnia_biomass,2012-11-09,2012,314
AL,daphnia_biomass,2013-06-10,2013,161
AL,daphnia_biomass,2014-11-03,2014,307
AL,daphnia_biomass,2015-10-06,2015,279
AL,daphnia_biomass,2016-10-11,2016,285
AL,daphnia_biomass,2017-05-16,2017,136
AL,daphnia_biomass,2018-11-05,2018,309
AL,daphnia_biomass,2019-06-03,2019,154
AL,total_zoop_biomass,1982-08-05,1982,217
AL,total_zoop_biomass,1983-06-22,1983,173
AL,total_zoop_biomass,1984-11-08,1984,313
AL,total_zoop_biomass,1985-04-30,1985,120
AL,total_zoop_biomass,1986-08-13,1986,225
AL,total_zoop_biomass,1987-08-13,1987,225
AL,total_zoop_biomass,1988-11-02,1988,307
AL,total_zoop_biomass,1989-11-09,1989,313
AL,total_zoop_biomass,1990-04-30,1990,120
AL,total_zoop_biomass,1991-08-27,1991,239
AL,total_zoop_biomass,1992-11-06,1992,311
AL,total_zoop_biomass,1993-06-04,1993,155
AL,total_zoop_biomass,1994-08-25,1994,237
AL,total_zoop_biomass,1995-06-12,1995,163
AL,total_zoop_biomass,1996-06-12,1996,164
AL,total_zoop_biomass,1997-06-16,1997,167
AL,total_zoop_biomass,1998-11-04,1998,308
AL,total_zoop_biomass,1999-11-05,1999,309
AL,total_zoop_biomass,2000-11-15,2000,320
AL,total_zoop_biomass,2001-11-14,2001,318
