lakeid,sampledate,group,biomass,year,doy
AL,1982-06-09,TOTAL,456.7566354925334,1982,160
AL,1983-06-22,TOTAL,629.9371024361598,1983,173
AL,1984-11-08,TOTAL,559.2483462395389,1984,313
AL,1985-04-30,TOTAL,366.8433928214412,1985,120
AL,1986-08-13,TOTAL,434.70450018010814,1986,225
AL,1987-08-13,TOTAL,883.0586499225275,1987,225
AL,1988-11-02,TOTAL,668.7336373148811,1988,307
AL,1989-11-09,TOTAL,588.7049790116934,1989,313
AL,1990-04-30,TOTAL,981.5944213940372,1990,120
AL,1991-08-27,TOTAL,684.3656061489694,1991,239
AL,1992-11-06,TOTAL,555.8023158521954,1992,311
AL,1993-06-04,TOTAL,507.55233149392495,1993,155
AL,1994-08-25,TOTAL,360.40947598086535,1994,237
AL,1995-06-12,TOTAL,585.5206822558981,1995,163
AL,1996-06-12,TOTAL,245.0555098855259,1996,164
AL,1997-06-16,TOTAL,220.55166791221157,1997,167
AL,1998-11-04,TOTAL,620.5306406923554,1998,308
AL,1999-02-25,TOTAL,1932.7711778496107,1999,56
AL,2000-11-15,TOTAL,677.8823613245984,2000,320
AL,2001-11-14,TOTAL,930.4103531993413,2001,318
AL,2002-08-14,TOTAL,934.3433227967988,2002,226
AL,2003-07-23,TOTAL,805.6753380338101,2003,204
AL,2004-10-11,TOTAL,1781.3908982675114,2004,285
AL,2005-05-16,TOTAL,807.6252291501597,2005,136
AL,2006-10-04,TOTAL,815.9901154226135,2006,277
AL,2007-07-16,TOTAL,981.0236290032949,2007,197
AL,2008-09-22,TOTAL,1014.1663421912554,2008,266
AL,2009-11-09,TOTAL,773.2907940757016,2009,313
AL,2010-04-12,TOTAL,718.9598460921878,2010,102
AL,2011-09-19,TOTAL,601.6381614237087,2011,262
AL,2012-11-09,TOTAL,525.5875447707733,2012,314
AL,2013-02-25,TOTAL,491.2212731397293,2013,56
AL,2014-11-03,TOTAL,952.627719761773,2014,307
AL,2015-10-06,TOTAL,396.3298728189429,2015,279
AL,2016-10-11,TOTAL,631.7713715777694,2016,285
AL,2017-08-08,TOTAL,620.5076384706946,2017,220
AL,2018-11-05,TOTAL,431.846416930497,2018,309
AL,2019-08-27,TOTAL,565.425422042451,2019,239
BM,1981-10-20,TOTAL,886.5603634240551,1981,293
BM,1982-05-25,TOTAL,800.6845579114143,1982,145
BM,1983-11-28,TOTAL,625.898694279809,1983,332
BM,1984-09-04,TOTAL,819.9706326602335,1984,248
BM,1985-05-30,TOTAL,1111.3772818389716,1985,150
BM,1986-11-05,TOTAL,565.7316833306911,1986,309
BM,1987-11-04,TOTAL,417.30216584199974,1987,308
BM,1988-05-11,TOTAL,822.6994419169148,1988,132
BM,1989-05-31,TOTAL,606.7048830784983,1989,151
BM,1990-08-21,TOTAL,655.5492917005172,1990,233
BM,1991-10-29,TOTAL,523.3783984556858,1991,302
BM,1992-11-11,TOTAL,567.667697936213,1992,316
BM,1993-11-10,TOTAL,415.1800018566152,1993,314
BM,1994-05-06,TOTAL,443.8323155426138,1994,126
BM,1995-12-18,TOTAL,261.3154955922074,1995,352
BM,1996-11-06,TOTAL,680.0743635809114,1996,311
BM,1997-06-17,TOTAL,313.19182174270804,1997,168
BM,1998-11-02,TOTAL,636.1175031124499,1998,306
BM,1999-11-11,TOTAL,505.6037860267414,1999,315
BM,2000-08-24,TOTAL,392.20344104779485,2000,237
BM,2001-11-12,TOTAL,518.3045074425703,2001,316
BM,2002-08-12,TOTAL,446.2392856189062,2002,224
BM,2003-07-23,TOTAL,289.83502885098454,2003,204
BM,2004-09-13,TOTAL,418.0347891110359,2004,257
BM,2005-11-11,TOTAL,567.5567213706338,2005,315
BM,2006-05-19,TOTAL,668.9136867148546,2006,139
BM,2007-10-08,TOTAL,1127.7267465023474,2007,281
BM,2008-06-03,TOTAL,588.6324887721026,2008,155
BM,2009-04-29,TOTAL,722.5262287054128,2009,119
BM,2010-05-10,TOTAL,884.2553152552308,2010,130
BM,2011-05-05,TOTAL,655.6362497546404,2011,125
BM,2012-04-30,TOTAL,546.4806495996049,2012,121
BM,2013-11-14,TOTAL,348.61543384858777,2013,318
BM,2014-11-05,TOTAL,477.9455075177441,2014,309
BM,2015-05-19,TOTAL,540.2705117009872,2015,139
BM,2016-05-23,TOTAL,575.6096062519647,2016,144
BM,2017-04-19,TOTAL,777.3073237145676,2017,109
BM,2018-06-13,TOTAL,425.62464997213124,2018,164
BM,2019-06-03,TOTAL,703.5025395182671,2019,154
CB,1981-08-27,TOTAL,337.90568182974323,1981,239
CB,1982-09-07,TOTAL,1872.0942827699766,1982,250
CB,1983-01-28,TOTAL,12880.441732015077,1983,28
CB,1984-02-20,TOTAL,1438.9372197784323,1984,51
CB,1985-02-26,TOTAL,2199.1192081682084,1985,57
CB,1986-01-13,TOTAL,1480.4010231176387,1986,13
CB,1987-08-13,TOTAL,609.2952288843046,1987,225
CB,1988-06-22,TOTAL,895.0764558680123,1988,174
CB,1989-06-14,TOTAL,509.8390596043447,1989,165
CB,1990-06-11,TOTAL,623.3591777418247,1990,162
CB,1991-02-18,TOTAL,563.811976908651,1991,49
CB,1992-07-25,TOTAL,864.6594205661555,1992,207
CB,1993-08-25,TOTAL,242.07798091069012,1993,237
CB,1994-06-14,TOTAL,783.83443265838,1994,165
CB,1995-06-12,TOTAL,1243.274882972241,1995,163
CB,1996-08-07,TOTAL,575.8982571033819,1996,220
CB,1997-08-26,TOTAL,597.9841697446668,1997,238
CB,1998-06-16,TOTAL,238.12341359590582,1998,167
CB,1999-06-30,TOTAL,914.7452712205081,1999,181
CB,2000-06-14,TOTAL,1814.164014493771,2000,166
CB,2001-06-26,TOTAL,1077.6055485582708,2001,177
CB,2002-02-22,TOTAL,601.4562388026565,2002,53
CB,2003-08-18,TOTAL,807.0449710035783,2003,230
CB,2004-06-23,TOTAL,852.7538681774136,2004,175
CB,2005-08-09,TOTAL,1042.703159028063,2005,221
CB,2006-07-12,TOTAL,1732.6575848046614,2006,193
CB,2007-09-10,TOTAL,745.9532461360944,2007,253
CB,2008-07-29,TOTAL,568.8370720256588,2008,211
CB,2009-09-16,TOTAL,758.2432516839309,2009,259
CB,2010-02-22,TOTAL,2327.4980979116767,2010,53
CB,2011-07-26,TOTAL,1284.9960072481242,2011,207
CB,2012-06-27,TOTAL,567.6394698936875,2012,179
CB,2013-09-05,TOTAL,584.2272627095322,2013,248
CB,2014-08-13,TOTAL,877.5304181067439,2014,225
CB,2015-08-12,TOTAL,970.906783765409,2015,224
CB,2016-09-13,TOTAL,1466.5107068003485,2016,257
CB,2017-10-03,TOTAL,773.9819538678871,2017,276
CB,2018-10-03,TOTAL,2708.933911870903,2018,276
CB,2019-07-30,TOTAL,907.4922612397946,2019,211
CR,1981-07-27,TOTAL,362.9102778018164,1981,208
CR,1982-08-03,TOTAL,1346.3255751276138,1982,215
CR,1983-01-14,TOTAL,637.0925095364308,1983,14
CR,1984-05-23,TOTAL,374.4556362835982,1984,144
CR,1985-05-15,TOTAL,723.2626083975094,1985,135
CR,1986-05-22,TOTAL,545.0976182727705,1986,142
CR,1987-05-05,TOTAL,497.85352575070107,1987,125
CR,1988-01-19,TOTAL,660.8635858861144,1988,19
CR,1989-07-12,TOTAL,783.1859954558386,1989,193
CR,1990-09-06,TOTAL,1143.153397781194,1990,249
CR,1991-08-15,TOTAL,1040.873636766761,1991,227
CR,1992-09-08,TOTAL,668.0413096797641,1992,252
