lakeid,year4,daynum,sampledate,extcoef,lightext_flag,comments
AL,1981,113,4/23/1981,,V,extcoef: No light data
AL,1981,142,5/22/1981,,V,extcoef: No light data
AL,1981,154,6/3/1981,,V,extcoef: No light data
AL,1981,168,6/17/1981,0.722,J,extcoef: Calculated from raw light profile; not corrected for changes in surface light
AL,1981,183,7/2/1981,0.806,J,extcoef: Calculated from raw light profile; not corrected for changes in surface light
AL,1981,197,7/16/1981,0.744,J,extcoef: Calculated from raw light profile; not corrected for changes in surface light
AL,1981,209,7/28/1981,0.559,J,extcoef: Calculated from raw light profile; not corrected for changes in surface light
AL,1981,224,8/12/1981,0.814,J,extcoef: Calculated from raw light profile; not corrected for changes in surface light
AL,1981,239,8/27/1981,0.637,J,extcoef: Calculated from raw light profile; not corrected for changes in surface light
AL,1981,255,9/12/1981,0.961,J,extcoef: Calculated from raw light profile; not corrected for changes in surface light
AL,1981,269,9/26/1981,,V,extcoef: Insufficient light data
AL,1981,295,10/22/1981,0.779,J,extcoef: Calculated from raw light profile; not corrected for changes in surface light
AL,1982,26,1/26/1982,,V,extcoef: No light data
AL,1982,54,2/23/1982,,V,extcoef: No light data
AL,1982,95,4/5/1982,,V,extcoef: No light data
AL,1982,131,5/11/1982,1.011,,
AL,1982,145,5/25/1982,0.745,,
AL,1982,160,6/9/1982,0.582,,
AL,1982,176,6/25/1982,0.71,,
AL,1982,186,7/5/1982,0.688,,
AL,1982,202,7/21/1982,,V,extcoef: No light data
AL,1982,217,8/5/1982,,V,extcoef: No light data
AL,1982,228,8/16/1982,0.814,J,extcoef: Calculated from raw light profile; not corrected for changes in surface light
AL,1982,251,9/8/1982,1.003,,
AL,1982,264,9/21/1982,1.37,,
AL,1982,278,10/5/1982,0.81,,
AL,1982,295,10/22/1982,1.168,,
AL,1982,312,11/8/1982,0.927,,
AL,1982,334,11/30/1982,,V,extcoef: No light data
AL,1983,17,1/17/1983,,V,extcoef: No light data
AL,1983,49,2/18/1983,,V,extcoef: No light data
AL,1983,82,3/23/1983,,V,extcoef: No light data
AL,1983,130,5/10/1983,1.074,,
AL,1983,145,5/25/1983,0.775,,
AL,1983,159,6/8/1983,0.853,,
AL,1983,173,6/22/1983,0.58,,
AL,1983,186,7/5/1983,,V,extcoef: Light not monotonically decreasing
AL,1983,201,7/20/1983,0.774,,
AL,1983,216,8/4/1983,0.847,,
AL,1983,227,8/15/1983,0.777,,
AL,1983,252,9/9/1983,0.882,,
AL,1983,272,9/29/1983,1.043,,
AL,1983,291,10/18/1983,0.998,,
AL,1983,320,11/16/1983,,V,extcoef: No light data
AL,1984,6,1/6/1984,,V,extcoef: No light data
AL,1984,60,2/29/1984,,V,extcoef: No light data
AL,1984,94,4/3/1984,,V,extcoef: No light data
AL,1984,130,5/9/1984,,V,extcoef: No light data
AL,1984,144,5/23/1984,0.801,,
AL,1984,157,6/5/1984,0.723,,
AL,1984,173,6/21/1984,0.821,,
AL,1984,185,7/3/1984,0.667,,
AL,1984,200,7/18/1984,0.823,,
AL,1984,215,8/2/1984,0.611,,
AL,1984,227,8/14/1984,0.714,,
AL,1984,250,9/6/1984,,V,extcoef: Insufficient light data
AL,1984,268,9/24/1984,,V,extcoef: Insufficient light data
AL,1984,289,10/15/1984,0.787,,
AL,1984,313,11/8/1984,1.154,,
AL,1985,7,1/7/1985,1.941,J,extcoef: Water level assumed = 0
AL,1985,56,2/25/1985,1.139,,
AL,1985,86,3/27/1985,0.727,,
AL,1985,120,4/30/1985,1.049,,
AL,1985,136,5/16/1985,0.703,,
AL,1985,148,5/28/1985,0.838,,
AL,1985,162,6/11/1985,0.808,,
AL,1985,175,6/24/1985,0.807,,
AL,1985,192,7/11/1985,0.893,,
