lakeid,year4,sampledate,total_biomass,larger_group
AL,1982,1982-06-09,33.43253880555784,DAPHNIA
AL,1982,1982-08-05,171.49651518103138,DAPHNIA
AL,1982,1982-11-08,160.39658498380723,DAPHNIA
AL,1983,1983-02-18,33.43192775424845,DAPHNIA
AL,1983,1983-06-22,120.92646613006276,DAPHNIA
AL,1983,1983-08-15,138.33901139689016,DAPHNIA
AL,1983,1983-10-18,37.41260294907663,DAPHNIA
AL,1984,1984-02-29,2.786044900463153,DAPHNIA
AL,1984,1984-05-09,21.492346375001468,DAPHNIA
AL,1984,1984-06-21,64.4770391250044,DAPHNIA
AL,1984,1984-08-14,73.78080607834141,DAPHNIA
AL,1984,1984-11-08,57.71093008102246,DAPHNIA
AL,1985,1985-02-25,61.29298781018937,DAPHNIA
AL,1985,1985-04-30,3.1840513148150325,DAPHNIA
AL,1985,1985-06-11,36.218583706020986,DAPHNIA
AL,1985,1985-08-19,42.65452851404113,DAPHNIA
AL,1985,1985-11-11,29.850481076390928,DAPHNIA
AL,1986,1986-03-03,188.10196483802093,DAPHNIA
AL,1986,1986-04-24,10.255257012550643,DAPHNIA
AL,1986,1986-07-02,47.254787916020334,DAPHNIA
AL,1986,1986-08-13,186.76657857518032,DAPHNIA
AL,1986,1986-11-03,29.452474662039048,DAPHNIA
AL,1987,1987-02-24,55.72089800926307,DAPHNIA
AL,1987,1987-04-15,5.572089800926306,DAPHNIA
AL,1987,1987-06-11,79.6012828703758,DAPHNIA
AL,1987,1987-08-13,347.91284099774134,DAPHNIA
AL,1987,1987-11-05,145.66103444027615,DAPHNIA
AL,1988,1988-03-02,102.60143345269353,DAPHNIA
AL,1988,1988-04-26,3.582057729166911,DAPHNIA
AL,1988,1988-06-20,214.67042115869663,DAPHNIA
AL,1988,1988-08-18,139.49183649186423,DAPHNIA
AL,1988,1988-11-02,317.4408867807934,DAPHNIA
AL,1989,1989-03-06,39.09371076566001,DAPHNIA
AL,1989,1989-05-01,1.9900320717593951,DAPHNIA
AL,1989,1989-08-22,5.764125474870423,DAPHNIA
AL,1989,1989-11-09,182.14636500590538,DAPHNIA
AL,1990,1990-02-27,213.53971982277378,DAPHNIA
AL,1990,1990-04-30,200.03528826130326,DAPHNIA
AL,1990,1990-06-13,53.7021040949175,DAPHNIA
AL,1990,1990-08-22,36.89040303917071,DAPHNIA
AL,1990,1990-11-09,230.5650189948169,DAPHNIA
AL,1991,1991-02-19,112.2291066860277,DAPHNIA
AL,1991,1991-05-07,30.646493905094687,DAPHNIA
AL,1991,1991-06-18,20.510514025101287,DAPHNIA
AL,1992,1992-08-26,47.647323811251496,DAPHNIA
AL,1992,1992-11-06,297.4288745033138,DAPHNIA
AL,1993,1993-02-23,32.60889469905933,DAPHNIA
AL,1993,1993-05-03,5.764125474870423,DAPHNIA
