Lake,Sample Date,Depth (m),rep,corrected chloro a,uncor. chloro a
FI,01/27/2000,0-2,1,6.192935,6.695652
FI,01/27/2000,0-2,2,6.666149,7.244565
FI,03/16/2000,0-2,1,3.983475,4.947761
FI,03/16/2000,0-2,2,3.442805,4.260870
FI,03/30/2000,0-2,1,6.512712,7.567797
FI,03/30/2000,0-2,2,5.972291,7.068966
FI,04/12/2000,0-2,1,4.245011,5.235294
FI,04/12/2000,0-2,2,4.299490,5.264286
FI,04/26/2000,0-2,1,2.427795,2.884058
FI,04/26/2000,0-2,2,2.759306,3.309859
FI,05/10/2000,0-2,1,1.659171,1.938272
FI,05/10/2000,0-2,2,1.677215,1.962025
FI,05/24/2000,0-2,1,2.377613,2.890244
FI,05/24/2000,0-2,2,3.075893,4.343750
FI,06/05/2000,0,1,4.125837,4.875000
FI,06/05/2000,2,1,4.440934,5.230769
FI,06/05/2000,4,1,4.127480,4.902778
FI,06/05/2000,6,1,4.258929,5.129032
FI,06/05/2000,7,1,3.410406,4.112069
FI,06/05/2000,8,1,2.741379,3.353448
FI,06/05/2000,9,1,2.137623,2.612069
FI,06/05/2000,10,1,2.463719,3.134921
FI,06/05/2000,12,1,1.577381,2.094203
FI,06/05/2000,0-2,1,4.389234,5.108696
FI,06/05/2000,0-2,2,4.860039,5.567568
FI,06/21/2000,0-2,1,4.318080,5.010417
FI,06/21/2000,0-2,2,4.689123,5.477273
FI,07/04/2000,0,1,3.742695,4.125000
FI,07/04/2000,2,1,3.871753,4.340909
FI,07/04/2000,4,1,5.157070,6.061224
FI,07/04/2000,6,1,6.309524,7.377778
FI,07/04/2000,7,1,3.882289,4.683673
FI,07/04/2000,8,1,2.356414,2.877551
FI,07/04/2000,9,1,2.598039,3.019608
FI,07/04/2000,10,1,2.208333,2.574074
FI,07/04/2000,12,1,2.839286,3.400000
FI,07/04/2000,0-2,1,4.033588,4.392857
FI,07/04/2000,0-2,2,4.125458,4.602564
FI,07/18/2000,0-2,1,3.866261,4.308511
FI,07/18/2000,0-2,2,4.135481,4.543478
FI,08/02/2000,0,1,5.280075,5.934211
FI,08/02/2000,2,1,5.654304,6.384615
FI,08/02/2000,4,1,7.661565,8.976190
FI,08/02/2000,5,1,9.071864,10.646341
FI,08/02/2000,6,1,8.575802,10.275510
FI,08/02/2000,7,1,4.090496,5.177966
FI,08/02/2000,8,1,3.871753,4.929293
FI,08/02/2000,9,1,3.331815,4.265306
FI,08/02/2000,10,1,2.761230,3.438144
FI,08/02/2000,12,1,2.224107,3.085000
FI,08/02/2000,0-2,1,5.441964,6.112500
FI,08/02/2000,0-2,2,5.025085,5.666667
FI,08/14/2000,0-2,1,4.022321,4.387500
FI,08/14/2000,0-2,2,4.358553,4.815789
FI,08/29/2000,0,1,2.875687,3.134615
FI,08/29/2000,2,1,4.258929,4.930000
FI,08/29/2000,4,1,4.786745,5.596154
FI,08/29/2000,6,1,12.693973,13.731250
FI,08/29/2000,8,1,2.445721,3.212871
FI,08/29/2000,10,1,1.395982,2.025000
FI,08/29/2000,12,1,1.074758,1.983051
FI,08/29/2000,0-2,1,3.956071,4.540000
FI,08/29/2000,0-2,2,4.249650,4.911765
FI,09/26/2000,0,1,6.825758,7.666667
FI,09/26/2000,2,1,5.578193,6.500000
FI,09/26/2000,4,1,4.672242,5.341772
FI,09/26/2000,6,1,4.947240,5.693182
FI,09/26/2000,8,1,4.957114,5.774590
FI,09/26/2000,10,1,4.252264,4.964789
FI,09/26/2000,12,1,1.904837,2.670886
FI,09/26/2000,0-2,1,6.227226,7.050725
FI,09/26/2000,0-2,2,5.785211,6.542254
FI,10/23/2000,0-2,1,3.187970,3.678947
FI,10/23/2000,0-2,2,2.950038,3.425532
FI,11/28/2000,0-2,1,2.550740,3.353659
FI,11/28/2000,0-2,2,2.172484,2.886364
KE,01/31/2000,0-2,1,2.439683,3.150000
KE,01/31/2000,0-2,2,2.641680,3.214286
KE,04/11/2000,0-2,1,97.482143,111.125000
KE,04/27/2000,0-2,1,1.072619,1.258333
KE,05/11/2000,0-2,1,2.759306,3.964789
KE,05/23/2000,0-2,1,3.560374,4.333333
KE,06/07/2000,0-2,1,5.831221,6.612903
KE,06/23/2000,0-2,1,59.940476,61.333333
KE,07/05/2000,0-2,1,17.632376,19.586957
KE,07/19/2000,0-2,1,30.743664,33.629032
KE,08/02/2000,0-2,1,44.766071,49.775000
KE,08/15/2000,0-2,1,34.222857,37.900000
KE,08/30/2000,0-2,1,33.985390,39.590909
KE,09/27/2000,0-2,1,27.493750,32.150000
KE,09/27/2000,0-2,2,35.964286,41.761905
