"lakeid","metric","sampledate","year","daynum"
"AL","doc",1986-08-13,1986,225
"AL","doc",1987-08-13,1987,225
"AL","doc",1988-08-18,1988,231
"AL","doc",1989-08-22,1989,234
"AL","doc",1990-08-22,1990,234
"AL","doc",1991-07-03,1991,184
"AL","doc",1992-09-21,1992,265
"AL","doc",1993-06-30,1993,181
"AL","doc",1994-09-21,1994,264
"AL","doc",1995-09-18,1995,261
"AL","doc",1996-08-08,1996,221
"AL","doc",1997-07-31,1997,212
"AL","doc",1998-06-17,1998,168
"AL","doc",1999-08-26,1999,238
"AL","doc",2000-10-16,2000,290
"AL","doc",2001-11-14,2001,318
"AL","doc",2002-08-14,2002,226
"AL","doc",2003-08-18,2003,230
"AL","doc",2004-07-22,2004,204
"AL","doc",2005-08-08,2005,220
"AL","doc",2006-07-11,2006,192
"AL","doc",2007-10-08,2007,281
"AL","doc",2008-05-08,2008,129
"AL","doc",2009-07-21,2009,202
"AL","doc",2010-08-31,2010,243
"AL","doc",2011-08-22,2011,234
"AL","doc",2012-05-29,2012,150
"AL","doc",2013-09-03,2013,246
"AL","doc",2014-07-14,2014,195
"AL","doc",2015-09-08,2015,251
"AL","doc",2016-06-20,2016,172
"AL","doc",2017-07-12,2017,193
"AL","doc",2018-08-08,2018,220
"BM","doc",1985-08-21,1985,233
"BM","doc",1986-08-12,1986,224
"BM","doc",1987-08-11,1987,223
"BM","doc",1988-09-12,1988,256
"BM","doc",1989-07-25,1989,206
"BM","doc",1990-09-20,1990,263
"BM","doc",1991-08-27,1991,239
"BM","doc",1992-07-08,1992,190
"BM","doc",1993-06-02,1993,153
"BM","doc",1994-06-29,1994,180
"BM","doc",1995-09-20,1995,263
"BM","doc",1996-09-03,1996,247
"BM","doc",1997-06-30,1997,181
"BM","doc",1998-09-08,1998,251
"BM","doc",1999-06-28,1999,179
"BM","doc",2000-09-20,2000,264
"BM","doc",2001-09-17,2001,260
"BM","doc",2002-08-12,2002,224
"BM","doc",2003-08-19,2003,231
"BM","doc",2004-06-22,2004,174
"BM","doc",2005-06-14,2005,165
"BM","doc",2006-07-10,2006,191
"BM","doc",2007-10-08,2007,281
"BM","doc",2008-07-30,2008,212
"BM","doc",2009-06-23,2009,174
"BM","doc",2010-06-07,2010,158
"BM","doc",2011-07-01,2011,182
"BM","doc",2012-09-17,2012,261
"BM","doc",2013-08-07,2013,219
"BM","doc",2014-08-11,2014,223
"BM","doc",2015-09-09,2015,252
"BM","doc",2016-07-20,2016,202
"BM","doc",2017-06-13,2017,164
"BM","doc",2018-07-09,2018,190
"CB","doc",1986-04-23,1986,113
"CB","doc",1987-06-23,1987,174
"CB","doc",1988-07-18,1988,200
"CB","doc",1989-06-26,1989,177
"CB","doc",1990-05-30,1990,150
"CB","doc",1991-07-31,1991,212
"CB","doc",1992-07-08,1992,190
"CB","doc",1993-07-01,1993,182
"CB","doc",1994-06-29,1994,180
"CB","doc",1995-07-24,1995,205
"CB","doc",1996-07-08,1996,190
"CB","doc",1997-07-29,1997,210
"CB","doc",1998-06-16,1998,167
"CB","doc",1999-06-02,1999,153
"CB","doc",2000-07-27,2000,209
"CB","doc",2001-08-22,2001,234
"CB","doc",2002-05-21,2002,141
"CB","doc",2003-05-01,2003,121
"CB","doc",2004-04-28,2004,119
"CB","doc",2005-06-15,2005,166
"CB","doc",2006-05-17,2006,137
"CB","doc",2007-07-18,2007,199
"CB","doc",2008-05-06,2008,127
"CB","doc",2009-07-22,2009,203
"CB","doc",2010-10-25,2010,298
"CB","doc",2011-06-02,2011,153
"CB","doc",2012-06-27,2012,179
"CB","doc",2013-06-11,2013,162
"CB","doc",2014-08-13,2014,225
"CB","doc",2015-05-20,2015,140
"CB","doc",2016-06-21,2016,173
"CB","doc",2017-07-11,2017,192
"CB","doc",2018-10-03,2018,276
"CR","doc",1985-08-22,1985,234
"CR","doc",1986-05-22,1986,142
"CR","doc",1987-08-12,1987,224
"CR","doc",1988-11-08,1988,313
"CR","doc",1989-08-24,1989,236
"CR","doc",1990-09-19,1990,262
"CR","doc",1991-08-29,1991,241
"CR","doc",1992-07-06,1992,188
"CR","doc",1993-08-24,1993,236
"CR","doc",1994-09-22,1994,265
"CR","doc",1995-08-23,1995,235
"CR","doc",1996-08-07,1996,220
"CR","doc",1997-08-25,1997,237
"CR","doc",1998-04-22,1998,112
"CR","doc",1999-07-29,1999,210
"CR","doc",2000-09-21,2000,265
"CR","doc",2001-06-28,2001,179
"CR","doc",2002-06-20,2002,171
"CR","doc",2003-08-21,2003,233
"CR","doc",2004-10-13,2004,287
"CR","doc",2005-06-15,2005,166
"CR","doc",2006-08-10,2006,222
"CR","doc",2007-09-13,2007,256
"CR","doc",2008-07-30,2008,212
"CR","doc",2009-10-15,2009,288
"CR","doc",2010-04-15,2010,105
"CR","doc",2011-08-24,2011,236
"CR","doc",2012-07-11,2012,193
"CR","doc",2013-06-11,2013,162
"CR","doc",2014-07-17,2014,198
"CR","doc",2015-09-10,2015,253
"CR","doc",2016-07-19,2016,201
"CR","doc",2017-07-12,2017,193
"CR","doc",2018-07-10,2018,191
"FI","doc",1996-07-10,1996,192
"FI","doc",1997-07-08,1997,189
"FI","doc",1998-10-26,1998,299
"FI","doc",1999-09-28,1999,271
"FI","doc",2000-05-10,2000,131
"FI","doc",2001-09-25,2001,268
"FI","doc",2002-09-25,2002,268
"FI","doc",2003-08-06,2003,218
"FI","doc",2004-05-12,2004,133
"FI","doc",2005-08-05,2005,217
"FI","doc",2006-08-10,2006,222
"FI","doc",2007-07-10,2007,191
"FI","doc",2008-07-10,2008,192
"FI","doc",2009-08-06,2009,218
"FI","doc",2010-04-16,2010,106
"FI","doc",2011-06-16,2011,167
"FI","doc",2012-09-06,2012,250
"FI","doc",2013-05-20,2013,140
"FI","doc",2014-06-11,2014,162
"FI","doc",2015-10-08,2015,281
"FI","doc",2016-09-01,2016,245
"FI","doc",2017-08-11,2017,223
"FI","doc",2018-09-07,2018,250
"ME","doc",1996-07-08,1996,190
"ME","doc",1997-07-09,1997,190
"ME","doc",1998-07-06,1998,187
"ME","doc",1999-07-06,1999,187
"ME","doc",2000-05-09,2000,130
"ME","doc",2001-05-07,2001,127
"ME","doc",2002-09-23,2002,266
"ME","doc",2003-08-04,2003,216
"ME","doc",2004-05-10,2004,131
"ME","doc",2005-08-01,2005,213
"ME","doc",2006-07-10,2006,191
"ME","doc",2007-10-01,2007,274
"ME","doc",2008-08-04,2008,217
"ME","doc",2009-09-30,2009,273
"ME","doc",2010-06-07,2010,158
"ME","doc",2011-06-13,2011,164
"ME","doc",2012-09-04,2012,248
"ME","doc",2013-05-14,2013,134
"ME","doc",2014-06-09,2014,160
"ME","doc",2015-08-03,2015,215
"ME","doc",2016-06-07,2016,159
"ME","doc",2017-12-19,2017,353
"ME","doc",2018-06-11,2018,162
"MO","doc",1996-07-09,1996,191
"MO","doc",1997-06-11,1997,162
"MO","doc",1998-08-02,1998,214
"MO","doc",1999-06-08,1999,159
"MO","doc",2000-05-09,2000,130
"MO","doc",2001-07-30,2001,211
"MO","doc",2002-09-24,2002,267
"MO","doc",2003-08-05,2003,217
"MO","doc",2004-07-07,2004,189
"MO","doc",2005-08-03,2005,215
"MO","doc",2006-07-12,2006,193
"MO","doc",2007-07-09,2007,190
"MO","doc",2008-09-29,2008,273
"MO","doc",2009-09-30,2009,273
"MO","doc",2010-04-12,2010,102
"MO","doc",2011-06-14,2011,165
"MO","doc",2012-06-12,2012,164
"MO","doc",2013-05-08,2013,128
"MO","doc",2014-06-10,2014,161
"MO","doc",2015-10-07,2015,280
"MO","doc",2016-05-11,2016,132
"MO","doc",2017-09-12,2017,255
"MO","doc",2018-06-12,2018,163
"SP","doc",1985-08-19,1985,231
"SP","doc",1986-08-11,1986,223
"SP","doc",1987-08-11,1987,223
"SP","doc",1988-08-16,1988,229
"SP","doc",1989-08-21,1989,233
"SP","doc",1990-09-19,1990,262
"SP","doc",1991-08-28,1991,240
"SP","doc",1992-08-24,1992,237
"SP","doc",1993-07-27,1993,208
"SP","doc",1994-07-27,1994,208
"SP","doc",1995-07-24,1995,205
"SP","doc",1996-09-05,1996,249
"SP","doc",1997-07-29,1997,210
"SP","doc",1998-09-09,1998,252
"SP","doc",1999-08-23,1999,235
"SP","doc",2000-10-17,2000,291
"SP","doc",2001-07-24,2001,205
"SP","doc",2002-08-14,2002,226
"SP","doc",2003-08-20,2003,232
"SP","doc",2004-07-21,2004,203
"SP","doc",2005-06-13,2005,164
"SP","doc",2006-08-09,2006,221
"SP","doc",2007-07-16,2007,197
"SP","doc",2008-08-25,2008,238
"SP","doc",2009-07-22,2009,203
"SP","doc",2010-09-28,2010,271
"SP","doc",2011-06-03,2011,154
"SP","doc",2012-07-25,2012,207
"SP","doc",2013-08-05,2013,217
"SP","doc",2014-06-17,2014,168
"SP","doc",2015-09-08,2015,251
"SP","doc",2016-10-12,2016,286
"SP","doc",2017-08-09,2017,221
"SP","doc",2018-07-11,2018,192
"TB","doc",1985-08-21,1985,233
"TB","doc",1986-04-21,1986,111
"TB","doc",1987-10-06,1987,279
"TB","doc",1988-05-24,1988,145
"TB","doc",1989-10-16,1989,289
"TB","doc",1990-09-17,1990,260
"TB","doc",1991-09-24,1991,267
"TB","doc",1992-10-21,1992,295
"TB","doc",1993-10-19,1993,292
"TB","doc",1994-10-18,1994,291
"TB","doc",1995-11-09,1995,313
"TB","doc",1996-10-03,1996,277
"TB","doc",1997-09-24,1997,267
"TB","doc",1998-10-06,1998,279
"TB","doc",1999-09-20,1999,263
"TB","doc",2000-07-25,2000,207
"TB","doc",2001-11-16,2001,320
"TB","doc",2002-10-07,2002,280
"TB","doc",2003-10-14,2003,287
"TB","doc",2004-10-12,2004,286
"TB","doc",2005-06-16,2005,167
"TB","doc",2006-07-11,2006,192
"TB","doc",2007-09-13,2007,256
"TB","doc",2008-05-08,2008,129
"TB","doc",2009-04-28,2009,118
"TB","doc",2010-09-28,2010,271
"TB","doc",2011-09-20,2011,263
"TB","doc",2012-10-16,2012,290
"TB","doc",2013-10-29,2013,302
"TB","doc",2014-10-06,2014,279
"TB","doc",2015-11-17,2015,321
"TB","doc",2016-11-16,2016,321
"TB","doc",2017-10-02,2017,275
"TB","doc",2018-10-01,2018,274
"TR","doc",1985-08-20,1985,232
"TR","doc",1986-08-12,1986,224
"TR","doc",1987-08-10,1987,222
"TR","doc",1988-08-15,1988,228
"TR","doc",1989-08-23,1989,235
"TR","doc",1990-09-18,1990,261
"TR","doc",1991-08-28,1991,240
"TR","doc",1992-08-24,1992,237
"TR","doc",1993-06-01,1993,152
"TR","doc",1994-07-26,1994,207
"TR","doc",1995-08-24,1995,236
"TR","doc",1996-08-05,1996,218
"TR","doc",1997-07-30,1997,211
"TR","doc",1998-09-11,1998,254
"TR","doc",1999-10-18,1999,291
"TR","doc",2000-08-22,2000,235
"TR","doc",2001-06-27,2001,178
"TR","doc",2002-08-13,2002,225
"TR","doc",2003-08-19,2003,231
"TR","doc",2004-07-20,2004,202
"TR","doc",2005-07-13,2005,194
"TR","doc",2006-07-10,2006,191
"TR","doc",2007-07-17,2007,198
"TR","doc",2008-08-27,2008,240
"TR","doc",2009-07-20,2009,201
"TR","doc",2010-07-07,2010,188
"TR","doc",2011-06-02,2011,153
"TR","doc",2012-07-24,2012,206
"TR","doc",2013-09-05,2013,248
"TR","doc",2014-07-16,2014,197
"TR","doc",2015-09-11,2015,254
"TR","doc",2016-07-22,2016,204
"TR","doc",2017-08-10,2017,222
"TR","doc",2018-07-12,2018,193
"WI","doc",1996-06-11,1996,163
"WI","doc",1997-07-08,1997,189
"WI","doc",1998-06-10,1998,161
"WI","doc",1999-06-08,1999,159
"WI","doc",2000-08-29,2000,242
"WI","doc",2001-08-28,2001,240
"WI","doc",2002-07-18,2002,199
"WI","doc",2005-06-08,2005,159
"WI","doc",2006-07-12,2006,193
"WI","doc",2007-09-05,2007,248
"WI","doc",2008-07-09,2008,191
"WI","doc",2009-11-04,2009,308
"WI","doc",2010-07-07,2010,188
"WI","doc",2012-08-08,2012,221
"WI","doc",2013-05-15,2013,135
"WI","doc",2014-09-08,2014,251
"WI","doc",2015-09-08,2015,251
"WI","doc",2016-08-03,2016,216
"WI","doc",2017-08-09,2017,221
"WI","doc",2018-06-14,2018,165
