id,decade,year,variable,value
AL,1980,1981,straton,142
AL,1980,1982,straton,131
AL,1983,1983,straton,130
AL,1983,1984,straton,144
AL,1983,1985,straton,120
AL,1986,1986,straton,128
AL,1986,1987,straton,124
AL,1986,1988,straton,130
AL,1989,1989,straton,136
AL,1989,1990,straton,120
AL,1989,1991,straton,141
AL,1992,1992,straton,139
AL,1992,1993,straton,137
AL,1992,1994,straton,140
AL,1995,1995,straton,150
AL,1995,1996,straton,151
AL,1995,1997,straton,133
AL,1998,1998,straton,112
AL,1998,1999,straton,126
AL,1998,2000,straton,125
AL,2001,2001,straton,121
AL,2001,2002,straton,154
AL,2001,2003,straton,120
AL,2004,2004,straton,131
AL,2004,2005,straton,109
AL,2004,2006,straton,110
AL,2007,2007,straton,113
AL,2007,2008,straton,129
AL,2007,2009,straton,132
AL,2010,2010,straton,117
AL,2010,2011,straton,137
AL,2010,2012,straton,135
AL,2013,2013,straton,134
AL,2013,2014,straton,140
AL,2013,2015,straton,125
AL,2016,2016,straton,116
AL,2016,2017,straton,136
AL,2016,2018,straton,134
AL,2019,2019,straton,127
AL,2019,2020,straton,155
BM,1980,1981,straton,155
BM,1980,1982,straton,145
BM,1983,1983,straton,146
BM,1983,1984,straton,128
BM,1983,1985,straton,134
BM,1986,1986,straton,128
BM,1986,1987,straton,126
BM,1986,1988,straton,132
BM,1989,1989,straton,135
BM,1989,1990,straton,121
BM,1989,1991,straton,140
BM,1992,1992,straton,141
BM,1992,1993,straton,138
BM,1992,1994,straton,136
BM,1995,1995,straton,136
BM,1995,1996,straton,149
BM,1995,1997,straton,153
BM,1998,1998,straton,113
BM,1998,1999,straton,123
BM,1998,2000,straton,123
BM,2001,2001,straton,124
BM,2001,2002,straton,140
BM,2001,2003,straton,135
BM,2004,2004,straton,132
BM,2004,2005,straton,136
BM,2004,2006,straton,114
BM,2007,2007,straton,127
BM,2007,2008,straton,130
BM,2007,2009,straton,132
BM,2010,2010,straton,123
BM,2010,2011,straton,137
BM,2010,2012,straton,121
BM,2013,2013,straton,148
BM,2013,2014,straton,140
BM,2013,2015,straton,126
BM,2016,2016,straton,130
BM,2016,2017,straton,136
BM,2016,2018,straton,136
BM,2019,2019,straton,128
BM,2019,2020,straton,154
CB,1980,1981,straton,211
CB,1980,1982,straton,133
CB,1983,1983,straton,132
CB,1983,1984,straton,131
CB,1983,1985,straton,122
CB,1986,1986,straton,113
CB,1986,1987,straton,103
CB,1986,1988,straton,132
CB,1989,1989,straton,124
CB,1989,1990,straton,122
CB,1989,1991,straton,141
CB,1992,1992,straton,125
CB,1992,1993,straton,124
CB,1992,1994,straton,122
CB,1995,1995,straton,122
CB,1995,1996,straton,129
CB,1995,1997,straton,127
CB,1998,1998,straton,110
CB,1998,1999,straton,124
CB,1998,2000,straton,122
CB,2001,2001,straton,123
CB,2001,2002,straton,128
CB,2001,2003,straton,121
CB,2004,2004,straton,119
CB,2004,2005,straton,108
CB,2004,2006,straton,108
CB,2007,2007,straton,113
CB,2007,2008,straton,127
CB,2007,2009,straton,117
CB,2010,2010,straton,104
CB,2010,2011,straton,139
CB,2010,2012,straton,95
CB,2013,2013,straton,133
CB,2013,2014,straton,141
CB,2013,2015,straton,110
CB,2016,2016,straton,113
CB,2016,2017,straton,108
CB,2016,2018,straton,134
CB,2019,2019,straton,126
CB,2019,2020,straton,121
CR,1980,1981,straton,126
CR,1980,1982,straton,130
CR,1983,1983,straton,132
CR,1983,1984,straton,144
CR,1983,1985,straton,121
CR,1986,1986,straton,125
CR,1986,1987,straton,111
CR,1986,1988,straton,133
CR,1989,1989,straton,137
CR,1989,1990,straton,123
CR,1989,1991,straton,142
CR,1992,1992,straton,127
CR,1992,1993,straton,139
CR,1992,1994,straton,138
CR,1995,1995,straton,123
CR,1995,1996,straton,151
CR,1995,1997,straton,127
CR,1998,1998,straton,112
CR,1998,1999,straton,125
CR,1998,2000,straton,124
CR,2001,2001,straton,123
CR,2001,2002,straton,143
CR,2001,2003,straton,122
CR,2004,2004,straton,134
CR,2004,2005,straton,109
CR,2004,2006,straton,109
CR,2007,2007,straton,114
CR,2007,2008,straton,127
CR,2007,2009,straton,135
CR,2010,2010,straton,105
CR,2010,2011,straton,138
CR,2010,2012,straton,125
CR,2013,2013,straton,151
CR,2013,2014,straton,142
CR,2013,2015,straton,110
CR,2016,2016,straton,132
CR,2016,2017,straton,123
CR,2016,2018,straton,135
CR,2019,2019,straton,127
CR,2019,2020,straton,153
FI,1995,1996,straton,123
FI,1995,1997,straton,120
FI,1998,1998,straton,97
FI,1998,1999,straton,117
FI,1998,2000,straton,117
FI,2001,2001,straton,114
FI,2001,2002,straton,115
FI,2001,2003,straton,119
FI,2004,2004,straton,107
FI,2004,2005,straton,103
FI,2004,2006,straton,111
FI,2007,2007,straton,110
FI,2007,2008,straton,123
FI,2007,2009,straton,112
FI,2010,2010,straton,91
FI,2010,2011,straton,125
FI,2010,2012,straton,110
FI,2013,2013,straton,128
FI,2013,2014,straton,133
FI,2013,2015,straton,105
FI,2016,2016,straton,120
FI,2016,2017,straton,110
FI,2016,2018,straton,115
FI,2019,2019,straton,123
FI,2019,2020,straton,280
