"larger_group","species","length","mass_formula","legnth_reference","mass_formula_reference","notes","eqn","c1","c2","c3"
"COPEPODA","Copepod Nauplii",0.16,"=3.0093*(C2^1.7064)","LR","Culver et.al. for Calanoid Nauplii",,"pow",,,
"COPEPODA","Cyclopoid",0.4,"=10.968*(C3^1.634)","assigned","LRL for All Cyclopoids",,"pow",,,
"COPEPODA","Acanthocyclops vernalis",0.7,"=7.0729*(C4^2.5563)","assigned - Balcer","Culver et.al. for C. vernalis females",,"pow",,,
"COPEPODA","Diacyclops",0.63,"=14.571*(C5^2.557)","LR for D.b.t.","LRL for Diacyclops thomasi",,"pow",,,
"COPEPODA","Diacyclops thomasi",0.63,"=14.571*(C6^2.557)","LR","LRL for Diacyclops thomasi",,"pow",,,
"COPEPODA","Eucyclops agilis",0.5,"=10.968*(C7^1.634)","assigned - Balcer","LRL for All Cyclopoids",,"pow",,,
"COPEPODA","Eucyclops speratus",0.6,"=10.968*(C8^1.634)","assigned - Balcer","LRL for All Cyclopoids",,"pow",,,
"COPEPODA","Mesocyclops",0.62,"=11.728*(C9^1.625)","LR","LRL for M. edax",,"pow",,,
"COPEPODA","Mesocyclops edax",0.62,"=11.728*(C10^1.625)","LR","LRL for M. edax",,"pow",,,
"COPEPODA","Orthocyclops modestus",0.6,"=10.968*(C11^1.634)","assigned","LRL for All Cyclopoids",,"pow",,,
"COPEPODA","Paracyclops fimbriatus poppei",0.5,"=10.968*(C12^1.634)","assigned - Balcer","LRL for All Cyclopoids",,"pow",,,
"COPEPODA","Tropocyclops prasinus mexicanus",0.39,"=10.968*(C13^1.634)","LR","LRL for All Cyclopoids",,"pow",,,
"COPEPODA","Calanoid",0.46,"=10.308*(C14^1.761)","TR","LRL for L. minutus",,"pow",,,
"COPEPODA","Epischura lacustris",0.78,"=EXP(1.467+2.4741*LN(C15))","LR","Lawrence et. al.",,"exp",,,
"COPEPODA","Ergasilus",,,,,,"NA",,,
"COPEPODA","Leptodiaptomus",0.77,"=10.308*(C17^1.761)","LR for L.m.","LRL for L. minutus",,"pow",,,
"COPEPODA","Leptodiaptomus minutus",0.77,"=10.308*(C18^1.761)","LR","LRL for L. minutus",,"pow",,,
"COPEPODA","Leptodiaptomus sicilis",0.9,"=10.308*(C19^1.761)","assigned - Balcer","LRL for L. minutus",,"pow",,,
"COPEPODA","Skistodiaptomus",0.72,"=6.1927*(C20^1.9604)","SP for S.o.","Culver et. al. for D. oregonensis CV-VI female",,"pow",,,
"COPEPODA","Skistodiaptomus oregonensis",0.72,"=6.1927*(C21^1.9604)","SP","Culver et. al. for D. oregonensis CV-VI female",,"pow",,,
"COPEPODA","Skistodiaptomus pallidus",0.72,"=6.1927*(C22^1.9604)","SP for S.o.","Culver et. al. for D. oregonensis CV-VI female",,"pow",,,
"COPEPODA","Harpacticoid",,,,,,"NA",,,
"CLADOCERA","Unknown Cladoceran",,,,,,"NA",,,
"CLADOCERA","Alona",0.4,"=15.92*(C25^3.84)","Balcer for various Alona","Dumont et. al. for A. affinis",,"pow",,,
"CLADOCERA","Alona karau",0.4,"=15.92*(C26^3.84)","Balcer for various Alona","Dumont et. al. for A. affinis",,"pow",,,
"CLADOCERA","Bosmina",0.46,"=17.7369*(C27^2.2291)","Balcer for B.l.","Culver et. al. for Bosmina longirostris",,"pow",,,
