"species_name","eqn","larger_group","c1","c2","c3"
"ACANTHOCYCLOPS","pow","COPEPODA",7.0729,2.5563,"NA"
"ACANTHOCYCLOPS VERNALIS","pow","COPEPODA",7.0729,2.5563,"NA"
"ACROPERUS HARPAE","pow","CLADOCERA",14.0793,1.9796,"NA"
"AGLAODIAPTOMUS CLAVIPES","pow","COPEPODA",10.308,1.761,"NA"
"ALONA","pow","CLADOCERA",15.92,3.84,"NA"
"ALONA KARAU","pow","CLADOCERA",15.92,3.84,"NA"
"ALONA KARUA","pow","CLADOCERA",15.92,3.84,"NA"
"ANURAEOPSIS","pow","ROTIFERA",3,3,"NA"
"ANURAEOPSIS FISSA","pow","ROTIFERA",3,3,"NA"
"ASCOMORPHA","pow","ROTIFERA",12,3,"NA"
"ASCOMORPHA ECAUDIS","pow","ROTIFERA",12,3,"NA"
"ASCOMORPHA OVALIS","pow","ROTIFERA",12,3,"NA"
"ASCOMORPHA SALTANS","pow","ROTIFERA",12,3,"NA"
"ASCOMORPHA SPP.","pow","ROTIFERA",12,3,"NA"
"ASPLANCHNA","pow","ROTIFERA",8.97,3,"NA"
"ASPLANCHNA SPP.","pow","ROTIFERA",8.97,3,"NA"
"BOSMINA","pow","CLADOCERA",17.7369,2.2291,"NA"
"BOSMINA AND EUBOSMINA","pow","CLADOCERA",17.7369,2.2291,"NA"
"BOSMINA LONGIROSTRIS","pow","CLADOCERA",17.7369,2.2291,"NA"
"BOSMINIDAE","pow","CLADOCERA",17.7369,2.2291,"NA"
"BRACHIONUS","pow","ROTIFERA",12,3,"NA"
"BRACHIONUS ANGULARIS","pow","ROTIFERA",12,3,"NA"
"BRACHIONUS QUADRIDENTATUS","pow","ROTIFERA",12,3,"NA"
"BRACHIONUS URCEOLARIS","pow","ROTIFERA",12,3,"NA"
"BYTHOTREPHES LONGIMANUS ","NA","NA","NA","NA","NA"
"CALANOID","pow","COPEPODA",10.308,1.761,"NA"
"CAMPTOCERCUS RECTIROSTRIS","pow","CLADOCERA",14.0793,1.9796,"NA"
"CEPHALODELLA","pow","ROTIFERA",12,3,"NA"
"CERIODAPHNIA","pow","CLADOCERA",4.0216,1.9763,"NA"
"CERIODAPHNIA DUBIA","pow","CLADOCERA",4.0216,1.9763,"NA"
"CERIODAPHNIA LACUSTRIS","pow","CLADOCERA",4.0216,1.9763,"NA"
"CHAOBORUS","NA","NA","NA","NA","NA"
"CHYDORID","pow","CLADOCERA",14.0793,1.9796,"NA"
"CHYDORUS","pow","CLADOCERA",14.0793,1.9796,"NA"
"CLADOCERAN","pow","CLADOCERA",9.631,1.719,"NA"
"COLLOTHECA","pow","ROTIFERA",180,3,"NA"
"COLLOTHECA EMPTY CASE","NA","ROTIFERA","NA","NA","NA"
"COLLOTHECA MUTABILIS","pow","ROTIFERA",180,3,"NA"
"COLLOTHECA MUTABILIS*","pow","ROTIFERA",180,3,"NA"
"COLLOTHECA W/O CASE","pow","ROTIFERA",180,3,"NA"
"COLLURELLA","pow","ROTIFERA",12,3,"NA"
"COLURELLA","pow","ROTIFERA",12,3,"NA"
"CONOCHILOIDES","pow","ROTIFERA",86,3,"NA"
"CONOCHILOIDES SP.*","pow","ROTIFERA",86,3,"NA"
"CONOCHILUS","pow","ROTIFERA",120,3,"NA"
"CONOCHILUS HIPPOCREPIS","pow","ROTIFERA",120,3,"NA"
"CONOCHILUS SPP.*","pow","ROTIFERA",120,3,"NA"
"CONOCHILUS UNICORNIS","pow","ROTIFERA",120,3,"NA"
"COPEPOD NAUPLII","pow","COPEPODA",3.0093,1.7064,"NA"
"COPEPODITES","pow","COPEPODA",10.968,1.634,"NA"
"CYCLOPOID","pow","COPEPODA",10.968,1.634,"NA"
"DAPHNIA","pow","CLADOCERA",9.631,1.719,"NA"
"DAPHNIA AMBIGUA","pow","CLADOCERA",9.631,1.719,"NA"
"DAPHNIA CATAWBA","pow","CLADOCERA",9.631,1.719,"NA"
"DAPHNIA DENTIFERA","pow","CLADOCERA",9.631,1.719,"NA"
"DAPHNIA DUBIA","pow","CLADOCERA",10.9317,1.5302,"NA"
"DAPHNIA GALEATA MENDOTAE","pow","CLADOCERA",10.9317,1.5302,"NA"
"DAPHNIA LONGIREMIS","pow","CLADOCERA",10.9317,1.5302,"NA"
"DAPHNIA MENDOTAE","pow","CLADOCERA",10.9317,1.5302,"NA"
"DAPHNIA PARVULA","pow","CLADOCERA",10.9317,1.5302,"NA"
"DAPHNIA PULEX","pow","CLADOCERA",9.631,1.719,"NA"
"DAPHNIA PULICARIA","pow","CLADOCERA",9.631,1.719,"NA"
"DAPHNIA RETROCURVA","pow","CLADOCERA",7.5484,2.7552,"NA"
"DAPHNIA ROSEA","pow","CLADOCERA",9.631,1.719,"NA"
"DAPHNIA SCHODLERI","pow","CLADOCERA",9.631,1.719,"NA"
"DIACYCLOPS","pow","COPEPODA",14.571,2.557,"NA"
"DIACYCLOPS THOMASI","pow","COPEPODA",14.571,2.557,"NA"
"DIAPHANOSOMA","pow","CLADOCERA",5.0713,1.0456,"NA"
"DIAPHANOSOMA BIRGEI","pow","CLADOCERA",5.0713,1.0456,"NA"
"DIAPTOMID","pow","COPEPODA",10.308,1.761,"NA"
"ENCENTRUM","complex","ROTIFERA",52,0.25,"NA"
"EPISCHURA LACUSTRIS","exp","COPEPODA",1.467,2.4741,"NA"
"ERGASILUS","NA","COPEPODA","NA","NA","NA"
"EUCHLANIS","pow","ROTIFERA",10,3,"NA"
"EUCHLANIS PELLUCIDA","pow","ROTIFERA",10,3,"NA"
"EUCYCLOPS","pow","COPEPODA",10.968,1.634,"NA"
"EUCYCLOPS AGILIS","pow","COPEPODA",10.968,1.634,"NA"
"EUCYCLOPS ELEGANS","pow","COPEPODA",10.968,1.634,"NA"
"EUCYCLOPS SPERATUS","pow","COPEPODA",10.968,1.634,"NA"
"FILINIA","pow","ROTIFERA",13,3,"NA"
"FILINIA TERMINALIS","pow","ROTIFERA",13,3,"NA"
"GASTROPUS","pow","ROTIFERA",20,3,"NA"
"GASTROPUS HYPTOPUS","pow","ROTIFERA",20,3,"NA"
"GASTROPUS SPP.","pow","ROTIFERA",20,3,"NA"
"GASTROPUS STYLIFER","pow","ROTIFERA",26,3,"NA"
"HARPACTICOID","pow","COPEPODA",10.968,1.634,"NA"
"HEXARTHRA","NA","ROTIFERA","NA","NA","NA"
"HOLOPEDIUM","pow","CLADOCERA",12.1825,3.3,"NA"
"HOLOPEDIUM GIBBERUM","pow","CLADOCERA",12.1825,3.3,"NA"
"ILYOCRYPTUS SPINIFER","NA","CLADOCERA",9.631,1.719,"NA"
"KELLICOTTIA","pow","ROTIFERA",3,3,"NA"
"KELLICOTTIA BOSTONIENSIS","pow","ROTIFERA",3,3,"NA"
"KELLICOTTIA LONGISPINA","pow","ROTIFERA",3,3,"NA"
"KERATELLA","pow","ROTIFERA",2,3,"NA"
"KERATELLA COCHLEARIS","pow","ROTIFERA",2,3,"NA"
"KERATELLA COCHLEARIS F. TECTA","pow","ROTIFERA",2,3,"NA"
"KERATELLA COCHLEARIS V. TECTA","pow","ROTIFERA",2,3,"NA"
"KERATELLA CRASSA","pow","ROTIFERA",2,3,"NA"
"KERATELLA EARLINAE","pow","ROTIFERA",2,3,"NA"
"KERATELLA HIEMALIS","pow","ROTIFERA",22,3,"NA"
"KERATELLA QUADRATA","pow","ROTIFERA",22,3,"NA"
"KERATELLA SERRULATA","pow","ROTIFERA",2,3,"NA"
"KERATELLA SERRULATA F. CURVICORNIS","pow","ROTIFERA",2,3,"NA"
"KERATELLA SPP.","pow","ROTIFERA",2,3,"NA"
"KERATELLA TAUROCEPHALA","pow","ROTIFERA",2,3,"NA"
"KERATELLA TESTUDO","pow","ROTIFERA",22,3,"NA"
"KERATELLA TICINENSIS","pow","ROTIFERA",22,3,"NA"
"LECANE","pow","ROTIFERA",12,3,"NA"
"LECANE CLARA","pow","ROTIFERA",12,3,"NA"
"LECANE INERMIS","pow","ROTIFERA",12,3,"NA"
"LECANE LEONTINA","pow","ROTIFERA",12,3,"NA"
"LECANE MIRA","pow","ROTIFERA",12,3,"NA"
"LECANE SPP.","pow","ROTIFERA",12,3,"NA"
"LECANE TENUISETA","pow","ROTIFERA",12,3,"NA"
"LECANE TUDICOLA","pow","ROTIFERA",12,3,"NA"
"LEPADELLA","pow","ROTIFERA",10,3,"NA"
"LEPADELLA ACUMINATA","pow","ROTIFERA",10,3,"NA"
"LEPADELLA PATELLA","pow","ROTIFERA",10,3,"NA"
"LEPADELLA TRIPTERA","pow","ROTIFERA",10,3,"NA"
"LEPTODIAPTOMUS","pow","COPEPODA",10.308,1.761,"NA"
"LEPTODIAPTOMUS MINUTUS","pow","COPEPODA",10.308,1.761,"NA"
