species_name,eqn,larger_group,c1,c2,c3
ACANTHOCYCLOPS,NA,NA,NA,NA,NA
ACANTHOCYCLOPS VERNALIS,pow,COPEPODA,7.0729,2.5563,NA
ACROPERUS HARPAE,NA,NA,NA,NA,NA
AGLAODIAPTOMUS CLAVIPES,NA,NA,NA,NA,NA
ALONA,pow,CLADOCERA,15.92,3.84,NA
ALONA KARAU,pow,CLADOCERA,15.92,3.84,NA
ALONA KARUA,NA,NA,NA,NA,NA
ANURAEOPSIS,pow,ROTIFERA,NA,NA,NA
ANURAEOPSIS FISSA,NA,NA,NA,NA,NA
ASCOMORPHA,NA,NA,NA,NA,NA
ASCOMORPHA ECAUDIS,pow,ROTIFERA,NA,NA,NA
ASCOMORPHA OVALIS,pow,ROTIFERA,NA,NA,NA
ASCOMORPHA SALTANS,NA,NA,NA,NA,NA
ASCOMORPHA SPP.,pow,ROTIFERA,NA,NA,NA
ASPLANCHNA,NA,NA,NA,NA,NA
ASPLANCHNA SPP.,pow,ROTIFERA,NA,NA,NA
BOSMINA,pow,CLADOCERA,17.7369,2.2291,NA
BOSMINA AND EUBOSMINA,pow,CLADOCERA,17.7369,2.2291,NA
BOSMINA LONGIROSTRIS,pow,CLADOCERA,17.7369,2.2291,NA
BOSMINIDAE,NA,NA,NA,NA,NA
BRACHIONUS,pow,ROTIFERA,12,3,NA
BRACHIONUS ANGULARIS,NA,NA,NA,NA,NA
BRACHIONUS QUADRIDENTATUS,pow,ROTIFERA,12,3,NA
BRACHIONUS URCEOLARIS,pow,ROTIFERA,12,3,NA
BYTHOTREPHES LONGIMANUS ,NA,NA,NA,NA,NA
CALANOID,pow,COPEPODA,10.308,1.761,NA
CAMPTOCERCUS RECTIROSTRIS,NA,NA,NA,NA,NA
CEPHALODELLA,pow,ROTIFERA,12,3,NA
CERIODAPHNIA,pow,CLADOCERA,4.0216,1.9763,NA
CERIODAPHNIA DUBIA,NA,NA,NA,NA,NA
CERIODAPHNIA LACUSTRIS,pow,CLADOCERA,4.0216,1.9763,NA
CHAOBORUS,NA,NA,NA,NA,NA
CHYDORID,pow,CLADOCERA,14.0793,1.9796,NA
CHYDORUS,pow,CLADOCERA,14.0793,1.9796,NA
CLADOCERAN,NA,NA,NA,NA,NA
COLLOTHECA,pow,ROTIFERA,180,3,NA
COLLOTHECA EMPTY CASE,NA,ROTIFERA,NA,NA,NA
COLLOTHECA MUTABILIS,NA,NA,NA,NA,NA
COLLOTHECA MUTABILIS*,pow,ROTIFERA,180,3,NA
COLLOTHECA W/O CASE,pow,ROTIFERA,180,3,NA
COLLURELLA,pow,ROTIFERA,12,3,NA
COLURELLA,NA,NA,NA,NA,NA
CONOCHILOIDES,NA,NA,NA,NA,NA
CONOCHILOIDES SP.*,pow,ROTIFERA,86,3,NA
CONOCHILUS,NA,NA,NA,NA,NA
CONOCHILUS HIPPOCREPIS,NA,NA,NA,NA,NA
CONOCHILUS SPP.*,pow,ROTIFERA,120,3,NA
CONOCHILUS UNICORNIS,pow,ROTIFERA,120,3,NA
COPEPODITES,NA,NA,NA,NA,NA
COPEPOD NAUPLII,pow,COPEPODA,3.0093,1.7064,NA
CYCLOPOID,pow,COPEPODA,10.968,1.634,NA
DAPHNIA,pow,CLADOCERA,9.631,1.719,NA
DAPHNIA AMBIGUA,NA,NA,NA,NA,NA
DAPHNIA CATAWBA,pow,CLADOCERA,9.631,1.719,NA
DAPHNIA DENTIFERA,NA,NA,NA,NA,NA
DAPHNIA DUBIA,pow,CLADOCERA,10.9317,1.5302,NA
DAPHNIA GALEATA MENDOTAE,pow,CLADOCERA,10.9317,1.5302,NA
DAPHNIA LONGIREMIS,pow,CLADOCERA,10.9317,1.5302,NA
DAPHNIA MENDOTAE,NA,NA,NA,NA,NA
DAPHNIA PARVULA,pow,CLADOCERA,10.9317,1.5302,NA
DAPHNIA PULEX,pow,CLADOCERA,9.631,1.719,NA
DAPHNIA PULICARIA,NA,NA,NA,NA,NA
DAPHNIA RETROCURVA,pow,CLADOCERA,7.5484,2.7552,NA
DAPHNIA ROSEA,pow,CLADOCERA,9.631,1.719,NA
DAPHNIA SCHODLERI,pow,CLADOCERA,9.631,1.719,NA
DIACYCLOPS,pow,COPEPODA,14.571,2.557,NA
DIACYCLOPS THOMASI,pow,COPEPODA,14.571,2.557,NA
DIAPHANOSOMA,pow,CLADOCERA,5.0713,1.0456,NA
DIAPHANOSOMA BIRGEI,pow,CLADOCERA,5.0713,1.0456,NA
DIAPTOMID,NA,NA,NA,NA,NA
ENCENTRUM,NA,NA,NA,NA,NA
EPISCHURA LACUSTRIS,exp,COPEPODA,NA,NA,NA
ERGASILUS,NA,COPEPODA,NA,NA,NA
EUCHLANIS,pow,ROTIFERA,10,3,NA
EUCHLANIS PELLUCIDA,pow,ROTIFERA,10,3,NA
EUCYCLOPS,NA,NA,NA,NA,NA
EUCYCLOPS AGILIS,pow,COPEPODA,10.968,1.634,NA
EUCYCLOPS ELEGANS,NA,NA,NA,NA,NA
EUCYCLOPS SPERATUS,pow,COPEPODA,10.968,1.634,NA
FILINIA,pow,ROTIFERA,13,3,NA
FILINIA TERMINALIS,pow,ROTIFERA,13,3,NA
GASTROPUS,NA,NA,NA,NA,NA
GASTROPUS HYPTOPUS,pow,ROTIFERA,20,3,NA
GASTROPUS SPP.,pow,ROTIFERA,20,3,NA
GASTROPUS STYLIFER,pow,ROTIFERA,26,3,NA
HARPACTICOID,NA,COPEPODA,NA,NA,NA
HEXARTHRA,NA,NA,NA,NA,NA
HOLOPEDIUM,pow,CLADOCERA,12.1825,3.3,NA
HOLOPEDIUM GIBBERUM,pow,CLADOCERA,12.1825,3.3,NA
ILYOCRYPTUS SPINIFER,NA,CLADOCERA,NA,NA,NA
KELLICOTTIA,pow,ROTIFERA,3,3,NA
KELLICOTTIA BOSTONIENSIS,pow,ROTIFERA,3,3,NA
KELLICOTTIA LONGISPINA,pow,ROTIFERA,3,3,NA
KERATELLA,NA,NA,NA,NA,NA
KERATELLA COCHLEARIS,pow,ROTIFERA,2,3,NA
KERATELLA COCHLEARIS F. TECTA,NA,NA,NA,NA,NA
KERATELLA COCHLEARIS V. TECTA,pow,ROTIFERA,2,3,NA
KERATELLA CRASSA,pow,ROTIFERA,2,3,NA
KERATELLA EARLINAE,pow,ROTIFERA,2,3,NA
KERATELLA HIEMALIS,pow,ROTIFERA,22,3,NA
KERATELLA QUADRATA,pow,ROTIFERA,22,3,NA
KERATELLA SERRULATA,pow,ROTIFERA,2,3,NA
KERATELLA SERRULATA F. CURVICORNIS,pow,ROTIFERA,2,3,NA
KERATELLA SPP.,pow,ROTIFERA,2,3,NA
KERATELLA TAUROCEPHALA,pow,ROTIFERA,2,3,NA
KERATELLA TESTUDO,pow,ROTIFERA,22,3,NA
KERATELLA TICINENSIS,NA,NA,NA,NA,NA
LECANE,NA,NA,NA,NA,NA
LECANE CLARA,pow,ROTIFERA,12,3,NA
LECANE INERMIS,pow,ROTIFERA,12,3,NA
LECANE LEONTINA,pow,ROTIFERA,12,3,NA
LECANE MIRA,pow,ROTIFERA,12,3,NA
LECANE SPP.,pow,ROTIFERA,12,3,NA
LECANE TENUISETA,NA,NA,NA,NA,NA
LECANE TUDICOLA,pow,ROTIFERA,12,3,NA
LEPADELLA,pow,ROTIFERA,10,3,NA
LEPADELLA ACUMINATA,NA,NA,NA,NA,NA
LEPADELLA PATELLA,NA,NA,NA,NA,NA
LEPADELLA TRIPTERA,NA,NA,NA,NA,NA
LEPTODIAPTOMUS,pow,COPEPODA,10.308,1.761,NA
LEPTODIAPTOMUS MINUTUS,pow,COPEPODA,10.308,1.761,NA
LEPTODIAPTOMUS SICILIS,pow,COPEPODA,10.308,1.761,NA
LEPTODORA KINDTI,const,CLADOCERA,NA,NA,NA
LEPTODORA KINDTII,NA,NA,NA,NA,NA
LEYDIGIA,NA,NA,NA,NA,NA
LEYDIGIA ACANTHOCERCOIDES,NA,NA,NA,NA,NA
LUMPED BOSMINA,pow,CLADOCERA,17.7369,2.2291,NA
LUMPED CERIODAPHNIA,pow,CLADOCERA,4.0216,1.9763,NA
LUMPED DIAPHANOSOMA,pow,CLADOCERA,5.0713,1.0456,NA
LUMPED HOLOPEDIUM,pow,CLADOCERA,12.1825,3.3,NA
MANFREDIUM,pow,ROTIFERA,10,3,NA
