species_name,Origin_Spp_Name,eqn,c1,c2,c3,Origin_formula
ACANTHOCYCLOPS,Acanthocyclops vernalis,pow,7.0729,2.5563,NA,=7.0729*(C4^2.5563)
ACANTHOCYCLOPS VERNALIS,Acanthocyclops vernalis,pow,7.0729,2.5563,NA,=7.0729*(C4^2.5563)
ACROPERUS HARPAE,na,pow,14.0793,1.9796,NA,na
AGLAODIAPTOMUS CLAVIPES,na,pow,10.308,1.761,NA,na
ALONA,Alona::Alona karau,pow,15.92,3.84,NA,=15.92*(C25^3.84)::=15.92*(C26^3.84)
ALONA KARAU,Alona karau,pow,15.92,3.84,NA,=15.92*(C26^3.84)
ALONA KARUA,Alona karau,pow,15.92,3.84,NA,=15.92*(C26^3.84)
ANURAEOPSIS,Anuraeopsis,pow,3,3,NA,=(3*(C56^3))
ANURAEOPSIS FISSA,na,pow,3,3,NA,na
ASCOMORPHA,Ascomorpha spp.::Ascomorpha ecaudis::Ascomorpha ovalis,pow,12,3,NA,=(12*(C57^3))::=(12*(C58^3))::=(12*(C59^3))
ASCOMORPHA ECAUDIS,Ascomorpha ecaudis,pow,12,3,NA,=(12*(C58^3))
ASCOMORPHA OVALIS,Ascomorpha ovalis,pow,12,3,NA,=(12*(C59^3))
ASCOMORPHA SALTANS,na,pow,12,3,NA,na
ASCOMORPHA SPP.,Ascomorpha spp.,pow,12,3,NA,=(12*(C57^3))
ASPLANCHNA,Asplanchna spp.,pow,8.97,3,NA,=(8.97*(C60^3))
ASPLANCHNA SPP.,Asplanchna spp.,pow,8.97,3,NA,=(8.97*(C60^3))
BOSMINA,Bosmina::Bosmina longirostris::Bosmina and Eubosmina::Lumped Bosmina,pow,17.7369,2.2291,NA,=17.7369*(C27^2.2291)::=17.7369*(C28^2.2291)::=17.7369*(C29^2.2291)::=17.7369*(C52^2.2291)
BOSMINA AND EUBOSMINA,Bosmina and Eubosmina,pow,17.7369,2.2291,NA,=17.7369*(C29^2.2291)
BOSMINA LONGIROSTRIS,Bosmina longirostris,pow,17.7369,2.2291,NA,=17.7369*(C28^2.2291)
BOSMINIDAE,na,pow,17.7369,2.2291,NA,na
BRACHIONUS,Brachionus::Brachionus quadridentatus::Brachionus urceolaris,pow,12,3,NA,=12*(C61^3)::=12*(C62^3)::=12*(C63^3)
BRACHIONUS ANGULARIS,na,pow,12,3,NA,na
BRACHIONUS QUADRIDENTATUS,Brachionus quadridentatus,pow,12,3,NA,=12*(C62^3)
BRACHIONUS URCEOLARIS,Brachionus urceolaris,pow,12,3,NA,=12*(C63^3)
BYTHOTREPHES LONGIMANUS ,na,NA,NA,NA,NA,na
CALANOID,Calanoid,pow,10.308,1.761,NA,=10.308*(C14^1.761)
