"","lakeid","year4","daynum","sampledate","depth","chlor"
"1","AL",1981,255,1981-09-12,"0",21.1
"2","AL",1982,131,1982-05-11,"0",23.1
"3","AL",1983,272,1983-09-29,"0",23.7
"4","AL",1984,268,1984-09-24,"0",24.1
"5","AL",1985,231,1985-08-19,"0",18
"6","AL",1986,295,1986-10-22,"0",18.1
"7","AL",1987,278,1987-10-05,"0",14.5
"8","AL",1988,272,1988-09-28,"0",16.2
"9","AL",1989,121,1989-05-01,"0",13.2
"10","AL",1990,290,1990-10-17,"0",12.7
"11","AL",1991,253,1991-09-10,"0",42.8
"12","AL",1992,265,1992-09-21,"0",22.1
"13","AL",1993,265,1993-09-22,"0",26.7
"14","AL",1994,88,1994-03-29,"0",27.3
"15","AL",1995,11,1995-01-11,"0",21.6
"16","AL",1996,260,1996-09-16,"0",15.2
"17","AL",1997,293,1997-10-20,"0",9
"18","AL",1998,75,1998-03-16,"0",36.8
"19","AL",1999,277,1999-10-04,"0",23.7
"20","AL",2000,276,2000-10-02,"0",21.1
"21","AL",2001,121,2001-05-01,"0",17.5
"22","AL",2002,282,2002-10-09,"0",19.4
"23","AL",2003,135,2003-05-15,"0",15
"24","AL",2004,299,2004-10-25,"0",18.7
"25","AL",2005,293,2005-10-20,"0",12.3
"26","AL",2006,110,2006-04-20,"0",18
"27","AL",2007,281,2007-10-08,"0",30.5
"28","AL",2008,280,2008-10-06,"0",11.4
"29","AL",2009,287,2009-10-14,"0",15.3
"30","AL",2010,256,2010-09-13,"0",15.5
"31","AL",2011,278,2011-10-05,"0",13.5
"32","AL",2012,150,2012-05-29,"0",32.6
"33","AL",2013,303,2013-10-30,"0",14.7
"34","AL",2014,140,2014-05-20,"0",26.3
"35","AL",2015,279,2015-10-06,"0",12.2
"36","AL",2016,285,2016-10-11,"0",21.1
"37","AL",2017,248,2017-09-05,"0",15.3
"38","AL",2018,275,2018-10-02,"0",13.4
"39","BM",1981,223,1981-08-11,"0",23.5
"40","BM",1982,145,1982-05-25,"0",42.9
"41","BM",1983,318,1983-11-14,"0",5.5
"42","BM",1984,289,1984-10-15,"0",13.3
"43","BM",1985,134,1985-05-14,"0",3.8
"44","BM",1986,113,1986-04-23,"0",6.6
"45","BM",1987,308,1987-11-04,"0",6
"46","BM",1988,116,1988-04-25,"0",6.5
"47","BM",1989,122,1989-05-02,"0",6.3
"48","BM",1990,23,1990-01-23,"0",10.2
"49","BM",1991,140,1991-05-20,"0",5.5
